end_device_ids.device_id,end_device_ids.application_ids.application_id,end_device_ids.dev_eui,end_device_ids.join_eui,end_device_ids.dev_addr,correlation_ids_0,received_at,uplink_message.session_key_id,uplink_message.f_port,uplink_message.f_cnt,uplink_message.frm_payload,uplink_message.decoded_payload.bytes_0,uplink_message.decoded_payload.bytes_1,uplink_message.decoded_payload.bytes_2,uplink_message.decoded_payload.bytes_3,uplink_message.rx_metadata_0.gateway_ids.gateway_id,uplink_message.rx_metadata_0.gateway_ids.eui,uplink_message.rx_metadata_0.time,uplink_message.rx_metadata_0.timestamp,uplink_message.rx_metadata_0.rssi,uplink_message.rx_metadata_0.channel_rssi,uplink_message.rx_metadata_0.location.latitude,uplink_message.rx_metadata_0.location.longitude,uplink_message.rx_metadata_0.location.altitude,uplink_message.rx_metadata_0.location.source,uplink_message.rx_metadata_0.uplink_token,uplink_message.rx_metadata_0.received_at,uplink_message.settings.data_rate.lora.bandwidth,uplink_message.settings.data_rate.lora.spreading_factor,uplink_message.settings.data_rate.lora.coding_rate,uplink_message.settings.frequency,uplink_message.settings.timestamp,uplink_message.settings.time,uplink_message.received_at,uplink_message.consumed_airtime,uplink_message.version_ids.brand_id,uplink_message.version_ids.model_id,uplink_message.version_ids.hardware_version,uplink_message.version_ids.firmware_version,uplink_message.version_ids.band_id,uplink_message.network_ids.net_id,uplink_message.network_ids.ns_id,uplink_message.network_ids.tenant_id,uplink_message.network_ids.cluster_id,uplink_message.network_ids.cluster_address
3,0,3,1,3,84,84,3,85,2466,2,3,123,0,0,2,2,84,2162340402,-101,-101,38.3846865837538,-0.513212937943281,20,0,84,84,125000,7,0,0,2162340402,84,84,1,1,1,1,1,0,0,0,0,0,0
12,0,12,0,12,85,85,12,2,12256,56,12,251,0,0,2,2,85,2236614341,-110,-110,38.3846865837538,-0.513212937943281,20,0,85,85,125000,7,0,2,2236614341,85,85,0,0,0,0,0,0,0,0,0,0,0
13,0,13,0,13,86,86,13,2,12182,57,13,31,0,0,0,0,86,225847662,-95,-95,38.385917659159134,-0.5170252919197084,20,0,86,86,125000,7,0,3,225847662,86,86,0,0,0,0,0,0,0,0,0,0,0
14,0,14,0,14,87,87,14,2,11320,58,13,3,0,0,0,0,87,230858341,-111,-111,38.385917659159134,-0.5170252919197084,20,0,87,87,125000,7,0,6,230858341,87,87,0,0,0,0,0,0,0,0,0,0,0
6,0,6,1,6,88,88,6,85,2198,2,3,123,0,0,2,2,88,2377119045,-102,-102,38.3846865837538,-0.513212937943281,20,0,88,88,125000,7,0,1,2377119045,88,88,1,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,89,89,0,2,11319,0,13,72,0,0,0,0,89,502179641,-97,-97,38.385917659159134,-0.5170252919197084,20,0,89,89,125000,7,0,7,502179641,89,89,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,90,90,1,2,12180,59,13,36,0,0,1,1,90,626276579,-97,-97,38.38418726539637,-0.5101910233497621,10,0,90,90,125000,7,0,0,626276579,90,90,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,2,91,91,2,85,2192,2,3,123,0,0,2,2,91,2757303224,-104,-104,38.3846865837538,-0.513212937943281,20,0,91,91,125000,7,0,5,2757303224,91,91,1,1,1,1,1,0,0,0,0,0,0
3,0,3,1,3,92,92,3,85,2467,2,3,123,0,0,1,1,92,750244605,-90,-90,38.38418726539637,-0.5101910233497621,10,0,92,92,125000,7,0,5,750244605,92,92,1,1,1,1,1,0,0,0,0,0,0
4,0,4,0,4,93,93,4,2,12183,60,13,36,0,0,0,0,93,858151384,-89,-89,38.385917659159134,-0.5170252919197084,20,0,93,93,125000,7,0,4,858151384,93,93,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,94,94,5,2,12254,61,13,22,0,0,2,2,94,2944420830,-79,-79,38.3846865837538,-0.513212937943281,20,0,94,94,125000,7,0,2,2944420830,94,94,0,0,0,0,0,0,0,0,0,0,0
6,0,6,1,6,95,95,6,85,2199,2,3,123,0,0,2,2,95,2977492814,-101,-101,38.3846865837538,-0.513212937943281,20,0,95,95,125000,7,0,1,2977492814,95,95,1,1,1,1,1,0,0,0,0,0,0
7,0,7,0,7,96,96,7,2,12181,62,13,33,0,0,2,2,96,3045790046,-108,-108,38.3846865837538,-0.513212937943281,20,0,96,96,125000,7,0,7,3045790046,96,96,0,0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,97,97,8,2,12255,63,13,35,0,0,0,0,97,1066889993,-93,-93,38.385917659159134,-0.5170252919197084,20,0,97,97,125000,7,0,1,1066889993,97,97,0,0,0,0,0,0,0,0,0,0,0
