id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
34,correlation_ids_0,0.06640625,,,0.51,0.52,0.50,0.52,0.53,0.51,0.51,0.50,0.52,0.53,0.52,0.52,0.51,0.53,0.50,0.50,0.50,0.52,0.53,0.49,0.51,0.51,0.52,0.50,0.50,12.81,0.51,false
35,correlation_ids_0,0.068359375,,,0.52,0.55,0.54,0.53,0.56,0.54,0.56,0.52,0.53,0.54,0.53,0.54,0.54,0.55,0.54,0.54,0.54,0.55,0.54,0.56,0.54,0.55,0.55,0.54,0.55,13.55,0.54,false
36,correlation_ids_0,0.0703125,,,0.53,0.53,0.52,0.54,0.51,0.52,0.53,0.52,0.52,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.54,0.52,0.52,0.51,0.53,0.53,0.52,0.52,0.52,13.10,0.52,false
37,correlation_ids_0,0.072265625,,,0.50,0.52,0.50,0.53,0.51,0.51,0.52,0.49,0.50,0.52,0.50,0.51,0.51,0.51,0.52,0.51,0.53,0.52,0.51,0.52,0.51,0.51,0.51,0.51,0.50,12.78,0.51,false
38,correlation_ids_0,0.07421875,,,0.54,0.53,0.53,0.54,0.52,0.53,0.53,0.53,0.54,0.53,0.53,0.54,0.54,0.53,0.52,0.54,0.53,0.54,0.52,0.54,0.52,0.52,0.53,0.53,0.53,13.28,0.53,false
39,correlation_ids_0,0.076171875,,,0.50,0.51,0.51,0.51,0.51,0.51,0.51,0.50,0.50,0.50,0.51,0.51,0.51,0.51,0.52,0.51,0.50,0.50,0.50,0.51,0.50,0.51,0.51,0.51,0.51,12.68,0.51,false
40,correlation_ids_0,0.078125,,,0.47,0.46,0.46,0.47,0.45,0.47,0.47,0.46,0.47,0.48,0.45,0.47,0.45,0.47,0.47,0.46,0.48,0.46,0.48,0.45,0.45,0.46,0.44,0.46,0.47,11.58,0.46,false
41,correlation_ids_0,0.080078125,,,0.47,0.47,0.47,0.47,0.46,0.46,0.51,0.45,0.47,0.47,0.46,0.47,0.47,0.48,0.47,0.48,0.47,0.48,0.48,0.47,0.48,0.46,0.47,0.48,0.45,11.77,0.47,false
42,correlation_ids_0,0.08203125,,,0.51,0.52,0.53,0.52,0.53,0.50,0.54,0.51,0.52,0.53,0.53,0.52,0.51,0.53,0.52,0.52,0.52,0.52,0.51,0.53,0.52,0.52,0.51,0.53,0.52,13.02,0.52,false
43,correlation_ids_0,0.083984375,,,0.53,0.53,0.51,0.54,0.53,0.53,0.54,0.52,0.53,0.52,0.52,0.54,0.51,0.53,0.55,0.54,0.52,0.53,0.55,0.53,0.56,0.54,0.54,0.53,0.52,13.29,0.53,false
44,correlation_ids_0,0.0859375,,,0.50,0.48,0.47,0.49,0.49,0.48,0.52,0.47,0.50,0.50,0.49,0.50,0.48,0.50,0.51,0.51,0.51,0.49,0.49,0.49,0.50,0.49,0.49,0.50,0.48,12.33,0.49,false
45,correlation_ids_0,0.087890625,,,0.52,0.51,0.50,0.54,0.52,0.52,0.51,0.51,0.52,0.51,0.52,0.52,0.50,0.52,0.52,0.52,0.52,0.53,0.51,0.52,0.50,0.51,0.51,0.50,0.53,12.89,0.52,false
46,correlation_ids_0,0.08984375,,,0.45,0.44,0.43,0.45,0.46,0.44,0.46,0.43,0.44,0.44,0.44,0.47,0.44,0.45,0.43,0.44,0.44,0.45,0.44,0.44,0.44,0.43,0.42,0.43,0.44,11.04,0.44,false
47,correlation_ids_0,0.091796875,,,0.46,0.47,0.44,0.47,0.47,0.45,0.48,0.45,0.48,0.47,0.48,0.47,0.45,0.48,0.47,0.46,0.46,0.45,0.47,0.46,0.47,0.48,0.46,0.46,0.46,11.62,0.46,false
