month_day_hour_min,n_p,i_uiip,p_uiip
286,0.101,150.21,16.74
287,0.101,137.99,16.62
288,0.101,169.53,16.34
289,0.1,176.58,16.69
290,0.101,169.37,16.7
291,0.101,164.05,16.5
292,0.1,168.96,16.56
293,0.1,156.85,16.6
294,0.1,155.6,16.59
295,0.1,162.79,16.51
296,0.1,147.76,16.53
297,0.101,147.62,16.59
298,0.1,152.41,16.7
299,0.1,131.19,16.67
300,0.1,128.16,16.57
301,0.1,115.53,16.93
302,0.101,115,17.11
303,0.102,124.07,16.8
304,0.101,129.13,16.95
305,0.102,130.52,16.65
306,0.1,127.99,16.68
307,0.1,127.16,16.67
308,0.1,135.22,16.64
309,0.101,120.88,16.7
310,0.1,128.61,16.63
311,0.1,147.96,17.85
312,0.1,167.32,20.01
313,0.101,164.43,20.62
314,0.1,173.21,20.72
315,0.1,178.59,20.71
316,0.101,186.89,20.6
317,0.1,196,20.88
318,0.1,209.27,20.76
319,0.1,223.85,20.08
320,0.1,229.35,19.65
321,0.101,222.01,20.6
322,0.1,238.22,18.86
323,0.1,244.53,18.77
324,0.1,264.86,21.21
325,0.1,287.36,21.2
326,0.1,290.95,21.32
327,0.1,291.79,21.25
328,0.101,283.5,21.18
329,0.101,234.76,21.65
330,0.103,247.35,21.71
331,0.101,237.04,21.5
332,0.101,226.02,20.78
333,0.103,220.32,21.16
334,0.103,219.22,21.24
335,0.105,212.98,21.28
336,0.101,219.62,21.23
337,0.105,207.7,20.99
338,0.105,225.15,20.63
339,0.101,233.24,20.5
340,0.103,213.09,21.11
341,0.102,204.5,21.16
342,0.104,205.93,21.22
343,0.105,182.5,20.9
344,0.108,191.51,20.87
345,0.105,184.6,20.84
346,0.101,184.9,20.82
347,0.103,186.71,20.68
348,0.101,186.69,20.86
349,0.103,202.82,20.82
350,0.103,195.18,20.69
351,0.101,174.55,19.69
352,0.103,163.52,19.73
353,0.105,174.77,19.89
354,0.104,164.85,19.67
355,0.105,162.23,19.89
356,0.106,177.49,19.77
357,0.108,174.45,19.78
358,0.107,182.18,19.8
359,0.106,172.76,19.74
360,0.109,170.63,19.8
361,0.109,182.89,19.67
362,0.109,163.79,19.88
363,0.108,172.66,19.73
364,0.109,187.37,19.66
365,0.109,190.17,19.61
366,0.108,172.03,19.72
367,0.109,182.15,19.64
368,0.107,188.84,19.57
369,0.107,191.73,19.62
370,0.108,178.97,19.79
371,0.105,182.72,19.74
372,0.107,183.4,19.69
373,0.104,179.73,19.58
374,0.106,184.69,19.67
375,0.103,165.42,19.61
376,0.107,180.65,20.51
377,0.108,176.96,20.44
378,0.105,176.4,20.64
379,0.105,179.37,20.44
