month_day_hour_min;n_p;i_uiip;p_uiip;truth
318;0.1;209.27;20.76;0
319;0.1;223.85;20.08;0
320;0.1;229.35;19.65;0
321;0.101;222.01;20.6;0
322;0.1;238.22;18.86;0
323;0.1;244.53;18.77;0
324;0.1;264.86;21.21;0
325;0.1;287.36;21.2;0
326;0.1;290.95;21.32;0
327;0.1;291.79;21.25;0
328;0.101;283.5;21.18;0
329;0.101;234.76;21.65;0
330;0.103;247.35;21.71;0
331;0.101;237.04;21.5;0
332;0.101;226.02;20.78;0
333;0.103;220.32;21.16;0
334;0.103;219.22;21.24;0
335;0.105;212.98;21.28;0
336;0.101;219.62;21.23;0
337;0.105;207.7;20.99;0
338;0.105;225.15;20.63;0
339;0.101;233.24;20.5;0
340;0.103;213.09;21.11;0
341;0.102;204.5;21.16;0
342;0.104;205.93;21.22;0
343;0.105;182.5;20.9;0
344;0.108;191.51;20.87;0
345;0.105;184.6;20.84;0
346;0.101;184.9;20.82;0
347;0.103;186.71;20.68;0
348;0.101;186.69;20.86;0
349;0.103;202.82;20.82;0
350;0.103;195.18;20.69;0
351;0.101;174.55;19.69;0
352;0.103;163.52;19.73;0
353;0.105;174.77;19.89;0
354;0.104;164.85;19.67;0
355;0.105;162.23;19.89;0
356;0.106;177.49;19.77;0
357;0.108;174.45;19.78;0
358;0.107;182.18;19.8;0
359;0.106;172.76;19.74;0
360;0.109;170.63;19.8;0
361;0.109;182.89;19.67;0
362;0.109;163.79;19.88;0
363;0.108;172.66;19.73;0
364;0.109;187.37;19.66;0
365;0.109;190.17;19.61;0
366;0.108;172.03;19.72;0
367;0.109;182.15;19.64;0
368;0.107;188.84;19.57;0
369;0.107;191.73;19.62;0
370;0.108;178.97;19.79;0
371;0.105;182.72;19.74;0
372;0.107;183.4;19.69;0
373;0.104;179.73;19.58;0
374;0.106;184.69;19.67;0
375;0.103;165.42;19.61;0
376;0.107;180.65;20.51;0
377;0.108;176.96;20.44;0
378;0.105;176.4;20.64;0
379;0.105;179.37;20.44;0
380;0.103;150.37;17.19;0
381;0.104;150.98;16.78;0
382;0.105;143.39;16.62;0
383;0.104;154.63;16.48;0
384;0.103;201.25;15.9;0
385;0.103;244.45;14.33;0
386;0.101;235.1;15.71;0
387;0.103;211.69;16.58;0
388;0.103;211.32;16.24;0
389;0.103;209.15;16.56;0
390;0.102;210.16;16.63;0
391;0.102;208.67;16.58;0
392;0.103;203.93;16.59;0
393;0.101;190.34;16.34;0
394;0.1;193.07;16.5;0
395;0.103;178.74;16.6;0
396;0.104;159.33;15.59;0
397;0.103;170.46;15.7;0
398;0.103;153.3;16.56;0
399;0.101;150.47;16.66;0
400;0.103;158.8;16.44;0
401;0.102;168.18;16.58;0
402;0.104;170.16;16.59;0
403;0.1;178.8;16.56;0
404;0.105;172.1;16.5;0
405;0.103;169.51;16.52;0
406;0.101;170.36;16.54;0
407;0.101;167.25;18.09;0
408;0.101;186.51;19.54;0
409;0.103;198.16;20.64;0
410;0.102;177.69;20.75;0
411;0.101;204.26;20.37;0
412;0.101;208.98;20.69;0
413;0.101;203.3;21.11;0
414;0.101;219.59;21.05;0
415;0.1;230.73;20.07;0
416;0.1;224.28;20.6;0
417;0.1;228.85;20.78;0
418;0.101;250.61;21.21;0
419;0.1;243.16;21.16;0
420;0.1;270.62;21.27;0
421;0.1;243.08;21.17;0
422;0.1;247.96;21.14;0
423;0.1;249.36;21.24;0
424;0.101;231.87;21.12;0
425;0.1;246.77;21.12;0
426;0.101;248.56;21.62;0
427;0.101;248.98;21.66;0
428;0.1;245.64;21.65;0
429;0.101;261.96;21.72;0
430;0.1;243.85;21.76;0
431;0.1;222.3;21.71;0
432;0.101;224.43;21.24;0
433;0.1;223.05;21.2;0
434;0.1;222.12;21.17;0
435;0.1;220.2;21.21;0
436;0.1;214.49;21.29;0
437;0.1;217.88;21.24;0
438;0.101;210.58;20.93;0
439;0.1;195.96;21.26;0
440;0.1;181.08;20.73;0
441;0.1;208.86;20.88;0
442;0.1;201.73;20.59;0
443;0.1;194.03;20.81;0
444;0.1;189.35;20.63;0
445;0.1;175.77;20.64;0
446;0.1;175.71;20.76;0
447;0.1;190.26;20.52;0
448;0.1;184.23;20.59;0
449;0.1;188.37;20.8;0
450;0.1;186.19;20.62;0
451;0.1;179.18;20.69;0
452;0.1;169.4;20.69;0
453;0.1;172.46;20.6;0
454;0.1;166.33;20.73;0
455;0.1;153.63;20.62;0
