id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,scores_total,score,anomaly
3368,day,25,month_day_hour_min,,0.43,0.44,0.42,0.40,0.43,0.41,0.42,0.43,0.43,0.43,4.24,0.42,false
3369,day,25,month_day_hour_min,,0.42,0.42,0.41,0.40,0.42,0.41,0.39,0.43,0.41,0.41,4.12,0.41,false
3370,day,25,month_day_hour_min,,0.43,0.43,0.46,0.45,0.44,0.45,0.44,0.45,0.46,0.45,4.46,0.45,false
3371,day,25,month_day_hour_min,,0.41,0.43,0.43,0.40,0.42,0.41,0.41,0.45,0.42,0.44,4.22,0.42,false
3372,day,25,month_day_hour_min,,0.45,0.45,0.43,0.45,0.42,0.46,0.43,0.45,0.45,0.45,4.44,0.44,false
3373,day,25,month_day_hour_min,,0.43,0.42,0.42,0.43,0.42,0.43,0.42,0.44,0.43,0.42,4.26,0.43,false
3374,day,25,month_day_hour_min,,0.48,0.45,0.45,0.44,0.45,0.46,0.44,0.46,0.45,0.45,4.53,0.45,false
3375,day,25,month_day_hour_min,,0.42,0.42,0.43,0.42,0.41,0.42,0.43,0.43,0.42,0.43,4.23,0.42,false
3376,day,25,month_day_hour_min,,0.43,0.42,0.44,0.42,0.41,0.40,0.41,0.42,0.41,0.42,4.18,0.42,false
3377,day,25,month_day_hour_min,,0.47,0.48,0.48,0.47,0.44,0.46,0.46,0.47,0.45,0.46,4.64,0.46,false
3378,day,25,month_day_hour_min,,0.45,0.53,0.49,0.49,0.46,0.48,0.48,0.48,0.47,0.47,4.80,0.48,false
3379,day,25,month_day_hour_min,,0.49,0.47,0.45,0.46,0.47,0.44,0.46,0.45,0.43,0.47,4.59,0.46,false
3380,day,25,month_day_hour_min,,0.46,0.47,0.46,0.45,0.46,0.44,0.45,0.47,0.45,0.46,4.57,0.46,false
3381,day,26,month_day_hour_min,,0.44,0.41,0.43,0.47,0.42,0.41,0.43,0.45,0.45,0.44,4.35,0.44,false
3382,day,26,month_day_hour_min,,0.44,0.42,0.40,0.41,0.41,0.41,0.41,0.43,0.44,0.43,4.20,0.42,false
3383,day,26,month_day_hour_min,,0.47,0.46,0.45,0.43,0.43,0.44,0.46,0.47,0.44,0.46,4.51,0.45,false
3384,day,26,month_day_hour_min,,0.41,0.42,0.42,0.39,0.42,0.41,0.42,0.44,0.43,0.42,4.18,0.42,false
3385,day,26,month_day_hour_min,,0.42,0.42,0.43,0.41,0.42,0.41,0.42,0.42,0.41,0.42,4.18,0.42,false
3386,day,26,month_day_hour_min,,0.43,0.42,0.43,0.42,0.42,0.41,0.44,0.42,0.40,0.43,4.22,0.42,false
3387,day,26,month_day_hour_min,,0.45,0.47,0.47,0.45,0.42,0.45,0.44,0.47,0.43,0.45,4.50,0.45,false
3388,day,26,month_day_hour_min,,0.45,0.50,0.46,0.47,0.45,0.44,0.43,0.45,0.44,0.44,4.53,0.45,false
3389,day,26,month_day_hour_min,,0.45,0.46,0.46,0.45,0.44,0.43,0.44,0.46,0.43,0.45,4.47,0.45,false
3390,day,27,month_day_hour_min,,0.46,0.48,0.46,0.49,0.48,0.44,0.50,0.46,0.47,0.46,4.70,0.47,false
3391,day,27,month_day_hour_min,,0.45,0.45,0.46,0.50,0.47,0.44,0.47,0.47,0.48,0.45,4.64,0.46,false
3392,day,27,month_day_hour_min,,0.45,0.47,0.44,0.48,0.46,0.44,0.47,0.45,0.45,0.45,4.56,0.46,false
3393,day,27,month_day_hour_min,,0.48,0.47,0.44,0.44,0.48,0.46,0.49,0.48,0.47,0.48,4.69,0.47,false
3394,day,27,month_day_hour_min,,0.46,0.43,0.42,0.43,0.43,0.43,0.43,0.44,0.45,0.44,4.36,0.44,false
3395,day,27,month_day_hour_min,,0.44,0.43,0.45,0.45,0.46,0.43,0.45,0.44,0.44,0.45,4.44,0.44,false
3396,day,27,month_day_hour_min,,0.44,0.52,0.49,0.45,0.47,0.45,0.48,0.52,0.47,0.50,4.79,0.48,false
3397,day,27,month_day_hour_min,,0.42,0.47,0.47,0.44,0.46,0.44,0.46,0.49,0.46,0.48,4.59,0.46,false
3398,day,27,month_day_hour_min,,0.44,0.50,0.50,0.47,0.46,0.43,0.47,0.48,0.46,0.46,4.67,0.47,false
3399,day,27,month_day_hour_min,,0.44,0.49,0.47,0.48,0.45,0.46,0.46,0.45,0.46,0.48,4.64,0.46,false
3400,day,27,month_day_hour_min,,0.46,0.44,0.45,0.44,0.43,0.42,0.45,0.44,0.43,0.45,4.41,0.44,false
3401,day,27,month_day_hour_min,,0.44,0.46,0.45,0.45,0.47,0.45,0.43,0.44,0.44,0.47,4.50,0.45,false
3402,day,27,month_day_hour_min,,0.46,0.46,0.44,0.43,0.44,0.45,0.45,0.45,0.45,0.45,4.48,0.45,false
3403,day,27,month_day_hour_min,,0.44,0.43,0.45,0.43,0.44,0.43,0.44,0.45,0.43,0.45,4.39,0.44,false
3404,day,27,month_day_hour_min,,0.44,0.46,0.46,0.46,0.43,0.45,0.45,0.46,0.44,0.46,4.51,0.45,false
3405,day,27,month_day_hour_min,,0.47,0.46,0.43,0.45,0.45,0.46,0.47,0.45,0.48,0.47,4.59,0.46,false
3406,day,27,month_day_hour_min,,0.46,0.46,0.44,0.43,0.44,0.43,0.44,0.46,0.43,0.45,4.44,0.44,false
3407,day,27,month_day_hour_min,,0.44,0.47,0.44,0.42,0.44,0.44,0.45,0.47,0.45,0.44,4.46,0.45,false
3408,day,27,month_day_hour_min,,0.46,0.46,0.44,0.42,0.47,0.46,0.46,0.47,0.45,0.47,4.56,0.46,false
3409,day,27,month_day_hour_min,,0.48,0.45,0.44,0.44,0.45,0.42,0.45,0.45,0.43,0.45,4.46,0.45,false
3410,day,27,month_day_hour_min,,0.49,0.51,0.47,0.47,0.45,0.46,0.49,0.46,0.44,0.45,4.69,0.47,false
3411,day,27,month_day_hour_min,,0.48,0.48,0.48,0.45,0.45,0.46,0.44,0.47,0.48,0.46,4.65,0.46,false
3412,day,27,month_day_hour_min,,0.47,0.50,0.48,0.46,0.46,0.44,0.44,0.49,0.45,0.49,4.68,0.47,false
3413,day,28,month_day_hour_min,,0.45,0.46,0.44,0.49,0.48,0.46,0.48,0.45,0.46,0.46,4.63,0.46,false
3414,day,28,month_day_hour_min,,0.46,0.46,0.44,0.46,0.45,0.46,0.47,0.46,0.45,0.46,4.57,0.46,false
3415,day,28,month_day_hour_min,,0.45,0.41,0.43,0.46,0.40,0.44,0.43,0.47,0.43,0.46,4.38,0.44,false
3416,day,28,month_day_hour_min,,0.44,0.45,0.44,0.48,0.41,0.47,0.46,0.46,0.46,0.47,4.54,0.45,false
3417,day,28,month_day_hour_min,,0.46,0.47,0.44,0.45,0.46,0.46,0.46,0.45,0.45,0.45,4.55,0.45,false
3418,day,28,month_day_hour_min,,0.41,0.42,0.41,0.42,0.40,0.42,0.42,0.43,0.41,0.42,4.16,0.42,false
3419,day,28,month_day_hour_min,,0.44,0.41,0.41,0.42,0.41,0.43,0.42,0.43,0.42,0.43,4.22,0.42,false
3420,day,28,month_day_hour_min,,0.42,0.44,0.43,0.43,0.44,0.45,0.43,0.43,0.43,0.44,4.34,0.43,false
3421,day,28,month_day_hour_min,,0.44,0.44,0.47,0.43,0.44,0.44,0.44,0.43,0.44,0.46,4.43,0.44,false
3422,day,28,month_day_hour_min,,0.45,0.46,0.47,0.45,0.43,0.45,0.46,0.46,0.47,0.47,4.57,0.46,false
3423,day,28,month_day_hour_min,,0.43,0.42,0.46,0.42,0.44,0.44,0.42,0.43,0.44,0.45,4.35,0.43,false
3424,day,28,month_day_hour_min,,0.43,0.44,0.44,0.44,0.43,0.44,0.44,0.43,0.45,0.45,4.39,0.44,false
3425,day,28,month_day_hour_min,,0.45,0.47,0.45,0.47,0.47,0.47,0.46,0.44,0.46,0.47,4.61,0.46,false
3426,day,28,month_day_hour_min,,0.46,0.44,0.43,0.43,0.44,0.45,0.46,0.44,0.46,0.46,4.47,0.45,false
3427,day,28,month_day_hour_min,,0.48,0.48,0.48,0.46,0.43,0.46,0.46,0.48,0.46,0.48,4.67,0.47,false
3428,day,28,month_day_hour_min,,0.45,0.44,0.45,0.43,0.43,0.45,0.44,0.44,0.43,0.47,4.43,0.44,false
3429,day,28,month_day_hour_min,,0.46,0.49,0.46,0.48,0.45,0.47,0.46,0.47,0.46,0.48,4.68,0.47,false
3430,day,28,month_day_hour_min,,0.45,0.45,0.45,0.45,0.45,0.50,0.49,0.46,0.45,0.47,4.62,0.46,false
3431,day,28,month_day_hour_min,,0.52,0.52,0.50,0.52,0.50,0.50,0.49,0.52,0.47,0.51,5.05,0.51,false
3432,day,29,month_day_hour_min,,0.47,0.50,0.46,0.47,0.49,0.47,0.51,0.47,0.48,0.50,4.82,0.48,false
3433,day,29,month_day_hour_min,,0.46,0.47,0.47,0.49,0.49,0.47,0.50,0.48,0.48,0.48,4.79,0.48,false
3434,day,29,month_day_hour_min,,0.42,0.43,0.44,0.46,0.41,0.43,0.46,0.46,0.44,0.45,4.40,0.44,false
3435,day,29,month_day_hour_min,,0.44,0.43,0.45,0.47,0.43,0.46,0.46,0.45,0.47,0.45,4.51,0.45,false
3436,day,29,month_day_hour_min,,0.41,0.42,0.43,0.43,0.41,0.44,0.44,0.45,0.43,0.44,4.30,0.43,false
3437,day,29,month_day_hour_min,,0.47,0.47,0.47,0.47,0.46,0.47,0.50,0.49,0.47,0.49,4.76,0.48,false
3438,day,29,month_day_hour_min,,0.44,0.47,0.46,0.44,0.44,0.45,0.47,0.46,0.45,0.47,4.55,0.45,false
3439,day,29,month_day_hour_min,,0.41,0.43,0.45,0.44,0.45,0.45,0.42,0.44,0.44,0.43,4.36,0.44,false
3440,day,29,month_day_hour_min,,0.45,0.46,0.45,0.42,0.43,0.44,0.45,0.46,0.46,0.46,4.48,0.45,false
3441,day,29,month_day_hour_min,,0.44,0.43,0.45,0.44,0.44,0.46,0.42,0.44,0.42,0.44,4.38,0.44,false
3442,day,29,month_day_hour_min,,0.45,0.46,0.45,0.43,0.44,0.45,0.45,0.46,0.46,0.46,4.51,0.45,false
3443,day,29,month_day_hour_min,,0.44,0.45,0.43,0.45,0.45,0.45,0.44,0.45,0.42,0.44,4.42,0.44,false
3444,day,29,month_day_hour_min,,0.43,0.44,0.45,0.43,0.43,0.42,0.43,0.43,0.42,0.45,4.33,0.43,false
3445,day,29,month_day_hour_min,,0.44,0.46,0.46,0.47,0.44,0.43,0.46,0.46,0.43,0.46,4.51,0.45,false
3446,day,29,month_day_hour_min,,0.49,0.49,0.46,0.48,0.49,0.49,0.50,0.48,0.48,0.49,4.85,0.49,false
3447,day,29,month_day_hour_min,,0.47,0.47,0.45,0.47,0.47,0.45,0.48,0.46,0.47,0.50,4.69,0.47,false
3448,day,29,month_day_hour_min,,0.46,0.48,0.48,0.49,0.46,0.45,0.48,0.47,0.47,0.49,4.73,0.47,false
3449,day,30,month_day_hour_min,,0.46,0.50,0.45,0.49,0.51,0.47,0.49,0.45,0.47,0.49,4.78,0.48,false
3450,day,30,month_day_hour_min,,0.45,0.47,0.45,0.48,0.47,0.45,0.49,0.45,0.48,0.45,4.64,0.46,false
3451,day,30,month_day_hour_min,,0.44,0.43,0.44,0.47,0.44,0.42,0.46,0.44,0.44,0.46,4.44,0.44,false
3452,day,30,month_day_hour_min,,0.44,0.45,0.44,0.48,0.45,0.47,0.49,0.44,0.47,0.46,4.59,0.46,false
3453,day,30,month_day_hour_min,,0.43,0.41,0.44,0.44,0.41,0.43,0.44,0.44,0.45,0.42,4.31,0.43,false
3454,day,30,month_day_hour_min,,0.42,0.42,0.44,0.43,0.42,0.43,0.45,0.44,0.46,0.41,4.32,0.43,false
3455,day,30,month_day_hour_min,,0.43,0.43,0.44,0.44,0.42,0.42,0.43,0.43,0.45,0.43,4.32,0.43,false
3456,day,30,month_day_hour_min,,0.41,0.42,0.43,0.42,0.42,0.43,0.43,0.43,0.43,0.41,4.23,0.42,false
3457,day,30,month_day_hour_min,,0.44,0.43,0.43,0.44,0.42,0.43,0.43,0.43,0.42,0.42,4.29,0.43,false
3458,day,30,month_day_hour_min,,0.44,0.45,0.44,0.47,0.43,0.46,0.46,0.44,0.44,0.45,4.48,0.45,false
3459,day,30,month_day_hour_min,,0.44,0.42,0.43,0.42,0.44,0.45,0.43,0.45,0.42,0.43,4.33,0.43,false
3460,day,30,month_day_hour_min,,0.44,0.42,0.44,0.45,0.45,0.43,0.43,0.44,0.42,0.42,4.34,0.43,false
3461,day,30,month_day_hour_min,,0.43,0.45,0.44,0.46,0.43,0.43,0.43,0.46,0.43,0.43,4.39,0.44,false
3462,day,30,month_day_hour_min,,0.45,0.48,0.46,0.43,0.42,0.42,0.45,0.50,0.45,0.45,4.51,0.45,false
3463,day,30,month_day_hour_min,,0.49,0.47,0.47,0.48,0.46,0.48,0.48,0.51,0.47,0.50,4.81,0.48,false
3464,day,30,month_day_hour_min,,0.47,0.51,0.50,0.51,0.50,0.49,0.49,0.48,0.47,0.51,4.93,0.49,false
3465,day,30,month_day_hour_min,,0.51,0.50,0.51,0.51,0.47,0.52,0.52,0.49,0.50,0.53,5.06,0.51,false
3466,day,30,month_day_hour_min,,0.47,0.53,0.48,0.49,0.47,0.48,0.47,0.46,0.47,0.49,4.81,0.48,false
3467,day,30,month_day_hour_min,,0.48,0.49,0.45,0.47,0.46,0.48,0.47,0.47,0.44,0.45,4.66,0.47,false
3468,day,30,month_day_hour_min,,0.49,0.50,0.46,0.47,0.45,0.46,0.48,0.46,0.45,0.47,4.69,0.47,false
3469,day,30,month_day_hour_min,,0.50,0.51,0.51,0.48,0.47,0.49,0.49,0.50,0.53,0.49,4.97,0.50,false
3470,day,30,month_day_hour_min,,0.55,0.58,0.55,0.50,0.53,0.52,0.54,0.52,0.53,0.55,5.37,0.54,false
3471,day,1,month_day_hour_min,,0.48,0.48,0.51,0.47,0.48,0.43,0.47,0.48,0.49,0.48,4.77,0.48,false
3472,day,1,month_day_hour_min,,0.52,0.52,0.53,0.50,0.48,0.50,0.46,0.49,0.50,0.51,5.01,0.50,false
3473,day,1,month_day_hour_min,,0.49,0.50,0.52,0.47,0.48,0.47,0.45,0.47,0.49,0.51,4.85,0.48,false
3474,day,1,month_day_hour_min,,0.48,0.48,0.47,0.46,0.50,0.49,0.47,0.48,0.47,0.45,4.75,0.47,false
3475,day,1,month_day_hour_min,,0.47,0.50,0.50,0.47,0.49,0.48,0.43,0.47,0.48,0.47,4.76,0.48,false
3476,day,1,month_day_hour_min,,0.48,0.49,0.47,0.46,0.47,0.45,0.42,0.47,0.45,0.48,4.64,0.46,false
3477,day,1,month_day_hour_min,,0.49,0.47,0.47,0.44,0.48,0.45,0.44,0.47,0.47,0.45,4.63,0.46,false
3478,day,1,month_day_hour_min,,0.48,0.50,0.48,0.45,0.47,0.45,0.41,0.46,0.44,0.46,4.60,0.46,false
3479,day,1,month_day_hour_min,,0.46,0.48,0.46,0.45,0.44,0.43,0.42,0.45,0.43,0.45,4.47,0.45,false
3480,day,1,month_day_hour_min,,0.47,0.47,0.47,0.44,0.45,0.47,0.42,0.48,0.44,0.45,4.56,0.46,false
3481,day,1,month_day_hour_min,,0.45,0.45,0.45,0.44,0.43,0.42,0.43,0.47,0.44,0.45,4.43,0.44,false
3482,day,1,month_day_hour_min,,0.47,0.48,0.47,0.47,0.47,0.48,0.44,0.49,0.47,0.47,4.71,0.47,false
3483,day,1,month_day_hour_min,,0.49,0.48,0.46,0.47,0.48,0.45,0.44,0.47,0.47,0.48,4.69,0.47,false
3484,day,1,month_day_hour_min,,0.48,0.50,0.47,0.47,0.48,0.45,0.46,0.46,0.47,0.50,4.74,0.47,false
3485,day,1,month_day_hour_min,,0.49,0.51,0.49,0.49,0.45,0.46,0.45,0.49,0.46,0.47,4.76,0.48,false
3486,day,1,month_day_hour_min,,0.50,0.51,0.49,0.49,0.47,0.48,0.50,0.49,0.47,0.51,4.91,0.49,false
3487,day,1,month_day_hour_min,,0.50,0.49,0.49,0.47,0.46,0.44,0.47,0.49,0.45,0.47,4.73,0.47,false
3488,day,1,month_day_hour_min,,0.53,0.51,0.53,0.52,0.50,0.49,0.49,0.51,0.50,0.54,5.12,0.51,false
3489,day,2,month_day_hour_min,,0.44,0.43,0.45,0.44,0.45,0.45,0.43,0.46,0.44,0.45,4.44,0.44,false
3490,day,2,month_day_hour_min,,0.47,0.45,0.48,0.45,0.44,0.42,0.42,0.47,0.42,0.44,4.46,0.45,false
3491,day,2,month_day_hour_min,,0.47,0.47,0.49,0.46,0.47,0.45,0.44,0.46,0.47,0.49,4.67,0.47,false
3492,day,2,month_day_hour_min,,0.51,0.50,0.53,0.47,0.48,0.48,0.43,0.49,0.47,0.51,4.87,0.49,false
3493,day,2,month_day_hour_min,,0.46,0.48,0.48,0.45,0.44,0.45,0.42,0.45,0.47,0.45,4.55,0.46,false
3494,day,2,month_day_hour_min,,0.49,0.46,0.50,0.48,0.46,0.45,0.44,0.47,0.47,0.49,4.71,0.47,false
3495,day,2,month_day_hour_min,,0.47,0.46,0.50,0.47,0.46,0.45,0.43,0.48,0.47,0.46,4.65,0.47,false
3496,day,2,month_day_hour_min,,0.46,0.44,0.45,0.44,0.42,0.42,0.42,0.43,0.44,0.42,4.34,0.43,false
3497,day,2,month_day_hour_min,,0.45,0.46,0.45,0.44,0.44,0.44,0.43,0.48,0.46,0.43,4.48,0.45,false
3498,day,2,month_day_hour_min,,0.44,0.47,0.45,0.43,0.44,0.42,0.41,0.43,0.43,0.43,4.35,0.44,false
3499,day,2,month_day_hour_min,,0.45,0.46,0.46,0.46,0.43,0.44,0.46,0.45,0.45,0.44,4.50,0.45,false
3500,day,2,month_day_hour_min,,0.48,0.49,0.46,0.48,0.44,0.45,0.42,0.46,0.46,0.44,4.58,0.46,false
3501,day,2,month_day_hour_min,,0.47,0.47,0.49,0.47,0.45,0.44,0.43,0.47,0.46,0.46,4.61,0.46,false
3502,day,2,month_day_hour_min,,0.52,0.48,0.53,0.50,0.47,0.48,0.45,0.48,0.47,0.47,4.85,0.48,false
3503,day,2,month_day_hour_min,,0.53,0.52,0.53,0.51,0.47,0.49,0.51,0.50,0.48,0.52,5.06,0.51,false
3504,day,2,month_day_hour_min,,0.51,0.48,0.54,0.50,0.47,0.47,0.46,0.48,0.45,0.48,4.84,0.48,false
3505,day,3,month_day_hour_min,,0.50,0.46,0.51,0.49,0.50,0.45,0.46,0.48,0.47,0.47,4.79,0.48,false
3506,day,3,month_day_hour_min,,0.47,0.48,0.47,0.48,0.49,0.48,0.47,0.49,0.46,0.45,4.74,0.47,false
3507,day,3,month_day_hour_min,,0.48,0.48,0.47,0.49,0.49,0.49,0.45,0.48,0.45,0.48,4.76,0.48,false
3508,day,3,month_day_hour_min,,0.48,0.48,0.49,0.48,0.51,0.48,0.48,0.48,0.45,0.46,4.79,0.48,false
3509,day,3,month_day_hour_min,,0.46,0.46,0.46,0.47,0.47,0.46,0.43,0.47,0.43,0.45,4.56,0.46,false
3510,day,3,month_day_hour_min,,0.52,0.49,0.51,0.49,0.53,0.48,0.50,0.53,0.56,0.47,5.08,0.51,false
3511,day,3,month_day_hour_min,,0.46,0.43,0.45,0.42,0.46,0.42,0.43,0.44,0.42,0.45,4.38,0.44,false
3512,day,3,month_day_hour_min,,0.45,0.49,0.45,0.41,0.44,0.47,0.42,0.47,0.47,0.44,4.51,0.45,false
3513,day,3,month_day_hour_min,,0.47,0.46,0.45,0.46,0.42,0.44,0.44,0.46,0.47,0.42,4.49,0.45,false
3514,day,3,month_day_hour_min,,0.45,0.46,0.44,0.42,0.42,0.44,0.42,0.44,0.43,0.41,4.33,0.43,false
3515,day,3,month_day_hour_min,,0.47,0.47,0.46,0.44,0.44,0.45,0.44,0.45,0.44,0.43,4.49,0.45,false
3516,day,3,month_day_hour_min,,0.45,0.45,0.46,0.45,0.43,0.41,0.43,0.43,0.43,0.43,4.37,0.44,false
3517,day,3,month_day_hour_min,,0.46,0.46,0.46,0.42,0.45,0.45,0.41,0.46,0.46,0.44,4.47,0.45,false
3518,day,3,month_day_hour_min,,0.51,0.48,0.50,0.48,0.46,0.46,0.46,0.49,0.48,0.48,4.80,0.48,false
3519,day,3,month_day_hour_min,,0.52,0.52,0.53,0.50,0.53,0.49,0.45,0.49,0.47,0.48,4.98,0.50,false
3520,day,3,month_day_hour_min,,0.57,0.60,0.58,0.59,0.62,0.55,0.59,0.58,0.58,0.56,5.82,0.58,false
3521,day,3,month_day_hour_min,,0.47,0.49,0.47,0.47,0.47,0.44,0.43,0.45,0.44,0.46,4.59,0.46,false
3522,day,3,month_day_hour_min,,0.49,0.49,0.51,0.48,0.47,0.46,0.44,0.49,0.45,0.48,4.76,0.48,false
3523,day,4,month_day_hour_min,,0.47,0.47,0.48,0.48,0.49,0.46,0.48,0.47,0.48,0.49,4.77,0.48,false
3524,day,4,month_day_hour_min,,0.47,0.44,0.47,0.47,0.46,0.43,0.46,0.46,0.47,0.46,4.59,0.46,false
3525,day,4,month_day_hour_min,,0.46,0.48,0.49,0.48,0.49,0.44,0.45,0.46,0.48,0.49,4.72,0.47,false
3526,day,4,month_day_hour_min,,0.46,0.46,0.46,0.46,0.47,0.44,0.46,0.45,0.48,0.46,4.60,0.46,false
3527,day,4,month_day_hour_min,,0.44,0.45,0.45,0.43,0.46,0.46,0.46,0.46,0.46,0.45,4.52,0.45,false
3528,day,4,month_day_hour_min,,0.45,0.44,0.45,0.43,0.45,0.42,0.42,0.44,0.43,0.45,4.38,0.44,false
3529,day,4,month_day_hour_min,,0.50,0.52,0.50,0.46,0.46,0.48,0.45,0.44,0.46,0.47,4.74,0.47,false
3530,day,4,month_day_hour_min,,0.48,0.50,0.46,0.44,0.44,0.47,0.47,0.46,0.45,0.48,4.65,0.47,false
3531,day,4,month_day_hour_min,,0.47,0.49,0.45,0.47,0.42,0.45,0.45,0.45,0.45,0.44,4.54,0.45,false
3532,day,4,month_day_hour_min,,0.43,0.46,0.44,0.41,0.42,0.42,0.43,0.44,0.43,0.42,4.30,0.43,false
3533,day,4,month_day_hour_min,,0.45,0.46,0.45,0.44,0.43,0.42,0.41,0.43,0.43,0.41,4.33,0.43,false
3534,day,4,month_day_hour_min,,0.48,0.49,0.46,0.46,0.44,0.45,0.43,0.44,0.46,0.46,4.57,0.46,false
3535,day,4,month_day_hour_min,,0.49,0.50,0.48,0.48,0.46,0.46,0.48,0.50,0.47,0.48,4.80,0.48,false
3536,day,4,month_day_hour_min,,0.44,0.46,0.45,0.43,0.44,0.44,0.41,0.45,0.44,0.44,4.40,0.44,false
3537,day,4,month_day_hour_min,,0.45,0.47,0.46,0.45,0.44,0.44,0.44,0.45,0.44,0.44,4.48,0.45,false
3538,day,4,month_day_hour_min,,0.49,0.47,0.50,0.46,0.46,0.44,0.45,0.45,0.43,0.46,4.61,0.46,false
3539,day,4,month_day_hour_min,,0.49,0.51,0.50,0.51,0.48,0.49,0.50,0.49,0.47,0.46,4.90,0.49,false
3540,day,5,month_day_hour_min,,0.45,0.50,0.48,0.49,0.47,0.45,0.51,0.45,0.48,0.48,4.76,0.48,false
3541,day,5,month_day_hour_min,,0.45,0.44,0.47,0.46,0.44,0.43,0.43,0.44,0.45,0.47,4.48,0.45,false
3542,day,5,month_day_hour_min,,0.47,0.46,0.47,0.45,0.46,0.46,0.45,0.46,0.48,0.47,4.63,0.46,false
3543,day,5,month_day_hour_min,,0.42,0.43,0.45,0.42,0.44,0.47,0.44,0.44,0.43,0.42,4.36,0.44,false
3544,day,5,month_day_hour_min,,0.42,0.43,0.44,0.41,0.42,0.46,0.44,0.45,0.42,0.44,4.33,0.43,false
3545,day,5,month_day_hour_min,,0.40,0.43,0.41,0.43,0.41,0.41,0.42,0.43,0.42,0.41,4.17,0.42,false
3546,day,5,month_day_hour_min,,0.41,0.43,0.41,0.42,0.45,0.41,0.41,0.42,0.42,0.42,4.20,0.42,false
3547,day,5,month_day_hour_min,,0.40,0.42,0.42,0.42,0.44,0.41,0.41,0.43,0.43,0.42,4.20,0.42,false
3548,day,5,month_day_hour_min,,0.41,0.44,0.43,0.41,0.43,0.41,0.40,0.43,0.41,0.41,4.18,0.42,false
3549,day,5,month_day_hour_min,,0.41,0.44,0.42,0.43,0.43,0.42,0.41,0.42,0.41,0.40,4.19,0.42,false
3550,day,5,month_day_hour_min,,0.43,0.46,0.43,0.45,0.42,0.42,0.42,0.43,0.43,0.42,4.31,0.43,false
3551,day,5,month_day_hour_min,,0.43,0.44,0.44,0.41,0.42,0.42,0.41,0.44,0.45,0.43,4.29,0.43,false
3552,day,5,month_day_hour_min,,0.44,0.44,0.45,0.44,0.48,0.45,0.43,0.45,0.46,0.44,4.48,0.45,false
3553,day,5,month_day_hour_min,,0.42,0.43,0.43,0.41,0.43,0.41,0.42,0.42,0.42,0.42,4.21,0.42,false
3554,day,5,month_day_hour_min,,0.44,0.46,0.43,0.43,0.47,0.43,0.48,0.44,0.43,0.43,4.44,0.44,false
3555,day,5,month_day_hour_min,,0.45,0.45,0.42,0.46,0.47,0.43,0.44,0.42,0.43,0.45,4.42,0.44,false
3556,day,5,month_day_hour_min,,0.44,0.44,0.43,0.45,0.43,0.41,0.41,0.42,0.42,0.43,4.28,0.43,false
3557,day,5,month_day_hour_min,,0.45,0.45,0.47,0.46,0.44,0.43,0.43,0.45,0.44,0.43,4.45,0.45,false
3558,day,5,month_day_hour_min,,0.46,0.46,0.45,0.46,0.44,0.44,0.42,0.43,0.44,0.45,4.45,0.45,false
3559,day,5,month_day_hour_min,,0.48,0.46,0.47,0.45,0.44,0.45,0.44,0.45,0.45,0.45,4.54,0.45,false
3560,day,5,month_day_hour_min,,0.52,0.51,0.56,0.50,0.48,0.52,0.46,0.49,0.48,0.51,5.03,0.50,false
3561,day,6,month_day_hour_min,,0.44,0.45,0.46,0.42,0.44,0.46,0.45,0.46,0.44,0.45,4.47,0.45,false
3562,day,6,month_day_hour_min,,0.44,0.43,0.44,0.43,0.43,0.42,0.42,0.45,0.43,0.45,4.34,0.43,false
3563,day,6,month_day_hour_min,,0.42,0.47,0.44,0.42,0.43,0.44,0.43,0.44,0.45,0.44,4.38,0.44,false
3564,day,6,month_day_hour_min,,0.42,0.43,0.44,0.44,0.42,0.42,0.41,0.45,0.45,0.42,4.30,0.43,false
3565,day,6,month_day_hour_min,,0.43,0.48,0.43,0.44,0.44,0.44,0.43,0.46,0.46,0.43,4.44,0.44,false
3566,day,6,month_day_hour_min,,0.41,0.44,0.44,0.41,0.42,0.42,0.43,0.43,0.42,0.41,4.23,0.42,false
3567,day,6,month_day_hour_min,,0.42,0.46,0.42,0.43,0.42,0.41,0.41,0.42,0.43,0.41,4.23,0.42,false
3568,day,6,month_day_hour_min,,0.41,0.45,0.45,0.42,0.45,0.43,0.42,0.45,0.44,0.45,4.37,0.44,false
3569,day,6,month_day_hour_min,,0.42,0.46,0.46,0.44,0.41,0.42,0.41,0.45,0.42,0.44,4.33,0.43,false
3570,day,6,month_day_hour_min,,0.61,0.65,0.60,0.63,0.63,0.57,0.59,0.63,0.61,0.62,6.14,0.61,true
3571,day,6,month_day_hour_min,,0.45,0.47,0.44,0.44,0.44,0.42,0.43,0.46,0.42,0.41,4.38,0.44,false
3572,day,6,month_day_hour_min,,0.43,0.45,0.43,0.45,0.43,0.41,0.42,0.43,0.42,0.42,4.29,0.43,false
3573,day,6,month_day_hour_min,,0.48,0.47,0.49,0.46,0.44,0.46,0.44,0.47,0.46,0.47,4.64,0.46,false
3574,day,7,month_day_hour_min,,0.44,0.43,0.43,0.45,0.44,0.41,0.45,0.42,0.44,0.45,4.36,0.44,false
