month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu
12,27,5,45,2.46,249.08,0,2.852,280.68,23.05,267.73,32.73,295.13,0,51.83
12,27,6,30,2.55,260.77,0,2.88,195.58,20.77,263.53,32.76,389.27,0,52.52
12,27,7,0,2.6,178.48,0,2.89,206.12,20.42,258.2,32.51,389.13,0,52.2
12,27,16,0,2.84,33.32,169.95,2.021,111.48,17.61,260.67,31.44,164.47,0,49.12
12,27,17,45,2.51,0,301.45,1.773,111.17,18.27,258.27,30.56,109.73,0,48
12,28,0,0,1.88,280.04,0,1.076,382.72,23.63,237.07,32.2,276.47,0,51.03
12,28,0,45,1.94,207.46,0,0.442,436.85,26.81,240.8,31.97,170.27,0,50.29
12,28,2,0,2.05,231.58,0,0.909,437.4,26.59,239.8,32.04,213.93,0,50.48
12,28,3,0,2.15,212.23,0,1.273,440.24,26.27,239.87,32.07,216.27,0,50.79
12,28,3,15,2.17,228.24,0,1.369,440.03,26.57,240.13,32.05,212.93,0,50.46
12,28,6,0,2.38,259.89,0,2.289,177.53,20.27,234.93,32.56,387.87,0,52.43
12,28,18,0,2.08,0,324.81,0.928,115.38,18.84,266.2,29.8,114.33,0,47.24
12,28,18,30,1.96,0,325.47,0.862,153.44,20.26,265.8,29.84,152.4,0,46.96
12,28,21,45,1.73,252.69,0,0.701,178.61,20.79,228,31.77,412.73,0,51.88
12,28,23,0,1.89,345.3,0,0.642,338.8,22.29,218.2,32.41,383.73,0,52.3
12,29,2,0,2.19,263.21,0,1.724,420.66,26.77,225.13,32.23,213.2,0,50.5
12,29,6,0,2.74,272.87,0,2.94,174.46,20.69,241.87,32.86,385.07,0,52.76
12,29,21,45,1.95,280.04,0,0.817,146.59,20.65,227.87,32.06,456.53,0,52.87
12,29,23,15,2.15,167.44,0,0.879,386.56,23.73,230.67,31.95,219.8,0,50.46
12,30,0,15,2.22,198.41,0,1.165,378.2,23.76,229.33,32.12,217.8,0,50.65
12,30,0,45,2.27,297.41,0,1.318,406.02,23.76,221.67,32.68,292.4,0,51.73
12,30,7,0,2.91,217.54,0,2.851,179.35,20.73,256.67,32.91,438.27,0,53.24
12,30,20,45,1.96,0,304.92,0.931,139.43,17.52,262.27,29.97,138.4,0,47.24
12,30,21,15,1.85,0,264.76,0.851,137.08,18.74,259,30.21,136.33,0,47.47
12,30,21,30,1.8,0,229.63,0.814,134.81,19.89,256.13,30.4,133.73,0,47.73
12,30,21,45,1.75,0,240.41,0.779,134.58,19.76,252.67,30.13,133.93,0,47.41
