id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
383,end_device_ids.device_id,0.5714285714285714,0,0.748046875,0.46,0.48,0.46,0.46,0.46,0.48,0.47,0.46,0.45,0.46,0.47,0.48,0.47,0.47,0.46,0.45,0.46,0.47,0.47,0.48,0.46,0.45,0.47,0.45,0.47,11.62,0.46,false
384,end_device_ids.device_id,0.6428571428571429,0,0.75,0.43,0.43,0.43,0.43,0.43,0.44,0.44,0.43,0.43,0.44,0.45,0.44,0.45,0.44,0.43,0.44,0.42,0.45,0.43,0.44,0.42,0.43,0.43,0.42,0.44,10.86,0.43,false
385,end_device_ids.device_id,0.7142857142857143,0,0.751953125,0.48,0.49,0.47,0.47,0.49,0.49,0.48,0.47,0.46,0.48,0.48,0.49,0.48,0.49,0.47,0.47,0.47,0.48,0.48,0.48,0.49,0.48,0.48,0.47,0.49,11.98,0.48,false
386,end_device_ids.device_id,0.7857142857142857,0,0.75390625,0.43,0.43,0.42,0.43,0.42,0.43,0.42,0.42,0.43,0.44,0.43,0.42,0.43,0.43,0.43,0.42,0.42,0.42,0.43,0.43,0.43,0.42,0.43,0.42,0.42,10.65,0.43,false
387,end_device_ids.device_id,0.14285714285714285,0,0.755859375,0.47,0.47,0.47,0.46,0.48,0.48,0.47,0.48,0.47,0.46,0.46,0.48,0.48,0.47,0.47,0.47,0.47,0.46,0.48,0.47,0.47,0.47,0.49,0.48,0.48,11.81,0.47,false
388,end_device_ids.device_id,0.21428571428571427,0,0.7578125,0.48,0.48,0.47,0.47,0.49,0.48,0.48,0.49,0.48,0.45,0.48,0.50,0.48,0.48,0.48,0.49,0.48,0.48,0.49,0.49,0.47,0.49,0.47,0.50,0.48,12.03,0.48,false
389,end_device_ids.device_id,0.9285714285714286,0,0.759765625,0.49,0.50,0.49,0.47,0.51,0.50,0.50,0.49,0.49,0.51,0.51,0.49,0.50,0.50,0.49,0.51,0.48,0.49,0.50,0.49,0.50,0.47,0.50,0.50,0.50,12.38,0.50,false
390,end_device_ids.device_id,1,0,0.76171875,0.50,0.51,0.52,0.51,0.50,0.51,0.52,0.51,0.51,0.50,0.51,0.50,0.51,0.53,0.50,0.51,0.49,0.52,0.51,0.51,0.50,0.51,0.50,0.51,0.51,12.71,0.51,false
391,end_device_ids.device_id,0.42857142857142855,0,0.763671875,0.51,0.51,0.53,0.52,0.53,0.53,0.52,0.52,0.50,0.51,0.53,0.53,0.53,0.52,0.53,0.54,0.52,0.53,0.53,0.52,0.53,0.53,0.52,0.52,0.54,13.10,0.52,false
392,end_device_ids.device_id,0,0,0.765625,0.54,0.54,0.55,0.53,0.55,0.54,0.54,0.54,0.54,0.53,0.54,0.55,0.53,0.54,0.54,0.55,0.54,0.54,0.54,0.53,0.54,0.53,0.54,0.51,0.53,13.45,0.54,false
393,end_device_ids.device_id,0.07142857142857142,0,0.767578125,0.50,0.51,0.50,0.51,0.50,0.50,0.50,0.49,0.49,0.50,0.51,0.50,0.49,0.51,0.49,0.51,0.52,0.50,0.50,0.51,0.50,0.50,0.49,0.50,0.51,12.54,0.50,false
394,end_device_ids.device_id,0.14285714285714285,0,0.76953125,0.48,0.47,0.48,0.48,0.49,0.48,0.48,0.48,0.47,0.46,0.47,0.49,0.49,0.47,0.49,0.49,0.47,0.48,0.48,0.50,0.48,0.48,0.50,0.49,0.49,12.04,0.48,false
395,end_device_ids.device_id,0.21428571428571427,0,0.771484375,0.52,0.53,0.52,0.52,0.51,0.52,0.53,0.52,0.52,0.52,0.54,0.53,0.54,0.52,0.52,0.53,0.51,0.52,0.52,0.52,0.51,0.53,0.53,0.52,0.52,13.07,0.52,false
396,end_device_ids.device_id,0.2857142857142857,0,0.7734375,0.46,0.46,0.45,0.46,0.46,0.46,0.44,0.46,0.45,0.44,0.46,0.46,0.47,0.45,0.46,0.45,0.44,0.45,0.44,0.46,0.45,0.47,0.46,0.45,0.47,11.38,0.46,false
397,end_device_ids.device_id,0.35714285714285715,0,0.775390625,0.46,0.47,0.45,0.46,0.45,0.46,0.47,0.45,0.46,0.45,0.47,0.47,0.46,0.47,0.46,0.46,0.47,0.47,0.47,0.48,0.46,0.47,0.46,0.45,0.47,11.57,0.46,false
398,end_device_ids.device_id,0.42857142857142855,0,0.77734375,0.54,0.55,0.55,0.54,0.54,0.55,0.55,0.54,0.55,0.53,0.53,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.55,0.55,0.53,0.54,0.55,0.54,0.54,13.59,0.54,false
399,end_device_ids.device_id,0.5,0,0.779296875,0.50,0.51,0.52,0.51,0.50,0.51,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.52,0.50,0.49,0.51,0.50,0.49,0.51,0.51,0.49,0.50,0.50,0.50,12.65,0.51,false
400,end_device_ids.device_id,0.5714285714285714,0,0.78125,0.45,0.46,0.45,0.45,0.45,0.45,0.47,0.46,0.46,0.45,0.47,0.47,0.45,0.46,0.45,0.46,0.45,0.47,0.47,0.48,0.45,0.45,0.46,0.44,0.46,11.44,0.46,false
401,end_device_ids.device_id,0.6428571428571429,0,0.783203125,0.43,0.43,0.43,0.42,0.42,0.42,0.43,0.42,0.43,0.43,0.42,0.43,0.44,0.43,0.42,0.43,0.41,0.44,0.42,0.43,0.41,0.42,0.43,0.41,0.43,10.63,0.43,false
402,end_device_ids.device_id,0.7142857142857143,0,0.78515625,0.45,0.45,0.46,0.46,0.45,0.46,0.44,0.44,0.45,0.45,0.46,0.45,0.44,0.44,0.46,0.44,0.44,0.45,0.45,0.45,0.46,0.44,0.43,0.45,0.46,11.23,0.45,false
403,end_device_ids.device_id,0.7857142857142857,0,0.787109375,0.48,0.47,0.49,0.47,0.48,0.48,0.47,0.46,0.49,0.48,0.48,0.47,0.46,0.48,0.49,0.47,0.46,0.47,0.48,0.47,0.49,0.48,0.46,0.48,0.48,11.89,0.48,false
404,end_device_ids.device_id,0.14285714285714285,0,0.7890625,0.55,0.54,0.56,0.56,0.55,0.55,0.56,0.56,0.56,0.55,0.55,0.55,0.57,0.54,0.55,0.55,0.54,0.54,0.57,0.55,0.54,0.56,0.56,0.56,0.56,13.83,0.55,false
405,end_device_ids.device_id,0.21428571428571427,0,0.791015625,0.48,0.48,0.48,0.48,0.49,0.49,0.48,0.50,0.49,0.47,0.48,0.50,0.50,0.48,0.48,0.49,0.49,0.48,0.49,0.49,0.48,0.50,0.49,0.49,0.48,12.16,0.49,false
406,end_device_ids.device_id,0.8571428571428571,0,0.79296875,0.43,0.42,0.42,0.43,0.42,0.44,0.43,0.42,0.43,0.43,0.44,0.43,0.44,0.43,0.43,0.44,0.43,0.43,0.42,0.44,0.43,0.42,0.42,0.43,0.44,10.74,0.43,false
407,end_device_ids.device_id,0.9285714285714286,0,0.794921875,0.48,0.47,0.48,0.49,0.48,0.49,0.47,0.47,0.49,0.47,0.48,0.47,0.46,0.46,0.47,0.49,0.47,0.48,0.49,0.47,0.48,0.47,0.47,0.49,0.49,11.93,0.48,false
408,end_device_ids.device_id,1,0,0.796875,0.52,0.53,0.55,0.53,0.52,0.53,0.54,0.54,0.53,0.54,0.53,0.52,0.53,0.54,0.51,0.54,0.52,0.53,0.53,0.52,0.52,0.53,0.53,0.52,0.55,13.25,0.53,false
409,end_device_ids.device_id,0.42857142857142855,0,0.798828125,0.50,0.49,0.49,0.50,0.49,0.51,0.48,0.51,0.51,0.49,0.48,0.51,0.51,0.49,0.49,0.51,0.49,0.50,0.50,0.51,0.49,0.50,0.50,0.50,0.50,12.45,0.50,false
410,end_device_ids.device_id,0,0,0.80078125,0.53,0.52,0.56,0.52,0.53,0.52,0.52,0.52,0.51,0.52,0.54,0.51,0.51,0.52,0.53,0.52,0.53,0.52,0.53,0.52,0.52,0.52,0.53,0.51,0.53,13.09,0.52,false
411,end_device_ids.device_id,0.07142857142857142,0,0.802734375,0.49,0.50,0.49,0.50,0.50,0.49,0.49,0.48,0.49,0.48,0.50,0.49,0.48,0.49,0.50,0.49,0.50,0.49,0.50,0.50,0.50,0.49,0.49,0.49,0.50,12.32,0.49,false
412,end_device_ids.device_id,0.14285714285714285,0,0.8046875,0.48,0.47,0.49,0.47,0.48,0.49,0.47,0.49,0.48,0.46,0.48,0.50,0.50,0.47,0.47,0.48,0.48,0.48,0.49,0.49,0.47,0.48,0.49,0.49,0.48,12.03,0.48,false
413,end_device_ids.device_id,0.21428571428571427,0,0.806640625,0.49,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.48,0.49,0.50,0.49,0.49,0.48,0.49,0.49,0.47,0.48,0.49,0.49,0.49,0.49,0.47,0.49,0.49,12.17,0.49,false
414,end_device_ids.device_id,0.2857142857142857,0,0.80859375,0.52,0.52,0.53,0.52,0.52,0.52,0.51,0.50,0.50,0.50,0.50,0.51,0.53,0.53,0.52,0.50,0.51,0.51,0.52,0.51,0.51,0.51,0.52,0.52,0.51,12.85,0.51,false
415,end_device_ids.device_id,0.35714285714285715,0,0.810546875,0.44,0.44,0.44,0.45,0.45,0.45,0.44,0.43,0.43,0.44,0.44,0.44,0.44,0.43,0.44,0.45,0.44,0.45,0.45,0.44,0.44,0.45,0.45,0.43,0.44,11.04,0.44,false
416,end_device_ids.device_id,0.42857142857142855,0,0.8125,0.53,0.50,0.53,0.53,0.52,0.52,0.53,0.52,0.51,0.51,0.53,0.53,0.51,0.52,0.51,0.53,0.51,0.53,0.52,0.51,0.54,0.52,0.50,0.52,0.53,13.01,0.52,false
417,end_device_ids.device_id,0.5,0,0.814453125,0.43,0.43,0.43,0.44,0.45,0.43,0.44,0.43,0.44,0.44,0.44,0.44,0.43,0.44,0.43,0.44,0.43,0.44,0.44,0.45,0.44,0.42,0.42,0.42,0.45,10.89,0.44,false
418,end_device_ids.device_id,0.5714285714285714,0,0.81640625,0.46,0.48,0.48,0.46,0.46,0.47,0.48,0.46,0.46,0.46,0.46,0.48,0.47,0.48,0.47,0.46,0.46,0.47,0.48,0.46,0.47,0.47,0.47,0.46,0.48,11.71,0.47,false
419,end_device_ids.device_id,0.6428571428571429,0,0.818359375,0.43,0.43,0.43,0.44,0.44,0.44,0.44,0.42,0.43,0.43,0.43,0.43,0.43,0.44,0.44,0.43,0.43,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.44,10.82,0.43,false
420,end_device_ids.device_id,0.7142857142857143,0,0.8203125,0.48,0.47,0.47,0.45,0.49,0.48,0.47,0.46,0.47,0.47,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.48,0.47,0.47,0.48,0.46,0.48,0.47,0.47,11.82,0.47,false
