id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
370,correlation_ids_0,0.72265625,received_at,0.72265625,0.48,0.48,0.47,0.48,0.49,0.47,0.50,0.50,0.49,0.50,0.49,0.49,0.49,0.50,0.48,0.50,0.48,0.49,0.50,0.47,0.48,0.50,0.49,0.49,0.48,12.19,0.49,false
371,correlation_ids_0,0.724609375,received_at,0.724609375,0.51,0.50,0.49,0.49,0.49,0.50,0.51,0.52,0.50,0.52,0.50,0.49,0.49,0.50,0.49,0.50,0.50,0.51,0.50,0.50,0.51,0.51,0.49,0.49,0.50,12.51,0.50,false
372,correlation_ids_0,0.7265625,received_at,0.7265625,0.47,0.47,0.49,0.47,0.46,0.46,0.48,0.46,0.46,0.46,0.47,0.47,0.47,0.48,0.47,0.48,0.46,0.48,0.47,0.48,0.48,0.48,0.47,0.48,0.48,11.80,0.47,false
373,correlation_ids_0,0.728515625,received_at,0.728515625,0.47,0.48,0.47,0.47,0.47,0.46,0.47,0.47,0.47,0.48,0.48,0.46,0.47,0.48,0.47,0.47,0.45,0.47,0.47,0.48,0.47,0.46,0.47,0.47,0.47,11.75,0.47,false
374,correlation_ids_0,0.73046875,received_at,0.73046875,0.56,0.57,0.56,0.55,0.55,0.54,0.56,0.57,0.56,0.55,0.56,0.54,0.55,0.56,0.55,0.54,0.55,0.56,0.55,0.56,0.55,0.53,0.57,0.55,0.57,13.86,0.55,false
375,correlation_ids_0,0.732421875,received_at,0.732421875,0.49,0.49,0.49,0.49,0.50,0.48,0.52,0.51,0.51,0.52,0.50,0.51,0.50,0.51,0.49,0.50,0.49,0.49,0.49,0.50,0.49,0.51,0.50,0.50,0.51,12.49,0.50,false
376,correlation_ids_0,0.734375,received_at,0.734375,0.56,0.55,0.55,0.54,0.54,0.56,0.56,0.55,0.56,0.57,0.57,0.54,0.54,0.56,0.56,0.55,0.54,0.55,0.54,0.55,0.54,0.55,0.54,0.55,0.57,13.79,0.55,false
377,correlation_ids_0,0.736328125,received_at,0.736328125,0.48,0.49,0.47,0.49,0.50,0.47,0.50,0.50,0.49,0.50,0.49,0.49,0.49,0.50,0.48,0.50,0.48,0.49,0.50,0.47,0.49,0.50,0.49,0.49,0.48,12.23,0.49,false
378,correlation_ids_0,0.73828125,received_at,0.73828125,0.50,0.49,0.48,0.49,0.49,0.50,0.52,0.51,0.50,0.52,0.49,0.49,0.49,0.50,0.49,0.50,0.50,0.51,0.49,0.50,0.51,0.52,0.49,0.50,0.50,12.48,0.50,false
379,correlation_ids_0,0.740234375,received_at,0.740234375,0.47,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.45,0.46,0.45,0.46,0.46,0.46,0.45,0.48,0.46,0.46,0.45,0.46,0.45,0.46,0.46,11.56,0.46,false
380,correlation_ids_0,0.7421875,received_at,0.7421875,0.48,0.46,0.47,0.47,0.47,0.45,0.47,0.47,0.46,0.47,0.47,0.47,0.46,0.47,0.47,0.46,0.46,0.48,0.47,0.48,0.46,0.46,0.46,0.48,0.48,11.70,0.47,false
381,correlation_ids_0,0.744140625,received_at,0.744140625,0.49,0.49,0.49,0.49,0.49,0.48,0.52,0.51,0.51,0.51,0.50,0.51,0.49,0.51,0.49,0.51,0.50,0.50,0.50,0.50,0.49,0.51,0.50,0.51,0.51,12.51,0.50,false
382,correlation_ids_0,0.74609375,received_at,0.74609375,0.44,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.44,0.42,0.44,0.44,0.43,0.42,0.45,0.44,0.45,0.44,0.43,0.43,0.45,0.45,10.99,0.44,false
