id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
150,2021 Nivel depósito ,0.1410256410256409,,,0.46,0.44,0.47,0.44,0.45,0.44,0.45,0.44,0.46,0.43,0.45,0.44,0.46,0.45,0.45,0.44,0.45,0.45,0.46,0.45,0.45,0.45,0.44,0.45,0.42,11.19,0.45,false
151,2021 Nivel depósito ,0.15384615384615344,,,0.44,0.42,0.45,0.42,0.43,0.44,0.45,0.43,0.43,0.43,0.42,0.43,0.43,0.42,0.43,0.43,0.43,0.43,0.44,0.43,0.44,0.44,0.44,0.43,0.43,10.81,0.43,false
152,2021 Nivel depósito ,0.16666666666666657,,,0.43,0.42,0.45,0.43,0.43,0.41,0.44,0.42,0.43,0.42,0.41,0.43,0.44,0.43,0.43,0.42,0.44,0.44,0.44,0.42,0.42,0.44,0.44,0.45,0.43,10.76,0.43,false
153,2021 Nivel depósito ,0.19230769230769224,,,0.40,0.40,0.40,0.38,0.40,0.41,0.43,0.39,0.40,0.40,0.39,0.40,0.41,0.41,0.40,0.40,0.41,0.41,0.40,0.41,0.40,0.42,0.41,0.40,0.39,10.07,0.40,false
154,2021 Nivel depósito ,0.2051282051282048,,,0.43,0.42,0.43,0.41,0.41,0.43,0.43,0.42,0.42,0.40,0.41,0.41,0.43,0.42,0.41,0.42,0.40,0.41,0.42,0.41,0.40,0.43,0.43,0.42,0.42,10.44,0.42,false
155,2021 Nivel depósito ,0.21794871794871792,,,0.44,0.42,0.43,0.42,0.42,0.42,0.45,0.43,0.42,0.43,0.41,0.44,0.46,0.42,0.42,0.44,0.42,0.43,0.42,0.43,0.42,0.45,0.44,0.44,0.43,10.75,0.43,false
156,2021 Nivel depósito ,0.24358974358974358,,,0.40,0.39,0.40,0.39,0.40,0.39,0.42,0.40,0.39,0.40,0.39,0.41,0.42,0.41,0.40,0.40,0.40,0.41,0.39,0.41,0.40,0.41,0.43,0.41,0.41,10.08,0.40,false
157,2021 Nivel depósito ,0.2564102564102561,,,0.40,0.42,0.42,0.40,0.42,0.41,0.41,0.41,0.41,0.40,0.39,0.42,0.44,0.40,0.40,0.40,0.40,0.43,0.40,0.40,0.41,0.40,0.43,0.41,0.40,10.23,0.41,false
158,2021 Nivel depósito ,0.2820512820512818,,,0.39,0.38,0.38,0.37,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.38,0.39,0.39,0.38,0.38,0.38,0.39,0.38,0.37,0.38,0.39,0.39,0.38,0.38,9.52,0.38,false
159,2021 Nivel depósito ,0.29487179487179493,,,0.39,0.38,0.40,0.37,0.38,0.39,0.39,0.38,0.38,0.37,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.38,0.38,0.37,0.38,0.40,0.40,0.39,0.38,9.56,0.38,false
