num,month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu
8784,4,2,11,45,2.75,0.00,107.45,2.511,177.17,21.15,261.73,31.86,385.47,0.00,51.69
8786,4,2,12,15,2.71,2.89,17.45,2.447,196.12,19.95,258.00,32.14,380.07,0.00,52.09
8794,4,2,14,15,2.67,33.33,0.97,2.190,193.60,21.15,218.40,32.33,380.73,0.00,52.42
8797,4,2,15,0,2.66,71.22,0.00,2.122,194.09,20.88,219.67,32.33,382.20,0.00,52.33
8798,4,2,15,15,2.67,68.04,0.00,2.098,194.36,21.10,223.53,32.07,384.47,0.00,52.11
8799,4,2,15,30,2.67,78.94,0.00,2.069,195.19,20.92,221.13,32.24,384.27,0.00,52.31
8804,4,2,16,45,2.71,165.71,0.00,1.990,193.31,21.21,244.47,32.37,379.40,0.00,52.45
8805,4,2,17,0,2.73,180.37,0.00,1.980,192.45,21.22,244.53,32.37,377.73,0.00,52.48
8807,4,2,17,30,2.76,172.59,0.00,1.955,192.38,21.08,237.87,32.84,375.33,0.00,52.65
8809,4,2,18,0,2.79,160.10,0.00,1.925,192.50,21.27,243.53,32.44,375.73,0.00,52.41
8810,4,2,18,15,2.81,174.71,0.00,1.912,192.31,21.44,244.07,32.35,378.53,0.00,52.43
8812,4,2,18,45,2.84,156.97,0.00,1.893,193.50,21.33,241.27,32.59,380.13,0.00,52.36
8818,4,2,20,15,2.89,0.00,256.42,1.765,47.54,18.19,234.67,31.29,48.13,0.00,49.03
8819,4,2,20,30,2.85,0.00,256.31,1.700,48.97,17.34,234.07,31.35,49.33,0.00,49.29
8829,4,2,23,0,2.42,0.00,200.51,1.126,126.92,20.36,233.33,31.48,127.47,0.00,48.86
8830,4,2,23,15,2.38,0.00,205.29,1.102,126.56,20.41,237.47,31.22,127.07,0.00,48.50
8840,4,3,1,45,2.05,0.00,116.09,1.166,190.29,16.39,243.47,31.75,190.00,0.00,48.70
8862,4,3,7,15,2.83,332.17,0.00,2.650,126.28,20.63,245.47,33.39,316.40,0.00,53.26
8865,4,3,8,0,2.97,299.73,0.00,2.650,193.01,20.87,238.80,33.44,374.20,0.00,53.33
8866,4,3,8,15,3.01,268.23,0.00,2.650,206.22,21.20,246.73,33.27,374.13,0.00,53.21
8871,4,3,9,30,3.07,0.00,56.76,2.650,200.74,22.15,253.07,32.79,379.60,0.15,52.44
8872,4,3,9,45,3.05,0.00,73.45,2.650,226.47,21.82,259.67,32.22,382.33,0.00,52.07
8877,4,3,11,0,2.94,0.00,134.97,2.605,233.51,21.88,262.07,31.97,384.47,0.00,51.78
8878,4,3,11,15,2.91,0.00,125.76,2.594,234.09,21.80,260.40,32.07,383.33,0.00,51.99
8886,4,3,13,15,2.81,60.91,0.00,2.475,234.64,21.82,254.60,32.48,380.87,0.00,52.27
8891,4,3,14,30,2.83,100.83,0.00,2.420,235.98,21.12,253.80,32.49,380.33,0.00,52.54
8895,4,3,15,30,2.88,148.19,0.00,2.389,234.23,21.54,244.87,32.69,378.40,0.00,52.53
8920,4,3,21,45,2.86,0.00,299.23,1.879,,17.85,238.40,31.27,47.33,0.00,48.87
8926,4,3,23,15,2.65,0.00,125.76,1.572,,18.74,232.93,31.76,46.80,0.00,49.47
8931,4,4,0,30,2.63,214.65,0.00,1.633,,20.52,220.33,32.74,200.60,0.00,51.33
8932,4,4,0,45,2.65,235.77,0.00,1.697,,19.69,220.80,32.71,202.67,0.00,51.25
8935,4,4,1,30,2.79,418.19,0.00,1.877,,19.59,231.40,33.96,362.53,0.00,53.77
8940,4,4,2,45,3.07,425.19,0.00,2.171,,19.15,248.60,34.42,360.13,0.00,53.87
8945,4,4,4,0,3.35,431.56,0.00,2.455,,17.56,243.00,34.88,354.67,0.00,54.37
8948,4,4,4,45,3.52,414.89,0.00,2.598,,16.74,243.73,34.78,356.27,0.00,54.27
8953,4,4,6,0,3.77,352.28,0.00,2.845,,20.66,247.87,34.52,357.80,0.00,54.15
8966,4,4,9,15,3.55,0.00,414.02,2.761,114.86,20.14,260.40,31.09,115.80,0.00,48.12
8970,4,4,10,15,3.29,0.00,401.95,2.635,81.81,19.78,261.80,30.95,82.27,0.00,48.26
8973,4,4,11,0,3.10,0.00,397.65,2.539,79.64,19.88,263.53,30.73,80.07,0.00,48.22
8974,4,4,11,15,3.04,0.00,398.11,2.503,80.39,19.10,264.53,30.64,80.60,0.00,48.11
8979,4,4,12,30,2.73,7.81,69.73,2.283,83.50,18.78,221.87,32.27,206.33,0.00,51.03
8980,4,4,12,45,2.72,23.92,13.31,2.236,149.43,20.53,220.67,32.40,284.80,0.00,51.23
8986,4,4,14,15,2.63,0.00,157.95,2.059,136.81,20.05,238.73,31.74,143.33,0.00,50.05
8988,4,4,14,45,2.58,0.00,148.50,1.987,151.93,19.82,239.33,31.73,143.53,0.00,49.94
8994,4,4,16,15,2.47,91.73,0.00,1.797,142.84,20.64,236.00,32.07,280.00,0.00,51.10
8999,4,4,17,30,2.50,5.11,14.89,1.710,139.67,20.71,237.33,32.04,180.33,0.00,50.47
9000,4,4,17,45,2.50,9.79,4.19,1.693,138.81,20.59,236.60,32.11,180.87,0.00,50.47
9003,4,4,18,30,2.48,3.43,9.60,1.636,144.72,20.53,239.40,31.99,182.47,0.00,50.46
9027,4,5,0,30,2.21,400.42,0.00,1.183,366.45,21.31,253.93,33.55,338.53,0.00,53.07
9034,4,5,2,15,2.56,392.03,0.00,1.663,299.85,20.64,252.67,33.63,304.80,0.00,52.84
9036,4,5,2,45,2.66,422.35,0.00,1.797,295.05,20.63,249.80,33.89,320.73,0.00,53.25
9041,4,5,4,0,2.94,434.32,0.00,2.129,287.60,20.71,261.47,34.29,318.00,0.00,53.52
9043,4,5,4,30,3.06,430.31,0.00,2.259,297.57,20.72,257.33,34.59,318.00,0.00,53.68
9047,4,5,5,30,3.26,289.84,0.00,2.520,284.44,18.63,265.13,33.98,199.20,0.00,52.41
9053,4,5,7,0,3.42,124.41,0.00,2.770,178.16,20.63,274.47,33.14,261.93,0.00,51.97
9059,4,5,8,30,3.43,1.88,11.52,2.716,176.32,20.75,273.80,33.06,295.60,15.90,52.14
9069,4,5,11,0,3.17,0.00,376.84,2.403,46.31,17.82,243.53,30.86,47.20,0.00,48.33
9071,4,5,11,30,3.05,0.00,414.11,2.331,93.96,20.52,234.53,30.47,95.13,0.00,47.71
9079,4,5,13,30,2.63,124.57,0.00,2.055,175.73,20.86,245.67,32.54,354.87,0.00,52.17
9083,4,5,14,30,2.64,51.03,0.00,1.923,129.67,20.12,241.40,32.35,315.67,0.00,51.58
9089,4,5,16,0,2.68,186.88,0.00,1.733,110.06,20.20,243.07,32.58,378.33,0.00,52.52
9093,4,5,17,0,2.77,206.99,0.00,1.667,179.17,21.14,239.67,32.84,377.53,0.00,52.55
9095,4,5,17,30,2.83,199.22,0.00,1.655,181.78,21.18,238.40,32.97,375.33,0.00,52.73
9096,4,5,17,45,2.85,183.99,0.00,1.648,185.43,21.14,239.73,32.90,374.33,0.00,52.76
9102,4,5,19,15,2.65,0.00,315.50,1.471,118.02,19.61,264.40,30.94,118.33,0.00,48.44
9109,4,5,21,0,2.26,0.00,371.87,1.189,119.35,17.90,275.07,30.05,120.07,0.00,47.28
9113,4,5,22,0,2.03,46.30,0.00,1.033,183.15,21.07,254.60,31.56,270.60,0.00,50.49
9115,4,5,22,30,2.05,153.45,0.00,1.020,181.10,21.15,250.93,31.93,292.80,0.00,51.16
9118,4,5,23,15,2.10,252.91,0.00,1.020,167.60,21.18,242.93,32.54,319.07,0.00,51.89
9123,4,6,0,30,2.30,388.35,0.00,1.163,322.39,20.65,234.93,33.24,355.27,0.00,53.10
9127,4,6,1,30,2.51,406.01,0.00,1.425,303.44,20.61,260.80,33.90,309.00,0.00,53.01
9129,4,6,2,0,2.61,412.17,0.00,1.553,303.48,20.60,260.67,33.91,307.93,0.00,53.10
9133,4,6,3,0,2.83,406.10,0.00,1.817,310.96,20.62,258.07,34.09,336.93,0.00,53.33
9140,4,6,4,45,3.21,403.26,0.00,2.265,295.35,21.04,257.60,34.13,330.27,0.00,53.73
9142,4,6,5,15,3.31,376.93,0.00,2.398,320.01,21.71,253.27,34.48,330.87,0.00,53.78
9154,4,6,8,15,3.39,0.00,416.83,2.583,108.66,17.76,261.87,31.01,108.60,0.00,48.23
9163,4,6,10,30,2.81,0.00,426.60,2.130,150.78,18.78,272.33,30.21,151.27,25.13,47.05
9170,4,6,12,15,2.52,101.42,0.00,1.849,233.45,21.57,245.27,32.31,364.13,0.00,51.99
9179,4,6,14,30,2.54,43.65,0.00,1.738,270.54,22.58,248.60,32.10,345.33,0.00,51.65
9185,4,6,16,0,2.55,93.57,0.00,1.603,149.85,20.64,257.40,32.33,328.07,0.00,51.69
9189,4,6,17,0,2.60,134.99,0.00,1.534,186.95,21.07,256.27,32.39,334.73,0.00,51.78
9193,4,6,18,0,2.65,119.27,0.00,1.472,183.44,21.29,257.80,32.29,314.13,0.00,51.54
9201,4,6,20,0,2.67,0.00,378.47,1.415,128.65,17.98,280.80,30.46,129.13,0.00,47.66
9205,4,6,21,0,2.42,0.00,417.82,1.244,128.30,18.13,286.60,29.93,128.60,0.00,47.14
9209,4,6,22,0,2.15,80.11,72.29,1.075,130.56,20.07,261.07,31.86,299.80,0.00,51.59
9212,4,6,22,45,2.17,158.72,0.00,0.964,112.18,20.19,260.93,31.88,306.07,0.00,51.18
9216,4,6,23,45,2.26,245.57,0.00,0.940,170.43,21.54,256.00,32.29,301.87,0.00,51.69
9218,4,7,0,15,2.32,294.85,0.00,1.024,343.55,21.67,249.53,32.80,330.93,0.00,52.35
9219,4,7,0,30,2.36,342.13,0.00,1.094,333.06,21.78,246.60,33.04,327.87,0.00,52.52
9223,4,7,1,30,2.55,353.43,0.00,1.371,321.45,20.69,259.27,33.36,285.27,0.00,52.33
9225,4,7,2,0,2.64,378.95,0.00,1.508,313.00,20.69,257.07,33.58,283.00,0.00,52.67
9240,4,7,5,45,3.41,374.09,0.00,2.526,312.50,20.70,250.00,34.22,332.40,0.00,53.82
9243,4,7,6,30,3.54,267.10,0.00,2.725,349.53,20.63,254.60,33.88,338.33,0.00,53.48
9245,4,7,7,0,3.60,164.73,0.00,2.780,182.85,20.07,258.93,33.49,346.53,0.00,52.87
9251,4,7,8,30,3.32,0.00,489.39,2.513,90.41,19.01,260.47,30.06,91.27,0.15,47.23
9259,4,7,10,30,2.73,0.00,481.19,2.071,129.62,17.12,266.60,29.54,129.73,0.00,46.73
9265,4,7,12,0,2.44,2.03,33.52,1.812,296.64,22.83,248.47,31.84,286.53,0.00,51.11
9267,4,7,12,30,2.43,12.84,13.46,1.765,294.29,22.73,245.07,31.96,311.67,0.00,51.15
9278,4,7,15,15,2.23,3.57,17.07,1.614,295.80,22.73,252.07,31.77,268.33,0.00,50.64
9280,4,7,15,45,2.22,0.00,42.00,1.567,262.35,22.34,252.00,31.73,221.00,0.00,50.35
9294,4,7,19,15,2.22,1.01,22.71,1.336,230.39,22.17,251.60,31.77,253.47,0.00,50.62
9295,4,7,19,30,2.21,1.21,21.01,1.326,230.88,21.99,248.67,31.97,253.33,0.00,50.76
9297,4,7,20,0,2.19,0.00,330.43,1.287,179.92,18.55,276.80,29.76,169.20,0.00,47.05
9310,4,7,23,15,1.79,239.43,0.00,0.920,217.47,22.14,239.60,31.70,375.40,0.00,51.66
9313,4,8,0,0,1.88,304.68,0.00,0.935,307.66,20.39,232.53,32.31,372.53,0.00,52.27
9314,4,8,0,15,1.92,326.38,0.00,0.983,313.46,20.87,236.80,32.30,352.47,0.00,52.12
9315,4,8,0,30,1.96,321.29,0.00,1.033,312.87,20.73,269.27,32.61,301.67,0.00,51.71
9316,4,8,0,45,2.00,359.17,0.00,1.083,308.95,20.76,268.87,32.69,299.00,0.00,51.86
9320,4,8,1,45,2.19,376.58,0.00,1.303,316.18,20.73,264.60,32.98,296.93,0.00,52.14
9322,4,8,2,15,2.29,383.87,0.00,1.431,316.35,20.73,262.20,33.17,296.33,0.00,52.38
9323,4,8,2,30,2.34,377.07,0.00,1.496,316.03,20.71,262.20,33.14,297.60,0.00,52.25
9330,4,8,4,15,2.68,368.97,0.00,1.940,327.87,20.59,258.33,33.48,293.40,0.00,52.68
9336,4,8,5,45,2.94,338.48,0.00,2.319,332.46,20.61,258.47,33.46,321.47,0.00,52.88
9340,4,8,6,45,3.09,203.04,0.00,2.554,243.58,19.25,264.80,32.96,324.80,0.00,52.37
9343,4,8,7,30,3.08,0.00,420.43,2.465,97.73,19.55,255.53,30.49,98.20,0.00,47.80
9365,4,8,13,0,2.11,0.00,49.97,1.428,360.66,24.31,268.53,31.39,224.33,0.00,50.08
9370,4,8,14,15,2.05,0.00,38.29,1.380,355.07,24.33,278.00,31.22,231.20,0.00,49.97
9372,4,8,14,45,2.02,88.70,7.86,1.380,348.98,24.38,272.53,31.60,335.47,0.00,51.16
9375,4,8,15,30,2.04,132.71,0.00,1.380,325.75,22.81,269.47,31.79,383.47,0.00,51.71
9379,4,8,16,30,2.06,96.65,0.00,1.377,296.51,21.82,270.80,31.63,301.13,0.00,50.78
9395,4,8,20,30,2.20,0.00,435.77,1.082,194.83,20.60,253.53,29.37,195.93,0.00,46.10
9399,4,8,21,30,1.92,0.00,381.52,0.930,189.82,21.01,245.40,29.63,175.60,0.00,46.71
9403,4,8,22,30,1.87,116.45,0.00,0.846,209.40,21.76,247.07,31.69,283.33,0.00,50.59
9406,4,8,23,15,1.91,267.79,0.00,0.820,204.38,21.76,241.00,32.18,380.87,0.00,52.19
9407,4,8,23,30,1.94,281.29,0.00,0.812,211.45,21.73,239.93,32.29,380.93,0.00,52.24
9411,4,9,0,30,2.09,291.43,0.00,0.933,340.53,21.71,263.67,32.43,309.13,0.00,51.71
9413,4,9,1,0,2.16,343.79,0.00,1.051,339.20,21.76,260.93,32.64,287.93,0.00,51.80
9415,4,9,1,30,2.24,359.37,0.00,1.169,326.17,21.74,259.20,32.79,286.13,0.00,51.94
9428,4,9,4,45,2.89,417.87,0.00,1.967,310.80,21.73,247.80,33.82,308.33,0.00,53.25
9429,4,9,5,0,2.94,382.33,0.00,2.029,319.96,21.73,245.27,34.02,311.93,0.00,53.14
9435,4,9,6,30,3.23,393.33,0.00,2.426,397.60,24.76,257.60,34.04,307.87,0.00,53.32
9438,4,9,7,15,3.36,316.45,0.00,2.500,180.56,21.61,258.40,33.97,337.87,0.00,53.33
9440,4,9,7,45,3.43,156.25,0.00,2.501,118.54,21.83,267.93,33.10,378.53,0.00,52.72
9442,4,9,8,15,3.45,17.57,1.83,2.501,201.65,22.54,258.40,32.99,380.07,0.00,52.63
9445,4,9,9,0,3.42,0.00,153.79,2.497,295.59,22.80,265.47,32.39,327.07,0.00,51.69
9449,4,9,10,0,3.29,0.00,166.19,2.420,282.90,22.69,263.00,32.56,357.13,0.00,52.02
9460,4,9,12,45,3.02,0.00,80.72,2.091,269.04,22.31,260.07,32.66,283.60,0.00,51.50
9461,4,9,13,0,3.00,2.80,36.99,2.065,280.44,22.58,263.53,32.35,252.07,0.00,51.15
9468,4,9,14,45,2.85,0.39,19.11,1.927,293.37,22.69,263.80,32.31,282.27,0.00,51.39
9470,4,9,15,15,2.84,16.55,2.07,1.888,294.14,22.74,252.13,32.32,320.33,0.00,51.78
9471,4,9,15,30,2.84,37.28,0.00,1.873,292.53,22.73,252.20,32.35,322.00,0.00,51.54
9482,4,9,18,15,2.91,144.09,0.00,1.663,238.27,21.82,249.53,32.65,381.07,0.00,52.56
9485,4,9,19,0,2.94,6.56,239.68,1.596,158.48,15.81,261.20,31.66,99.27,0.00,49.12
9488,4,9,19,45,2.80,0.00,296.84,1.381,118.29,18.82,267.60,31.16,119.33,0.00,48.54
9489,4,9,20,0,2.75,0.00,307.40,1.315,118.24,18.84,268.27,31.08,118.67,0.00,48.52
9492,4,9,20,45,2.60,0.00,297.93,1.097,118.21,18.71,269.73,30.95,119.13,0.00,48.32
9495,4,9,21,30,2.44,0.00,302.22,0.886,117.67,18.97,269.13,30.79,118.00,0.00,47.96
9496,4,9,21,45,2.39,0.00,294.31,0.817,119.09,18.65,269.67,30.91,119.20,0.00,48.43
9503,4,9,23,30,2.11,154.04,50.77,0.395,137.96,20.57,258.00,31.81,260.87,0.00,51.08
9509,4,10,1,0,2.26,212.08,0.00,0.593,385.65,22.77,251.47,32.37,204.67,0.00,50.82
9515,4,10,2,30,2.48,332.67,0.00,1.027,359.95,22.76,242.00,33.14,266.53,0.00,52.11
9518,4,10,3,15,2.61,334.73,0.00,1.219,348.56,23.27,240.73,33.31,251.27,0.00,52.01
9519,4,10,3,30,2.65,333.67,0.00,1.293,371.24,23.22,241.07,33.29,248.67,0.00,52.10
9521,4,10,4,0,2.73,384.36,0.00,1.466,370.34,23.16,237.47,33.74,290.00,0.00,53.01
9525,4,10,5,0,2.93,301.65,0.00,1.808,384.93,23.26,245.67,33.45,198.73,0.00,51.86
9526,4,10,5,15,2.97,299.66,0.00,1.893,367.65,23.27,246.47,33.40,197.73,0.00,51.81
9527,4,10,5,30,3.00,282.17,0.00,1.978,366.13,23.22,247.07,33.33,199.60,0.00,51.77
9530,4,10,6,15,3.10,311.15,0.00,2.232,371.33,23.19,248.47,33.58,229.27,0.00,52.65
9540,4,10,8,45,3.43,60.91,0.00,2.389,214.55,21.27,266.07,33.01,375.13,0.00,52.67
9543,4,10,9,30,3.40,0.00,250.58,2.297,231.82,21.96,276.80,32.07,189.80,0.00,50.42
9547,4,10,10,30,3.22,0.00,260.22,2.180,290.99,22.83,280.13,31.76,218.47,0.00,50.35
9556,4,10,12,45,2.86,2.70,84.01,1.936,294.58,22.63,244.00,32.24,291.67,0.00,51.65
9558,4,10,13,15,2.84,0.00,75.53,1.903,298.45,22.75,245.93,32.14,280.33,0.00,51.24
9564,4,10,14,45,2.74,0.00,30.71,1.743,248.85,21.70,244.53,32.29,206.80,0.00,50.78
9574,4,10,17,15,2.81,138.99,0.00,1.600,281.15,22.78,254.07,32.44,303.47,0.00,51.56
9579,4,10,18,30,2.87,114.83,0.00,1.560,279.26,22.65,250.87,32.72,321.47,0.00,52.02
9585,4,10,20,0,2.90,27.73,0.53,1.475,291.35,22.71,254.60,32.44,310.07,0.00,51.70
9588,4,10,20,45,2.89,10.23,10.50,1.397,237.22,21.22,254.80,32.41,313.73,0.00,51.73
9594,4,10,22,15,2.89,125.19,0.00,1.189,182.98,20.68,252.47,32.61,341.20,0.00,52.22
9597,4,10,23,0,2.96,271.32,0.00,1.081,168.47,21.07,246.47,33.10,363.47,0.00,52.77
9598,4,10,23,15,2.98,255.44,0.00,1.066,217.23,21.72,245.07,33.22,359.80,0.00,52.90
9603,4,11,0,30,3.16,376.45,0.00,1.181,370.01,21.80,250.27,33.81,311.47,0.00,53.11
9605,4,11,1,0,3.25,399.30,0.00,1.303,334.42,21.71,247.73,34.03,305.93,0.00,53.22
9606,4,11,1,15,3.29,409.67,0.00,1.367,325.45,21.74,248.00,33.99,306.67,0.00,53.27
9607,4,11,1,30,3.34,415.70,0.00,1.428,321.28,21.69,242.40,34.42,304.73,0.00,53.57
9610,4,11,2,15,3.48,416.13,0.00,1.618,330.94,21.61,242.87,34.37,304.27,0.00,53.60
9613,4,11,3,0,3.62,358.16,0.00,1.827,365.09,22.65,244.73,34.31,269.20,0.00,53.21
9620,4,11,4,45,3.90,371.18,0.00,2.326,347.55,23.70,247.80,34.12,261.13,0.00,52.91
9622,4,11,5,15,3.97,338.78,0.00,2.476,370.45,23.77,256.33,34.33,256.47,0.00,53.24
9632,4,11,7,45,4.08,0.00,379.91,2.905,147.15,20.48,285.13,31.59,153.60,0.00,48.48
9637,4,11,9,0,3.69,0.00,482.40,2.641,130.09,19.24,235.27,30.28,130.93,0.00,47.15
9647,4,11,11,30,2.97,20.06,47.46,1.794,329.19,23.18,229.27,32.65,251.00,0.00,51.60
9649,4,11,12,0,2.94,0.00,83.01,1.745,316.16,23.20,259.27,32.20,215.13,0.00,50.78
9651,4,11,12,30,2.91,0.00,209.64,1.717,314.19,23.10,266.33,31.58,46.40,0.00,49.30
9657,4,11,14,0,2.81,0.00,34.25,1.650,350.69,24.19,280.27,32.29,200.33,0.00,50.67
9659,4,11,14,30,2.78,0.00,46.06,1.650,357.24,24.24,279.27,32.31,198.40,0.00,50.57
9661,4,11,15,0,2.76,13.45,19.39,1.650,363.11,22.99,278.73,32.27,212.27,0.00,50.88
9675,4,11,18,30,2.86,179.63,0.00,1.509,300.37,22.67,255.93,32.73,338.40,0.00,52.27
9687,4,11,21,30,2.20,0.00,464.27,1.094,199.43,19.76,257.20,28.92,200.33,0.00,45.78
9688,4,11,21,45,2.13,0.00,429.69,1.058,194.68,20.92,257.07,29.29,195.27,0.00,45.97
9689,4,11,22,0,2.06,0.00,352.00,1.026,200.02,20.88,247.27,30.07,141.33,0.00,47.29
9699,4,12,0,30,2.18,364.67,0.00,1.173,390.71,22.56,255.07,32.83,306.93,0.00,52.14
9705,4,12,2,0,2.44,394.91,0.00,1.627,348.17,22.16,256.27,33.11,249.13,0.00,51.89
9712,4,12,3,45,2.77,409.96,0.00,2.153,331.45,21.68,247.47,33.82,299.73,0.00,53.03
9716,4,12,4,45,2.98,414.77,0.00,2.450,327.38,21.29,246.67,33.93,308.07,0.00,53.08
9725,4,12,7,0,3.33,184.99,0.00,3.010,188.68,20.41,265.80,33.45,315.73,0.00,52.56
9728,4,12,7,45,3.36,0.00,306.68,3.010,161.57,21.66,253.27,30.69,219.20,0.00,47.63
9729,4,12,8,0,3.30,0.00,511.57,3.002,186.83,20.84,266.40,29.65,188.53,0.00,46.15
9745,4,12,12,0,2.08,0.00,388.65,2.263,190.59,20.67,241.53,29.76,181.20,0.00,47.27
9746,4,12,12,15,2.01,162.91,0.00,2.214,245.36,21.76,211.13,31.92,431.00,0.00,52.56
9752,4,12,13,45,2.10,249.71,0.00,2.015,219.90,21.25,215.53,31.83,429.67,0.85,52.30
9761,4,12,16,0,2.20,292.82,0.00,1.707,267.16,22.57,270.67,32.12,430.07,0.00,52.90
9768,4,12,17,45,2.38,246.34,0.00,1.680,263.03,22.65,264.93,32.48,356.27,0.00,52.08
9773,4,12,19,0,2.47,205.01,0.00,1.660,290.16,22.91,270.40,32.01,343.27,0.00,51.80
9774,4,12,19,15,2.49,75.18,129.48,1.657,231.22,21.24,277.47,31.23,209.60,0.00,49.22
9777,4,12,20,0,2.35,0.00,363.05,1.546,184.69,19.94,253.60,29.80,185.27,0.00,46.73
9782,4,12,21,15,2.00,0.00,322.44,1.303,188.83,20.72,255.73,29.61,88.80,0.00,46.97
9784,4,12,21,45,1.93,122.35,0.00,1.268,333.01,23.74,230.33,31.54,314.73,0.00,50.78
9789,4,12,23,0,1.93,317.71,0.00,1.260,277.44,23.78,244.80,32.30,384.20,0.00,52.13
9793,4,13,0,0,2.10,323.06,0.00,1.277,342.16,21.69,280.13,32.43,318.73,0.00,51.63
9795,4,13,0,30,2.17,359.24,0.00,1.375,327.47,21.63,277.53,32.58,260.07,0.00,51.59
9796,4,13,0,45,2.21,378.48,0.00,1.426,347.46,21.71,270.27,33.10,281.73,0.00,51.95
9801,4,13,2,0,2.44,449.22,0.00,1.770,340.34,21.58,266.87,33.36,257.47,0.00,52.36
9811,4,13,4,30,2.92,444.69,0.00,2.386,299.30,20.19,259.60,33.93,310.73,0.00,53.28
9814,4,13,5,15,3.07,344.47,0.00,2.554,314.80,21.22,262.13,33.85,317.27,0.00,52.87
9815,4,13,5,30,3.11,377.23,0.00,2.610,313.40,21.20,260.00,33.99,312.00,0.00,53.30
9818,4,13,6,15,3.25,344.87,0.00,2.809,373.30,21.76,259.53,33.98,333.53,0.00,53.34
9819,4,13,6,30,3.29,196.52,0.00,2.879,303.73,18.09,270.20,33.14,234.33,0.00,51.86
9820,4,13,6,45,3.31,248.46,0.00,2.917,226.16,18.67,265.13,33.52,306.93,0.00,52.87
9829,4,13,9,0,2.89,0.00,437.64,2.720,128.84,20.78,249.40,30.12,129.93,8.85,47.15
9841,4,13,12,0,2.37,145.97,0.00,1.954,178.54,19.76,247.13,32.08,429.73,0.00,52.51
9854,4,13,15,15,2.50,108.59,0.00,1.561,290.41,22.65,260.93,31.99,350.33,0.00,51.72
9860,4,13,16,45,2.57,134.26,0.00,1.499,292.19,22.97,253.87,32.48,305.73,0.00,51.68
9862,4,13,17,15,2.60,142.61,0.00,1.490,293.31,22.95,255.07,32.40,307.13,0.00,51.76
9867,4,13,18,30,2.66,104.70,0.00,1.480,298.90,23.31,256.07,32.31,293.67,0.00,51.65
9874,4,13,20,15,2.72,41.57,0.00,1.480,301.57,23.35,256.40,32.31,296.07,0.00,51.56
9875,4,13,20,30,2.72,29.91,0.00,1.480,316.33,23.12,255.80,32.33,298.80,0.00,51.51
9881,4,13,22,0,2.76,116.85,0.00,1.480,316.14,23.31,251.40,32.67,335.07,0.00,52.00
9883,4,13,22,30,2.79,161.31,0.00,1.480,276.50,23.31,249.20,32.82,325.53,0.00,52.08
9885,4,13,23,0,2.84,251.20,0.00,1.480,267.05,22.09,247.00,33.03,387.60,0.00,53.03
9888,4,13,23,45,2.94,301.41,0.00,1.480,222.37,22.23,255.07,33.37,377.00,0.00,53.41
9889,4,14,0,0,2.98,287.43,0.00,1.499,307.79,19.73,257.13,33.21,326.67,0.00,52.87
9892,4,14,0,45,3.09,334.06,0.00,1.645,298.61,19.39,254.80,33.76,295.93,0.00,52.93
9893,4,14,1,0,3.13,358.65,0.00,1.696,296.32,20.22,250.27,34.18,307.33,0.00,53.48
9894,4,14,1,15,3.18,364.01,0.00,1.747,287.22,20.18,254.73,33.83,317.73,0.00,53.28
9895,4,14,1,30,3.23,381.13,0.00,1.797,295.11,20.12,251.73,34.12,314.67,0.00,53.58
9896,4,14,1,45,3.28,377.50,0.00,1.851,316.74,20.54,251.60,34.11,316.40,0.00,53.54
9905,4,14,4,0,3.70,378.91,0.00,2.381,262.35,19.73,240.33,34.89,262.73,0.00,53.77
9917,4,14,7,0,3.99,0.73,15.15,2.955,53.60,19.25,254.93,33.35,55.13,0.00,51.20
9918,4,14,7,15,3.97,0.00,43.72,2.917,53.35,19.60,250.67,33.69,53.80,0.00,51.55
9923,4,14,8,30,3.79,0.00,438.91,2.813,153.05,20.95,283.40,31.00,153.53,10.78,47.73
9931,4,14,10,30,3.16,0.00,357.83,2.293,172.98,19.45,236.80,30.91,245.93,7.53,49.35
9943,4,14,13,30,2.82,0.00,48.17,1.442,362.83,24.12,248.13,32.04,210.80,0.00,50.61
9945,4,14,14,0,2.78,0.00,111.49,1.430,355.82,24.00,249.67,31.97,204.80,0.00,50.67
9951,4,14,15,30,2.64,0.00,127.75,1.314,356.94,23.86,267.40,32.11,133.00,0.00,50.22
9953,4,14,16,0,2.60,0.00,62.41,1.290,356.54,24.10,272.73,32.34,130.33,0.00,50.56
9954,4,14,16,15,2.58,0.00,68.55,1.283,353.30,24.07,273.60,32.22,134.27,0.00,50.14
9955,4,14,16,30,2.57,0.00,53.01,1.279,341.84,24.15,271.47,32.39,130.67,0.00,50.65
9964,4,14,18,45,2.53,3.33,6.17,1.280,348.83,24.06,231.80,31.89,221.53,0.00,50.80
9966,4,14,19,15,2.52,0.58,85.78,1.277,330.39,22.69,232.40,31.88,159.67,0.00,50.02
9968,4,14,19,45,2.46,0.00,330.91,1.206,254.21,21.26,261.60,30.73,123.40,0.00,48.07
9983,4,14,23,30,2.15,251.83,0.00,0.760,305.49,23.22,263.73,32.24,324.27,0.00,51.86
9986,4,15,0,15,2.25,230.24,0.00,0.823,417.11,22.66,270.13,32.63,273.00,0.00,51.39
