num,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu,month_day_hour_min,truth
186,1.99,251.79,0,0.104,185.55,21.73,287.8,32.22,356.73,0.27,51.96,181,0
187,2.03,291.91,0,0.103,185.35,21.89,285.53,32.44,354,0.06,52.18,182,0
188,2.06,278.25,0,0.106,177.34,21.45,288.33,32.19,355.67,0,51.93,183,0
189,2.09,306.33,0,0.105,187.79,21.74,282.13,32.65,352.73,0,52.27,184,0
190,2.13,318.29,0,0.103,183.85,21.67,282.73,32.56,354.13,0,52.3,185,0
191,2.17,318.71,0,0.102,176.83,21.9,279.07,32.84,353.4,0,52.42,186,0
192,2.21,334.49,0,0.103,157.68,18.95,277.87,32.94,361.27,0,52.73,187,0
193,2.25,331.45,0,0.103,162.17,18.07,276.8,32.99,373.27,0,52.79,188,0
194,2.29,332.95,0,0.105,166.81,18.1,275.73,33.05,372.73,0,52.82,189,0
195,2.33,376.01,0,0.107,160.2,17.98,271.8,33.32,369.73,0,53.14,190,0
196,2.38,409.48,0,0.106,157.89,18.08,267.13,33.71,367,0,53.48,191,0
197,2.44,405.27,0,0.105,196.12,17.96,270.87,33.44,366.93,0,53.26,192,0
198,2.49,421.16,0,0.105,211.96,18.08,265.67,33.8,366.27,0,53.41,193,0
199,2.54,425.21,0,0.105,203.28,18.19,267.67,33.65,362.8,0,53.49,194,0
200,2.6,359.71,0,0.105,192.91,18.01,231.53,33.22,339,0,52.95,195,0
201,2.64,320.27,0,0.104,195.09,18.07,239,33.16,337.87,0,52.71,196,0
202,2.68,322.96,0,0.101,174.16,18.2,239.67,33.12,339,0,52.64,197,0
203,2.72,351.99,0,0.103,183.51,18.12,236.67,33.37,336.47,0,52.88,198,0
204,2.76,340.47,0,0.101,183.17,18.14,238.87,33.24,335.8,0,52.9,199,0
205,2.8,322.48,0,0.104,192.24,18.1,236.4,33.41,336.27,0,53,200,0
206,2.85,318.43,0,0.101,174.58,17.9,239.73,33.22,337.07,0,52.73,201,0
207,2.88,288.65,0,0.104,175.44,18.05,239.13,33.24,338.93,0,52.74,202,0
208,2.92,343.18,0,0.1,161.63,18.18,237.33,33.39,335.13,0,53.03,203,0
209,2.96,328.66,0,0.101,163.17,17.95,237.13,33.4,335,0,53.07,204,0
210,3,330.34,0,0.101,180.54,18.17,237.33,33.4,336,0,53.04,205,0
211,3.04,348.49,0,0.103,159.61,18.05,234.27,33.65,348.47,0,53.31,206,0
212,3.08,361.55,0,0.102,163.25,18.12,231.4,33.88,357.87,0,53.61,207,0
213,3.13,346.45,0,0.104,182.41,18.09,234.07,33.7,360.6,0,53.41,208,0
214,3.17,329.61,0,0.101,192.51,18.19,231.2,33.91,360.87,0,53.51,209,0
215,3.21,351.56,0,0.101,175,18.19,239.4,33.77,357.53,0,53.67,210,0
216,3.26,365.69,0,0.1,173.88,17.95,243.27,33.82,353.8,0,53.72,211,0
217,3.3,352.23,0,0.1,162.85,18.16,240.27,34.02,354.53,0,53.77,212,0
218,3.35,355.47,0,0.101,158.64,18.06,238.6,34.16,355.6,0,53.82,213,0
219,3.39,310.33,0,0.1,156.6,18.22,243.8,33.8,355.93,0,53.56,214,0
220,3.43,285.39,0,0.101,180.71,19.03,240.53,33.73,356.13,0,53.62,215,0
221,3.46,243.11,0,0.101,198.64,21.27,239.8,33.7,361.27,0,53.48,216,0
222,3.49,195.55,0,0.101,201.47,21.27,248.27,33.44,344.13,0,53.04,217,0
223,3.52,27.49,1.97,0.101,200.08,21.15,249,33.35,194.47,17.65,51.63,218,0
224,3.52,0,136.2,0.1,206.25,21.22,252.93,32.69,35.53,26.85,50.54,219,0
225,3.49,0,229.61,0.1,195.65,21.22,247.67,32.48,3.73,25.7,50.24,220,0
226,3.45,0,245.81,0.101,205.34,21.52,251.33,32.21,3.47,26.34,50.14,221,0
227,3.42,0,281.05,0.101,220.49,21.75,255.87,31.86,3.53,25.56,49.54,222,0
228,3.37,0,303.86,0.101,258.03,20.46,260.8,31.4,3.47,25.82,49.29,223,0
