n_px,n_p,truth
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.65,1.009,0
2.7,0.952,0
2.73,0.915,0
2.75,0.896,0
2.75,0.875,0
2.26,0.585,0
2.2,0.555,0
2.07,0.479,0
1.89,0.256,0
2.08,0.179,0
2.17,0.277,0
2.21,0.357,0
2.32,0.517,0
2.62,0.918,0
2.94,1.303,0
3.33,1.615,0
3.25,1.565,0
2.74,1.174,0
2.68,0.94,0
2.7,0.93,0
2.72,0.93,0
2.74,0.891,0
2.77,0.849,0
2.32,0.585,0
2.2,0.545,0
2.11,0.274,0
2.15,0.353,0
2.2,0.432,0
2.5,0.899,0
2.78,1.21,0
3.34,1.583,0
3.39,1.659,0
3.55,1.79,0
3.61,1.79,0
3.48,1.776,0
3.01,1.575,0
2.71,1.259,0
2.75,1.16,0
2.81,1.089,0
2.54,0.803,0
2.42,0.677,0
2.26,0.508,0
