n_px,ce_px,cs_px,truth
2.02,368.15,0,0
2.2,443.97,0,0
2.55,486.03,0,0
2.61,485.15,0,0
3.03,469.19,0,0
3.15,445.31,0,0
3.28,312.51,0,0
3.47,41.79,0.05,0
3.37,0,322.59,0
3.19,0,379.92,0
2.92,0,449.03,0
2.71,0,368.93,0
1.87,0,134.01,0
1.84,0,126.75,0
1.74,99.29,0,0
1.74,123.78,0,0
2.54,448.35,0,0
2.66,433.54,0,0
3.08,454.52,0,0
3.38,308.39,0,0
3.45,275.17,0,0
3.56,147.71,0,0
3.59,14.99,13.16,0
2.89,0,403.49,0
2.24,0,139.95,0
2.2,0,157.89,0
2.09,0,165.36,0
1.99,36.89,1.83,0
2,81.83,0,0
2.03,114.59,0,0
2.05,82.65,0,0
2.23,313.23,0,0
2.31,347.99,0,0
2.9,372.68,0,0
3.54,245.89,0,0
3.37,0,299.91,0
3.27,0,322.01,0
2.92,0,338.88,0
2.85,0,359.47,0
2.8,0,343.55,0
2.51,0,214.45,0
2.37,0,211.99,0
2.29,0,207.55,0
2.11,0,179.01,0
2.03,0,72.05,0
1.92,0,77.79,0
1.87,0,140.28,0
1.71,0,296.59,0
1.63,116.66,0,0
1.68,167.63,0,0
1.73,194.45,0,0
2.11,188.75,0,0
2.13,191.99,0,0
1.91,0,209.92,0
1.7,0,247.35,0
1.61,0,275.23,0
1.56,0,261.51,0
1.3,0,264.56,0
0.91,0,206.83,0
0.84,0,149.97,0
0.72,7.38,6.17,0
0.6,0,67.28,0
0.48,23.72,18.37,0
0.48,0,56.75,0
0.55,53.53,0,0
0.6,99.48,0,0
0.62,73.12,0,0
0.63,89.65,0,0
0.63,8.39,40.85,0
0.62,0,87.13,0
0.57,0,143.85,0
0.52,0,67.9,0
0.36,0,91.57,0
0.15,83.87,40.32,0
0.14,65.1,0,0
0.14,65.84,0,0
0.13,68.81,0,0
0.11,69.18,0,0
0.1,65.84,0,0
0.1,62.21,0,0
0.05,61.19,0,0
0.04,61.91,0,0
0.03,59.55,0,0
0.01,70.21,0,0
-0.01,54.73,0,0
-0.03,64.23,0,0
-0.06,111.27,0,0
-0.06,52.8,0,0
-0.06,68.04,0,0
-0.06,74.99,0,0
-0.06,67.22,0,0
-0.06,56.33,0,0
-0.06,55.11,0,0
0,65.45,0,0
0,55.26,0,0
0,153.13,0,0
0,102.97,0,0
0.06,179.46,0,0
0.11,205.87,0,0
0.26,134.08,0,0
0.68,369.74,0,0
0.73,353.34,0,0
0.77,342.22,0,0
0.97,241.57,0,0
1.05,298.13,0,0
1.18,365.66,0,0
1.44,266.93,0,0
1.6,208.91,0,0
1.63,101.85,0,0
1.7,107.88,0,0
1.75,77.31,0,0
1.79,113.29,0,0
1.8,94.48,0,0
1.82,115.11,0,0
1.83,146.46,0,0
1.89,204.67,0,0
2,143.37,0,0
2.09,158.75,0,0
2.1,153.93,0,0
2.22,267.37,0,0
2.94,413.15,0,0
3.3,369.03,0,0
3.65,218.65,0,0
3.69,42,0.09,0
3.62,0,220.29,0
3.25,0,377.75,0
2.89,0,325.53,0
2.78,0,306.81,0
2.73,0,300.11,0
2.68,0,262.68,0
2.6,0,261.14,0
2.48,0,189.05,0
2.35,134.89,0,0
2.37,152.93,0,0
2.41,136.9,0,0
2.5,229.74,0,0
2.85,418.39,0,0
2.9,415.74,0,0
3,400.99,0,0
3.36,326.05,0,0
3.47,317.67,0,0
3.72,263.65,0,0
3.75,248.36,0,0
3.78,220.93,0,0
3.8,215.27,0,0
3.83,0,137.4,0
0,0,345.83,0
0,0,336.87,0
3.1,0,218.17,0
3.02,0,217.59,0
2.98,0,178,0
2.87,173.61,0,0
2.92,46.29,0,0
2.92,70.75,0,0
3.98,292.54,0,0
4.01,252.7,0,0
4.08,111.41,0,0
4.08,39.97,0.05,0
3.89,0,451.04,0
3.52,0,464.07,0
3.44,0,459.21,0
0,0,446.3,0
0,0,384.23,0
0,0,403.88,0
2.44,0,381.03,0
2.32,0,393.33,0
2.26,0,410.69,0
2.13,0,250.23,0
2.04,45.91,14.57,0
2.04,45.43,0,0
2.06,174.33,0,0
2.09,163.73,0,0
2.18,106.97,0,0
2.19,77.25,0,0
2.2,88.6,0,0
2.2,44.41,0.05,0
2.22,187.25,0,0
2.32,310.15,0,0
2.65,265.24,0,0
2.77,266.11,0,0
2.93,264.63,0,0
3.08,214.55,0,0
3.19,200.23,0,0
3.27,0,127.08,0
3.08,9.02,20.53,0
2.96,0,311.29,0
2.9,0,362.26,0
2.84,0,402.49,0
2.44,0,391.16,0
2.12,0,277.37,0
2.12,0,274.2,0
1.63,0,108.22,0
1.6,0,81.81,0
1.53,0,60.28,0
1.45,27.53,62.03,0
1.44,73.01,0,0
1.45,30.97,0.09,0
1.34,6.12,8.1,0
1.68,429.59,0,0
2.45,316.65,0,0
2.65,317.76,0,0
2.72,92.4,0,0
2.73,23.77,7.47,0
2.69,50.93,23.97,0
2.69,129.34,10.81,0
2.66,20.69,9.74,0
2.43,0,68.62,0
2.18,108.41,0,0
2.21,159.09,0,0
2.29,195.85,0,0
2.31,178.1,0,0
2.43,120.57,0,0
2.45,95.77,0,0
2.45,47.21,0,0
2.45,73.94,0,0
2.49,159.24,0,0
2.65,325.5,0,0
2.73,382.33,0,0
3.09,405.62,0,0
3.3,404.56,0,0
3.54,320.27,0,0
3.55,0,177.65,0
3.16,0,331.99,0
2.87,0,183.16,0
2.29,0,144.1,0
2.23,0,118.97,0
1.98,30.63,7.67,0
1.97,57.49,0,0
1.97,19.25,0.24,0
1.97,154.61,0,0
2.43,375.29,0,0
3.02,313.07,0,0
