i_uiip,i_f,i_uiipu,truth
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
156.97,220.4,373.47,0
142.85,221.53,374.33,0
148.35,217.8,375.93,0
157.06,225.07,247.8,0
122.46,236.67,98.6,0
114.63,253.27,115.47,0
115.64,253.33,116.2,0
96.27,253.87,97.87,0
116.8,229.53,379.67,0
127.31,250.4,371.73,0
399.94,248.4,370.73,0
394.27,245.47,365.93,0
427.44,244.8,364.47,0
406.73,242.4,364.47,0
298.12,228.2,366.6,0
134.49,271.6,134.47,0
135.1,276.33,135.93,0
223.63,237.53,301.6,0
232.99,232,374.8,0
225.24,232.67,376.73,0
209.98,235.07,376.2,0
165.67,234,376.6,0
156.29,232.93,374.67,0
151.88,253.8,152.6,0
151.84,246.8,152.4,0
369.68,213.6,371.53,0
366.77,211.33,368.27,0
364.28,210.13,367.07,0
316.99,235.13,363,0
260.48,231.4,348.47,0
329.45,246.27,354.53,0
353.53,255.07,352.13,0
142.68,257.2,291.07,0
134.48,270.47,113.6,0
207.73,255,103.53,0
132.36,244,107.27,0
195.76,232.67,335.47,0
185.33,228.07,331.27,0
75.43,242.4,64,0
69.6,245.8,70.27,0
69.15,245.33,70,0
68.96,247,69.67,0
298.07,224.47,370.73,0
343.63,225.47,371,0
290.2,214.53,349.53,0
233.41,208.87,359,0
244.06,250.2,339.8,0
228.15,249,339.27,0
316.27,253,280.4,0
106.78,259.93,177.87,0
141.56,267.13,173,0
163.85,222.4,141.27,0
115.15,238.13,110.33,0
195.63,242.93,101.87,0
212.23,238.33,97.4,0
208.36,237.4,96.4,0
80.79,242.27,79.8,0
89.11,226.47,90.2,0
89.5,231.67,90.2,0
131.25,222.67,375.13,0
280.53,222,371,0
391.19,241.47,276.13,0
404.92,244,222,0
350.3,240.6,225.6,0
320.6,237.27,371.13,0
196.16,236,328.8,0
109.12,243.13,370.93,0
93.5,267.47,93.8,0
92.87,255.4,93.27,0
93.45,253.67,93.4,0
93.06,255.47,93.13,0
146.01,245.8,78.27,0
193.1,224.53,203.73,0
