uplink_message.rx_metadata_0.gateway_ids.gateway_id,uplink_message.rx_metadata_0.gateway_ids.eui,uplink_message.rx_metadata_0.time,uplink_message.rx_metadata_0.timestamp,uplink_message.rx_metadata_0.rssi,uplink_message.rx_metadata_0.channel_rssi,uplink_message.rx_metadata_0.location.latitude,uplink_message.rx_metadata_0.location.longitude,uplink_message.rx_metadata_0.location.altitude,uplink_message.rx_metadata_0.location.source,uplink_message.rx_metadata_0.uplink_token,uplink_message.rx_metadata_0.received_at,received_at
2,2,77,1744478245,-74,-74,38.3846865837538,-0.513212937943281,20,0,77,77,77
0,0,78,4128153334,-105,-105,38.385917659159134,-0.5170252919197084,20,0,78,78,78
0,0,79,4161923422,-95,-95,38.385917659159134,-0.5170252919197084,20,0,79,79,79
0,0,80,4186581333,-101,-101,38.385917659159134,-0.5170252919197084,20,0,80,80,80
0,0,81,43637149,-103,-103,38.385917659159134,-0.5170252919197084,20,0,81,81,81
2,2,82,2060690132,-110,-110,38.3846865837538,-0.513212937943281,20,0,82,82,82
0,0,83,144250374,-109,-109,38.385917659159134,-0.5170252919197084,20,0,83,83,83
2,2,84,2162340402,-101,-101,38.3846865837538,-0.513212937943281,20,0,84,84,84
2,2,85,2236614341,-110,-110,38.3846865837538,-0.513212937943281,20,0,85,85,85
0,0,86,225847662,-95,-95,38.385917659159134,-0.5170252919197084,20,0,86,86,86
0,0,87,230858341,-111,-111,38.385917659159134,-0.5170252919197084,20,0,87,87,87
2,2,88,2377119045,-102,-102,38.3846865837538,-0.513212937943281,20,0,88,88,88
0,0,89,502179641,-97,-97,38.385917659159134,-0.5170252919197084,20,0,89,89,89
1,1,90,626276579,-97,-97,38.38418726539637,-0.5101910233497621,10,0,90,90,90
2,2,91,2757303224,-104,-104,38.3846865837538,-0.513212937943281,20,0,91,91,91
1,1,92,750244605,-90,-90,38.38418726539637,-0.5101910233497621,10,0,92,92,92
0,0,93,858151384,-89,-89,38.385917659159134,-0.5170252919197084,20,0,93,93,93
2,2,94,2944420830,-79,-79,38.3846865837538,-0.513212937943281,20,0,94,94,94
2,2,95,2977492814,-101,-101,38.3846865837538,-0.513212937943281,20,0,95,95,95
2,2,96,3045790046,-108,-108,38.3846865837538,-0.513212937943281,20,0,96,96,96
0,0,97,1066889993,-93,-93,38.385917659159134,-0.5170252919197084,20,0,97,97,97
2,2,98,3104277666,-83,-83,38.3846865837538,-0.513212937943281,20,0,98,98,98
0,0,99,1243548096,-100,-100,38.385917659159134,-0.5170252919197084,20,0,99,99,99
0,0,100,1247939480,-105,-105,38.385917659159134,-0.5170252919197084,20,0,100,100,100
2,2,101,3357682356,-102,-102,38.3846865837538,-0.513212937943281,20,0,101,101,101
2,2,102,3363086964,-101,-101,38.3846865837538,-0.513212937943281,20,0,102,102,102
2,2,103,3436554180,-113,-113,38.3846865837538,-0.513212937943281,20,0,103,103,103
