id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
422,end_device_ids.dev_eui,0.14285714285714285,received_at,0.82421875,0.44,0.42,0.41,0.42,0.43,0.42,0.44,0.44,0.43,0.42,0.43,0.42,0.43,0.41,0.45,0.43,0.42,0.43,0.43,0.42,0.43,0.42,0.44,0.43,0.44,10.70,0.43,false
423,end_device_ids.dev_eui,0.21428571428571427,received_at,0.826171875,0.47,0.49,0.47,0.46,0.47,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.50,0.48,0.47,0.49,0.48,0.45,0.47,0.47,0.49,0.47,0.49,11.83,0.47,false
424,end_device_ids.dev_eui,0.8571428571428571,received_at,0.828125,0.46,0.45,0.48,0.46,0.46,0.47,0.47,0.45,0.47,0.46,0.47,0.46,0.45,0.46,0.47,0.47,0.47,0.45,0.47,0.45,0.46,0.45,0.46,0.46,0.47,11.55,0.46,false
425,end_device_ids.dev_eui,0.9285714285714286,received_at,0.830078125,0.39,0.39,0.39,0.38,0.39,0.39,0.38,0.38,0.39,0.40,0.37,0.39,0.39,0.37,0.40,0.37,0.38,0.40,0.39,0.37,0.39,0.39,0.39,0.38,0.40,9.66,0.39,false
426,end_device_ids.dev_eui,1,received_at,0.83203125,0.50,0.51,0.49,0.50,0.49,0.51,0.51,0.49,0.49,0.50,0.50,0.49,0.50,0.50,0.51,0.50,0.49,0.49,0.50,0.50,0.50,0.49,0.49,0.48,0.50,12.43,0.50,false
427,end_device_ids.dev_eui,0.42857142857142855,received_at,0.833984375,0.48,0.50,0.45,0.45,0.48,0.47,0.47,0.47,0.47,0.48,0.47,0.46,0.47,0.46,0.48,0.48,0.48,0.48,0.47,0.46,0.47,0.48,0.48,0.48,0.48,11.82,0.47,false
428,end_device_ids.dev_eui,0,received_at,0.8359375,0.50,0.51,0.50,0.51,0.52,0.51,0.50,0.53,0.51,0.52,0.51,0.52,0.51,0.51,0.52,0.51,0.50,0.50,0.51,0.50,0.51,0.52,0.51,0.50,0.53,12.77,0.51,false
429,end_device_ids.dev_eui,0.07142857142857142,received_at,0.837890625,0.52,0.55,0.52,0.52,0.52,0.54,0.53,0.53,0.53,0.52,0.53,0.53,0.53,0.51,0.55,0.54,0.51,0.52,0.54,0.53,0.53,0.51,0.53,0.53,0.55,13.22,0.53,false
430,end_device_ids.dev_eui,0.14285714285714285,received_at,0.83984375,0.49,0.51,0.49,0.49,0.49,0.50,0.48,0.48,0.50,0.51,0.50,0.51,0.49,0.49,0.51,0.49,0.49,0.51,0.49,0.49,0.50,0.50,0.49,0.49,0.50,12.39,0.50,false
431,end_device_ids.dev_eui,0.21428571428571427,received_at,0.841796875,0.48,0.50,0.47,0.46,0.49,0.49,0.47,0.47,0.48,0.48,0.48,0.47,0.47,0.47,0.50,0.47,0.47,0.48,0.48,0.47,0.48,0.47,0.48,0.47,0.47,11.92,0.48,false
432,end_device_ids.dev_eui,0.2857142857142857,received_at,0.84375,0.44,0.44,0.42,0.42,0.41,0.45,0.45,0.46,0.43,0.43,0.42,0.42,0.44,0.45,0.44,0.43,0.44,0.43,0.44,0.44,0.44,0.43,0.44,0.44,0.44,10.89,0.44,false
433,end_device_ids.dev_eui,0.35714285714285715,received_at,0.845703125,0.41,0.40,0.38,0.40,0.39,0.41,0.41,0.40,0.41,0.41,0.40,0.40,0.40,0.39,0.39,0.39,0.39,0.40,0.39,0.40,0.41,0.41,0.40,0.41,0.39,9.99,0.40,false
434,end_device_ids.dev_eui,0.42857142857142855,received_at,0.84765625,0.46,0.45,0.43,0.44,0.45,0.44,0.46,0.45,0.44,0.43,0.44,0.45,0.46,0.45,0.45,0.45,0.43,0.44,0.45,0.44,0.44,0.44,0.46,0.44,0.44,11.13,0.45,false
435,end_device_ids.dev_eui,0.5,received_at,0.849609375,0.42,0.40,0.41,0.40,0.40,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.40,0.42,0.41,0.42,0.41,0.40,0.42,0.42,0.41,0.42,0.41,0.40,10.26,0.41,false
436,end_device_ids.dev_eui,0.5714285714285714,received_at,0.8515625,0.41,0.40,0.40,0.41,0.39,0.42,0.41,0.39,0.42,0.41,0.40,0.40,0.42,0.39,0.41,0.39,0.41,0.42,0.40,0.41,0.40,0.40,0.40,0.39,0.40,10.10,0.40,false
437,end_device_ids.dev_eui,0.6428571428571429,received_at,0.853515625,0.39,0.39,0.39,0.39,0.40,0.40,0.39,0.38,0.40,0.40,0.39,0.39,0.39,0.38,0.40,0.38,0.40,0.41,0.40,0.40,0.40,0.39,0.40,0.39,0.40,9.85,0.39,false
438,end_device_ids.dev_eui,0.7142857142857143,received_at,0.85546875,0.39,0.40,0.38,0.39,0.39,0.40,0.41,0.40,0.41,0.41,0.40,0.39,0.40,0.39,0.41,0.39,0.40,0.40,0.41,0.40,0.40,0.40,0.40,0.40,0.41,9.98,0.40,false
439,end_device_ids.dev_eui,0.7857142857142857,received_at,0.857421875,0.41,0.43,0.42,0.41,0.41,0.43,0.41,0.42,0.42,0.43,0.41,0.41,0.43,0.41,0.42,0.41,0.41,0.41,0.43,0.40,0.42,0.41,0.43,0.42,0.41,10.42,0.42,false
440,end_device_ids.dev_eui,0.14285714285714285,received_at,0.859375,0.47,0.46,0.43,0.46,0.46,0.46,0.47,0.46,0.46,0.45,0.45,0.46,0.46,0.44,0.47,0.46,0.45,0.46,0.47,0.45,0.47,0.46,0.46,0.45,0.48,11.47,0.46,false
441,end_device_ids.dev_eui,0.21428571428571427,received_at,0.861328125,0.48,0.48,0.46,0.49,0.48,0.48,0.48,0.47,0.47,0.48,0.48,0.47,0.47,0.47,0.48,0.47,0.47,0.48,0.48,0.46,0.47,0.47,0.48,0.48,0.48,11.88,0.48,false
442,end_device_ids.dev_eui,0.8571428571428571,received_at,0.86328125,0.47,0.49,0.48,0.49,0.48,0.48,0.48,0.47,0.51,0.49,0.50,0.48,0.48,0.47,0.51,0.49,0.49,0.49,0.49,0.48,0.49,0.48,0.47,0.47,0.49,12.12,0.48,false
443,end_device_ids.dev_eui,0.9285714285714286,received_at,0.865234375,0.62,0.58,0.58,0.58,0.58,0.59,0.58,0.59,0.60,0.60,0.58,0.58,0.61,0.59,0.59,0.60,0.59,0.60,0.58,0.58,0.63,0.58,0.56,0.57,0.62,14.76,0.59,false
444,end_device_ids.dev_eui,1,received_at,0.8671875,0.45,0.45,0.46,0.44,0.44,0.47,0.47,0.44,0.44,0.45,0.46,0.44,0.44,0.44,0.45,0.46,0.44,0.46,0.47,0.44,0.46,0.45,0.45,0.44,0.45,11.26,0.45,false
445,end_device_ids.dev_eui,0.42857142857142855,received_at,0.869140625,0.50,0.50,0.48,0.48,0.50,0.48,0.47,0.49,0.48,0.51,0.49,0.49,0.48,0.49,0.49,0.49,0.49,0.49,0.50,0.48,0.49,0.50,0.49,0.50,0.50,12.26,0.49,false
446,end_device_ids.dev_eui,0,received_at,0.87109375,0.66,0.67,0.65,0.67,0.68,0.66,0.65,0.66,0.65,0.67,0.66,0.67,0.64,0.65,0.67,0.67,0.66,0.66,0.66,0.66,0.67,0.66,0.64,0.65,0.64,16.48,0.66,true
