month,day,hour,min,i_f,p_f,truth
1,5,9,45,249.4,30.25,0
1,5,10,0,247.2,30.41,0
1,5,10,15,245.93,30.52,0
1,5,10,30,245.33,30.56,0
1,5,10,45,247.53,30.41,0
1,5,11,0,246.87,30.48,0
1,5,11,15,246.4,30.46,0
1,5,11,30,246.53,30.47,0
1,5,11,45,246.33,30.48,0
1,5,12,0,234.27,31.37,0
1,5,12,15,236,31.28,0
1,5,12,30,248.73,31.22,0
1,5,12,45,252,30.97,0
1,5,13,0,253.53,30.84,0
1,5,13,15,250.13,31.08,0
1,5,13,30,252.27,30.93,0
1,5,13,45,249.27,31.14,0
1,5,14,0,250.33,31.05,0
1,5,14,15,251.87,30.96,0
1,5,14,30,251.27,30.98,0
1,5,14,45,251.2,31,0
1,5,15,0,247.53,31.27,0
1,5,15,15,246.87,31.25,0
1,5,15,30,251.8,30.92,0
1,5,15,45,249.8,31.1,0
1,5,16,0,251.93,30.93,0
1,5,16,15,248.87,31.12,0
1,5,16,30,251.8,30.92,0
1,5,16,45,249.6,31.08,0
1,5,17,0,248.33,31.17,0
1,5,17,15,246.07,31.39,0
1,5,17,30,247.8,31.22,0
1,5,17,45,249.27,31.12,0
1,5,18,0,249.4,31.12,0
1,5,18,15,245.67,31.41,0
1,5,18,30,249.53,31.1,0
1,5,18,45,243.8,31.53,0
1,5,19,0,246.67,31.33,0
1,5,19,15,243.67,31.27,0
1,5,19,30,241.73,31.33,0
1,5,19,45,244.87,31.46,0
1,5,20,0,244.8,31.44,0
1,5,20,15,242.6,31.67,0
1,5,20,30,247,31.34,0
1,5,20,45,246,31.41,0
1,5,21,0,246.4,31.39,0
1,5,21,15,243.87,31.62,0
1,5,21,30,241.6,31.77,0
1,5,21,45,238.8,32.02,0
1,5,22,0,238.33,32.01,0
1,5,22,15,240.2,31.86,0
1,5,22,30,237.93,32.09,0
1,5,22,45,236.53,32.18,0
1,5,23,0,234.73,32.34,0
1,5,23,15,231.53,32.57,0
1,5,23,30,230.4,32.63,0
1,5,23,45,231.53,32.58,0
1,6,0,0,226.2,32.97,0
1,6,0,15,225.13,33.01,0
1,6,0,30,247.73,33.23,0
1,6,0,45,244.8,33.46,0
1,6,1,0,243,33.57,0
1,6,1,15,245.13,33.44,0
1,6,1,30,239.73,33.85,0
1,6,1,45,239.07,33.88,0
1,6,2,0,239.53,33.91,0
1,6,2,15,241.6,33.7,0
1,6,2,30,239.93,33.83,0
1,6,2,45,237.67,34.02,0
1,6,3,0,235.93,34.15,0
1,6,3,15,234.13,34.25,0
1,6,3,30,238.4,33.95,0
1,6,3,45,233.73,34.36,0
1,6,4,0,244.47,34.3,0
1,6,4,15,242.47,34.58,0
1,6,4,30,248.87,34.06,0
1,6,4,45,254.13,33.65,0
1,6,5,0,254.6,33.61,0
1,6,5,15,253.2,33.71,0
1,6,5,30,259,33.25,0
1,6,5,45,255.27,33.5,0
1,6,6,0,253.33,33.67,0
1,6,6,15,255.93,33.48,0
1,6,6,30,262.13,32.98,0
1,6,6,45,255.33,33.5,0
1,6,7,0,262.47,32.93,0
1,6,7,15,255.87,33.4,0
1,6,7,30,261.07,32.98,0
1,6,7,45,254.4,32.69,0
1,6,8,0,254.07,32.67,0
1,6,8,15,258.47,32.33,0
1,6,8,30,266.53,31.65,0
1,6,8,45,266.6,31.14,0
1,6,9,0,260.87,31.2,0
1,6,9,15,266.6,30.59,0
1,6,9,30,260.67,30.2,0
1,6,9,45,246.93,29.61,0
1,6,10,0,247.87,29.37,0
1,6,10,15,246.4,29.48,0
1,6,10,30,246.67,29.47,0
1,6,10,45,247,29.48,0
1,6,11,0,246.4,29.52,0
1,6,11,15,240.67,29.9,0
1,6,11,30,233.2,30.46,0
1,6,11,45,232.13,30.54,0
1,6,12,0,234.4,30.42,0
1,6,12,15,234.6,30.97,0
1,6,12,30,245.4,31.16,0
1,6,12,45,255.53,31.3,0
1,6,13,0,266.47,31.09,0
1,6,13,15,260.73,31.5,0
1,6,13,30,262,31.41,0
1,6,13,45,261.13,31.47,0
1,6,14,0,262.73,31.35,0
1,6,14,15,262.33,31.38,0
1,6,14,30,262.8,31.35,0
1,6,14,45,261.27,31.46,0
1,6,15,0,262.73,31.33,0
1,6,15,15,260.93,31.47,0
1,6,15,30,259.6,31.52,0
