month,day,hour,min,i_uiipu,c_pu_p,p_pu,truth
1,3,13,45,135.8,25.75,49.28,0
1,3,14,0,142.93,25.75,48.97,0
1,3,14,15,140.53,24.35,49.14,0
1,3,14,30,138.4,26.19,49.56,0
1,3,14,45,137.47,25.29,49.61,0
1,3,15,0,138.87,25.64,49.39,0
1,3,15,15,140.2,24.75,49.46,0
1,3,15,30,138.47,25.68,49.54,0
1,3,15,45,138.4,25.33,49.63,0
1,3,16,0,136.33,25.76,49.52,0
1,3,16,15,137.93,25.73,49.54,0
1,3,16,30,138,24.67,49.59,0
1,3,16,45,278.2,25.25,50.76,0
1,3,17,0,367.47,25.44,51.48,0
1,3,17,15,354.33,26.81,51.37,0
1,3,17,30,284.13,25.36,50.56,0
1,3,17,45,285.27,25.12,50.59,0
1,3,18,0,287.67,26.04,50.51,0
1,3,18,15,286.13,24.59,50.41,0
1,3,18,30,285.53,26.09,50.56,0
1,3,18,45,286.73,25.67,50.63,0
1,3,19,0,288.8,25.76,50.41,0
1,3,19,15,285.33,25.64,50.75,0
1,3,19,30,288.87,25.98,50.44,0
1,3,19,45,286.27,26.75,50.54,0
1,3,20,0,289.87,24.61,50.41,0
1,3,20,15,287.4,25.24,50.65,0
1,3,20,30,288.07,25.91,50.66,0
1,3,20,45,286.07,25.32,50.63,0
1,3,21,0,288.73,5.46,50.66,0
1,3,21,15,286.47,0.27,50.69,0
1,3,21,30,350.47,0.06,51.52,0
1,3,21,45,352.47,0,51.7,0
1,3,22,0,352.8,0,51.8,0
1,3,22,15,350.47,0,51.82,0
1,3,22,30,347.53,0,52.1,0
1,3,22,45,345.2,0,52.3,0
1,3,23,0,371.27,0,52.76,0
1,3,23,15,369.93,0,52.85,0
1,3,23,30,368.8,0,53.01,0
1,3,23,45,365.4,0,53.23,0
1,4,0,0,363.8,0,53.51,0
1,4,0,15,365.07,0,53.43,0
1,4,0,30,364.33,0,53.33,0
1,4,0,45,361.33,0,53.6,0
1,4,1,0,366.33,0,53.27,0
1,4,1,15,361.73,0,53.46,0
1,4,1,30,365.6,0,53.35,0
1,4,1,45,361.6,0,53.61,0
1,4,2,0,358.53,0,53.77,0
1,4,2,15,357.2,0,54.05,0
1,4,2,30,358.27,0,53.93,0
1,4,2,45,359,0,53.96,0
1,4,3,0,362.33,0,53.73,0
1,4,3,15,359.4,0,53.97,0
1,4,3,30,359.87,0,54.21,0
1,4,3,45,356.8,0,54.22,0
1,4,4,0,356,0,54.33,0
1,4,4,15,362,0,53.88,0
1,4,4,30,358.27,0,54.31,0
1,4,4,45,357.13,0,54.25,0
1,4,5,0,357.53,0,54.16,0
1,4,5,15,360,0,54.09,0
1,4,5,30,361.93,0,53.97,0
1,4,5,45,363.4,0,53.81,0
1,4,6,0,363.4,0,53.66,0
1,4,6,15,367.33,0,53.31,0
1,4,6,30,258.2,18.5,51.91,0
1,4,6,45,180.93,24.91,51.76,0
1,4,7,0,152.53,25.98,51.31,0
1,4,7,15,130.67,26.1,50.74,0
1,4,7,30,84.33,25,50.4,0
1,4,7,45,87.8,26.71,50.16,0
1,4,8,0,87.87,25.74,49.84,0
1,4,8,15,63.33,25.57,49.41,0
1,4,8,30,64.67,25.08,49.35,0
1,4,8,45,30.13,26.05,49.31,0
1,4,9,0,3.2,26.43,48.86,0
1,4,9,15,3.33,25.52,48.68,0
1,4,9,30,3.8,24.88,48.55,0
1,4,9,45,3.4,24.94,48.49,0
1,4,10,0,4.2,26.45,48.35,0
1,4,10,15,3.47,24.96,47.96,0
1,4,10,30,3.67,24.64,48.24,0
1,4,10,45,3.53,25.93,48.43,0
1,4,11,0,3.33,24.51,48.08,0
1,4,11,15,3.53,26.19,48.54,0
1,4,11,30,3.4,25.5,48.38,0
1,4,11,45,26.8,24.74,49.16,0
1,4,12,0,109.53,25.79,49.65,0
1,4,12,15,101.8,25.29,49.41,0
1,4,12,30,97.2,24.64,49.59,0
1,4,12,45,98.07,25.89,49.46,0
1,4,13,0,95.8,25.2,49.38,0
1,4,13,15,97.13,25.46,49.42,0
1,4,13,30,92.93,26.38,49.29,0
1,4,13,45,100.93,25.03,49.33,0
1,4,14,0,103.73,26.45,49.27,0
1,4,14,15,103.07,25.78,49.39,0
1,4,14,30,102,25.3,49.54,0
1,4,14,45,101.67,25.09,49.41,0
1,4,15,0,102,26.49,49.39,0
1,4,15,15,102.8,24.76,49.55,0
1,4,15,30,103.13,25.23,49.36,0
1,4,15,45,102.07,24.92,49.46,0
1,4,16,0,101.6,25.57,49.67,0
1,4,16,15,102.2,25.05,49.38,0
1,4,16,30,104.33,25.67,49.47,0
1,4,16,45,101.27,25.11,49.67,0
1,4,17,0,103.33,27.1,49.32,0
1,4,17,15,137.13,25.12,49.48,0
1,4,17,30,141.93,24.99,49.5,0
1,4,17,45,141.73,26.2,49.91,0
1,4,18,0,143.67,24.77,49.39,0
1,4,18,15,141.67,25.75,49.54,0
1,4,18,30,140.87,24.99,49.82,0
1,4,18,45,152.27,25.16,49.37,0
1,4,19,0,230.4,26.83,50.05,0
1,4,19,15,283.4,25.45,50.44,0
