id,received_at,uplink_message.rx_metadata.0.location.latitude,uplink_message.rx_metadata.0.location.longitude,uplink_message.rx_metadata.0.location.altitude,uplink_message.rx_metadata.0.gateway_ids.gateway_id,uplink_message.rx_metadata.0.gateway_ids.eui,uplink_message.rx_metadata.0.location.source,uplink_message.rx_metadata.1.location.latitude,uplink_message.rx_metadata.1.location.longitude,uplink_message.rx_metadata.1.location.altitude,uplink_message.rx_metadata.1.gateway_ids.gateway_id,uplink_message.rx_metadata.1.gateway_ids.eui,uplink_message.rx_metadata.1.location.source,uplink_message.rx_metadata.2.location.latitude,uplink_message.rx_metadata.2.location.longitude,uplink_message.rx_metadata.2.location.altitude,uplink_message.rx_metadata.2.gateway_ids.gateway_id,uplink_message.rx_metadata.2.gateway_ids.eui,uplink_message.rx_metadata.2.location.source,uplink_message.rx_metadata.3.location.latitude,uplink_message.rx_metadata.3.location.longitude,uplink_message.rx_metadata.3.location.altitude,uplink_message.rx_metadata.3.gateway_ids.gateway_id,uplink_message.rx_metadata.3.gateway_ids.eui,uplink_message.rx_metadata.3.location.source,uplink_message.rx_metadata.4.location.latitude,uplink_message.rx_metadata.4.location.longitude,uplink_message.rx_metadata.4.location.altitude,uplink_message.rx_metadata.4.gateway_ids.gateway_id,uplink_message.rx_metadata.4.gateway_ids.eui,uplink_message.rx_metadata.4.location.source,score
2200,0.2423708273658698,0.5417031809124497,0.9843014128728415,0.16666666666666666,0.75,0.75,0,1,0,1,0,0,0,0.9999679289833249,0.007373631495418912,1,0.8,0.8,0,0.9999549211307613,0.013218441489720428,0.5,1,1,1,0.9999325920100464,0.0089573838176674,0.4,0.2,0.2,1,0.57
2228,0.24545554698688996,0.5417031809124497,0.9843014128728415,0.16666666666666666,0.75,0.75,0,1,0,1,0,0,0,0.9999679289833249,0.007373631495418912,1,0.8,0.8,0,0.9999549211307613,0.013218441489720428,0.5,1,1,1,0.9999325920100464,0.0089573838176674,0.4,0.2,0.2,1,0.57
2379,0.2620909992288201,0.5242252929192458,0.5578291133000177,1,0,0,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.57
2578,0.28401454224964195,0.5242252929192458,0.5578291133000177,1,0,0,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.57
2583,0.28456538503910983,0.3312533236838615,1,0.16666666666666666,0.5,0.5,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.57
2679,0.2951415665968932,0.5417031809124497,0.9843014128728415,0.16666666666666666,0.75,0.75,0,0.9999679289833249,0.007373631495418912,1,0.2,0.2,0,0.9999549211307613,0.013218441489720428,0.5,1,1,0,1,0,1,0.8,0.8,1,0.9999325920100464,0.0089573838176674,0.4,0.2,0.2,1,0.57
2714,0.29899746612316846,0.5242252929192458,0.5578291133000177,1,0,0,0,1,0,1,0,0,0,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.57
2724,0.3000991517021042,0.5417031809124497,0.9843014128728415,0.16666666666666666,0.75,0.75,0,0.9999679289833249,0.007373631495418912,1,0.2,0.2,0,0.9999549211307613,0.013218441489720428,0.5,1,1,0,1,0,1,0.8,0.8,1,0.9999325920100464,0.0089573838176674,0.4,0.2,0.2,1,0.57
2756,0.3036245455546987,1,0,1,0.25,0.25,0,0.9999691071326231,0.013010930634308804,0.5,0.8,0.8,0,0.9999679289833249,0.007373631495418912,1,0.8,0.8,0,0.9999549211307613,0.013218441489720428,0.5,1,1,1,0,1,0,0,0,0,0.57
2762,0.30428555690206016,0.3312533236838615,1,0.16666666666666666,0.5,0.5,0,0.9999679289833249,0.007373631495418912,1,0.2,0.2,0,0.9999325920100464,0.0089573838176674,0.4,0,0,0,1,0,1,0.8,0.8,1,0,1,0,0,0,0,0.57
2831,0.311887187396717,1,0,1,0.25,0.25,0,0.9999691071326231,0.013010930634308804,0.5,0.8,0.8,0,0.9999325920100464,0.0089573838176674,0.4,0,0,0,0.9999679289833249,0.007373631495418912,1,0.4,0.4,1,0,1,0,0,0,0,0.57
2973,0.3275311226176049,0.5242252929192458,0.5578291133000177,1,0,0,0,0,1,0,1,1,1,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.57
2978,0.3280819654070728,1,0,1,0.25,0.25,0,0.9999549211307613,0.013218441489720428,0.5,0.4,0.4,0,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.57
3043,0.33524292167015535,0.5417031809124497,0.9843014128728415,0.16666666666666666,0.75,0.75,0,1,0,1,0,0,0,0.9999679289833249,0.007373631495418912,1,0.8,0.8,0,0.9999549211307613,0.013218441489720428,0.5,1,1,1,0.9999325920100464,0.0089573838176674,0.4,0.2,0.2,1,0.57
