month,day,hour,min,p_uiip,p_f,p_pu
1,4,13,15,21.16,31.24,49.42
1,4,13,30,21.22,30.99,49.29
1,4,13,45,20.9,31.18,49.33
1,4,14,0,20.87,31.18,49.27
1,4,14,15,20.84,31.27,49.39
1,4,14,30,20.82,31.39,49.54
1,4,14,45,20.68,31.3,49.41
1,4,15,0,20.86,31.39,49.39
1,4,15,15,20.82,31.35,49.55
1,4,15,30,20.69,31.23,49.36
1,4,15,45,19.69,31.59,49.46
1,4,16,0,19.73,31.5,49.67
1,4,16,15,19.89,31.2,49.38
1,4,16,30,19.67,31.58,49.47
1,4,16,45,19.89,31.48,49.67
1,4,17,0,19.77,31.21,49.32
1,4,17,15,19.78,31.35,49.48
1,4,17,30,19.8,31.27,49.5
1,4,17,45,19.74,31.61,49.91
1,4,18,0,19.8,31.18,49.39
1,4,18,15,19.67,31.12,49.54
1,4,18,30,19.88,31.55,49.82
1,4,18,45,19.73,31.1,49.37
1,4,19,0,19.66,31.17,50.05
1,4,19,15,19.61,31.4,50.44
1,4,19,30,19.72,31.31,50.46
1,4,19,45,19.64,31.33,50.48
1,4,20,0,19.57,31.13,50.48
1,4,20,15,19.62,31.1,50.26
1,4,20,30,19.79,31.58,50.54
1,4,20,45,19.74,31.39,50.45
1,4,21,0,19.69,31.31,50.49
1,4,21,15,19.58,31.3,50.5
1,4,21,30,19.67,31.56,50.69
1,4,21,45,19.61,31.45,50.5
1,4,22,0,20.51,31.67,51.73
1,4,22,15,20.44,31.99,52.05
1,4,22,30,20.64,32.11,52.18
1,4,22,45,20.44,32.41,52.34
1,4,23,0,17.19,32.53,52.46
1,4,23,15,16.78,32.67,52.46
1,4,23,30,16.62,32.66,52.72
1,4,23,45,16.48,32.9,52.79
1,5,0,0,15.9,32.97,52.93
1,5,0,15,14.33,32.88,52.72
1,5,0,30,15.71,32.95,52.94
1,5,0,45,16.58,33.12,53.07
1,5,1,0,16.24,33.07,52.82
1,5,1,15,16.56,32.94,52.87
1,5,1,30,16.63,33.05,53.02
1,5,1,45,16.58,33.31,53.18
1,5,2,0,16.59,33.22,53.1
1,5,2,15,16.34,33.16,52.96
1,5,2,30,16.5,33.01,52.71
1,5,2,45,16.6,33.47,53.4
1,5,3,0,15.59,33.22,52.48
1,5,3,15,15.7,33.18,52.93
1,5,3,30,16.56,33.46,53.26
1,5,3,45,16.66,33.59,53.41
1,5,4,0,16.44,33.54,53.39
1,5,4,15,16.58,33.86,53.7
1,5,4,30,16.59,33.83,53.59
1,5,4,45,16.56,34.39,53.99
1,5,5,0,16.5,33.78,53.62
1,5,5,15,16.52,33.76,53.6
1,5,5,30,16.54,33.48,53.43
1,5,5,45,18.09,33.52,53.47
1,5,6,0,19.54,33.4,53.26
1,5,6,15,20.64,33.6,53.22
1,5,6,30,20.75,33.29,52.93
1,5,6,45,20.37,32.84,52.48
1,5,7,0,20.69,32.82,51.36
1,5,7,15,21.11,32.85,51.23
1,5,7,30,21.05,32.14,49.99
1,5,7,45,20.07,31.68,49.48
1,5,8,0,20.6,31.15,48.74
1,5,8,15,20.78,30.67,48.6
1,5,8,30,21.21,30.9,48.59
1,5,8,45,21.16,30.7,48.65
1,5,9,0,21.27,30.41,48.19
1,5,9,15,21.17,30.39,48.31
1,5,9,30,21.14,30.58,48.31
1,5,9,45,21.24,30.25,47.9
1,5,10,0,21.12,30.41,48.27
1,5,10,15,21.12,30.52,48.38
1,5,10,30,21.62,30.56,48.43
1,5,10,45,21.66,30.41,48.23
1,5,11,0,21.65,30.48,48.44
1,5,11,15,21.72,30.46,48.34
1,5,11,30,21.76,30.47,48.4
1,5,11,45,21.71,30.48,48.37
1,5,12,0,21.24,31.37,49.44
1,5,12,15,21.2,31.28,49.52
1,5,12,30,21.17,31.22,49.46
1,5,12,45,21.21,30.97,49.09
1,5,13,0,21.29,30.84,48.84
1,5,13,15,21.24,31.08,49.25
1,5,13,30,20.93,30.93,49.13
1,5,13,45,21.26,31.14,49.5
1,5,14,0,20.73,31.05,49.29
1,5,14,15,20.88,30.96,49.21
1,5,14,30,20.59,30.98,49.17
1,5,14,45,20.81,31,49.19
1,5,15,0,20.63,31.27,49.45
1,5,15,15,20.64,31.25,49.2
1,5,15,30,20.76,30.92,49.12
1,5,15,45,20.52,31.1,49.41
1,5,16,0,20.59,30.93,49.13
1,5,16,15,20.8,31.12,49.12
1,5,16,30,20.62,30.92,49.29
1,5,16,45,20.69,31.08,49.61
1,5,17,0,20.69,31.17,50.28
1,5,17,15,20.6,31.39,50.59
1,5,17,30,20.73,31.22,50.41
1,5,17,45,20.62,31.12,50.47
1,5,18,0,20.75,31.12,50.53
1,5,18,15,20.75,31.41,50.58
1,5,18,30,20.74,31.1,50.4
1,5,18,45,20.67,31.53,50.88
1,5,19,0,20.76,31.33,50.7
1,5,19,15,20.59,31.27,50.59
1,5,19,30,20.71,31.33,50.67
1,5,19,45,20.69,31.46,50.8
1,5,20,0,20.68,31.44,50.62
1,5,20,15,20.69,31.67,50.88
1,5,20,30,20.81,31.34,50.71
1,5,20,45,20.81,31.41,50.71
1,5,21,0,20.7,31.39,50.89
1,5,21,15,20.5,31.62,50.99
1,5,21,30,20.86,31.77,51.16
1,5,21,45,20.67,32.02,51.66
1,5,22,0,20.69,32.01,51.71
1,5,22,15,20.54,31.86,51.81
1,5,22,30,20.19,32.09,52.27
1,5,22,45,20.17,32.18,52.22
1,5,23,0,16.69,32.34,52.43
1,5,23,15,16.46,32.57,52.59
1,5,23,30,16.59,32.63,52.78
1,5,23,45,16.44,32.58,52.59
1,6,0,0,16.61,32.97,52.99
1,6,0,15,16.56,33.01,52.97
1,6,0,30,16.56,33.23,53.2
1,6,0,45,16.63,33.46,53.41
1,6,1,0,16.55,33.57,53.45
1,6,1,15,16.57,33.44,53.29
1,6,1,30,16.52,33.85,53.65
1,6,1,45,16.56,33.88,53.77
1,6,2,0,16.72,33.91,53.75
1,6,2,15,16.59,33.7,53.48
1,6,2,30,16.63,33.83,53.63
1,6,2,45,16.54,34.02,53.91
1,6,3,0,16.59,34.15,54.01
1,6,3,15,16.7,34.25,54.1
1,6,3,30,17.08,33.95,54.03
1,6,3,45,16.59,34.36,54.2
1,6,4,0,16.58,34.3,54.03
1,6,4,15,16.45,34.58,54.38
1,6,4,30,16.62,34.06,53.35
1,6,4,45,16.88,33.65,52.27
1,6,5,0,16.63,33.61,52.08
1,6,5,15,16.59,33.71,52.24
1,6,5,30,16.56,33.25,51.88
1,6,5,45,19.61,33.5,51.75
1,6,6,0,19.75,33.67,52.12
1,6,6,15,19.73,33.48,51.64
1,6,6,30,19.59,32.98,51.27
1,6,6,45,20.48,33.5,51.73
1,6,7,0,20.63,32.93,51.25
1,6,7,15,20.67,33.4,51.44
1,6,7,30,20.55,32.98,51.1
1,6,7,45,21.1,32.69,50.81
1,6,8,0,20.98,32.67,50.66
1,6,8,15,21.03,32.33,50.29
1,6,8,30,20.97,31.65,49.41
