id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
43,2017 Nivel depósito ,0,﻿Fecha_Hora,0.08617234468937876,0.47,0.47,0.46,0.47,0.48,0.47,0.47,0.49,0.49,0.48,0.47,0.48,0.49,0.45,0.47,0.47,0.49,0.48,0.48,0.49,0.47,0.48,0.46,0.47,0.48,11.88,0.48,false
44,2017 Nivel depósito ,0,﻿Fecha_Hora,0.08817635270541083,0.47,0.45,0.46,0.46,0.47,0.46,0.48,0.47,0.48,0.47,0.47,0.48,0.47,0.44,0.47,0.46,0.48,0.47,0.47,0.50,0.47,0.47,0.47,0.46,0.47,11.72,0.47,false
45,2017 Nivel depósito ,0,﻿Fecha_Hora,0.09018036072144289,0.45,0.46,0.45,0.47,0.46,0.45,0.48,0.48,0.47,0.45,0.47,0.49,0.47,0.45,0.47,0.46,0.49,0.48,0.47,0.49,0.47,0.46,0.46,0.46,0.49,11.70,0.47,false
46,2017 Nivel depósito ,0,﻿Fecha_Hora,0.09218436873747494,0.45,0.45,0.45,0.46,0.46,0.44,0.47,0.47,0.47,0.48,0.47,0.48,0.46,0.44,0.46,0.44,0.47,0.46,0.45,0.47,0.45,0.45,0.46,0.46,0.46,11.48,0.46,false
47,2017 Nivel depósito ,0,﻿Fecha_Hora,0.09418837675350701,0.46,0.47,0.45,0.48,0.46,0.46,0.47,0.47,0.46,0.47,0.47,0.48,0.47,0.45,0.46,0.44,0.45,0.47,0.46,0.47,0.46,0.45,0.46,0.48,0.46,11.58,0.46,false
48,2017 Nivel depósito ,0,﻿Fecha_Hora,0.09619238476953908,0.47,0.45,0.45,0.48,0.48,0.45,0.49,0.48,0.47,0.48,0.49,0.48,0.49,0.47,0.45,0.46,0.45,0.46,0.46,0.47,0.46,0.45,0.48,0.49,0.47,11.73,0.47,false
49,2017 Nivel depósito ,0,﻿Fecha_Hora,0.09819639278557114,0.48,0.47,0.46,0.47,0.48,0.46,0.49,0.46,0.48,0.50,0.47,0.49,0.50,0.47,0.45,0.47,0.47,0.47,0.48,0.46,0.45,0.46,0.48,0.49,0.48,11.84,0.47,false
50,2017 Nivel depósito ,0,﻿Fecha_Hora,0.10020040080160321,0.47,0.47,0.46,0.46,0.46,0.46,0.48,0.45,0.48,0.48,0.47,0.49,0.48,0.45,0.46,0.47,0.46,0.47,0.47,0.47,0.46,0.45,0.47,0.47,0.46,11.67,0.47,false
51,2017 Nivel depósito ,0,﻿Fecha_Hora,0.10220440881763528,0.45,0.45,0.46,0.47,0.47,0.45,0.47,0.45,0.48,0.47,0.47,0.50,0.49,0.45,0.45,0.46,0.46,0.46,0.44,0.46,0.45,0.45,0.46,0.46,0.47,11.55,0.46,false
52,2017 Nivel depósito ,0,﻿Fecha_Hora,0.10420841683366733,0.46,0.45,0.47,0.48,0.46,0.46,0.47,0.46,0.49,0.46,0.45,0.49,0.48,0.47,0.46,0.45,0.46,0.46,0.45,0.46,0.45,0.44,0.47,0.48,0.46,11.59,0.46,false
53,2017 Nivel depósito ,0,﻿Fecha_Hora,0.1062124248496994,0.46,0.45,0.46,0.47,0.46,0.47,0.47,0.45,0.49,0.47,0.47,0.48,0.47,0.47,0.47,0.46,0.47,0.46,0.45,0.44,0.45,0.44,0.46,0.46,0.46,11.56,0.46,false
54,2017 Nivel depósito ,0,﻿Fecha_Hora,0.10821643286573146,0.46,0.45,0.45,0.46,0.46,0.47,0.47,0.45,0.48,0.47,0.46,0.47,0.45,0.46,0.47,0.45,0.45,0.45,0.45,0.46,0.45,0.44,0.47,0.45,0.46,11.46,0.46,false
55,2017 Nivel depósito ,0,﻿Fecha_Hora,0.11022044088176353,0.46,0.45,0.46,0.47,0.47,0.47,0.47,0.45,0.49,0.47,0.45,0.47,0.46,0.45,0.46,0.46,0.46,0.45,0.44,0.47,0.45,0.44,0.45,0.46,0.45,11.48,0.46,false
56,2017 Nivel depósito ,0,﻿Fecha_Hora,0.11222444889779559,0.46,0.45,0.46,0.47,0.46,0.47,0.48,0.45,0.48,0.48,0.45,0.47,0.47,0.46,0.46,0.46,0.47,0.45,0.44,0.48,0.44,0.45,0.46,0.46,0.46,11.54,0.46,false
57,2017 Nivel depósito ,0,﻿Fecha_Hora,0.11422845691382766,0.45,0.46,0.47,0.47,0.47,0.47,0.46,0.46,0.47,0.47,0.45,0.48,0.46,0.46,0.46,0.46,0.47,0.45,0.46,0.46,0.45,0.45,0.45,0.46,0.46,11.53,0.46,false
58,2017 Nivel depósito ,0,﻿Fecha_Hora,0.11623246492985972,0.45,0.48,0.46,0.47,0.47,0.48,0.46,0.47,0.47,0.48,0.46,0.48,0.47,0.46,0.47,0.47,0.47,0.46,0.48,0.47,0.46,0.47,0.46,0.46,0.47,11.70,0.47,false
59,2017 Nivel depósito ,0,﻿Fecha_Hora,0.11823647294589178,0.45,0.46,0.46,0.48,0.46,0.48,0.46,0.48,0.46,0.48,0.46,0.47,0.48,0.47,0.48,0.48,0.46,0.48,0.48,0.48,0.47,0.46,0.46,0.47,0.46,11.73,0.47,false
60,2017 Nivel depósito ,0,﻿Fecha_Hora,0.12024048096192384,0.45,0.46,0.46,0.47,0.46,0.47,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.45,0.49,0.46,0.47,0.46,0.47,0.47,0.46,0.47,0.45,0.46,0.46,11.62,0.46,false
61,2017 Nivel depósito ,0,﻿Fecha_Hora,0.12224448897795591,0.47,0.48,0.47,0.49,0.47,0.48,0.48,0.48,0.47,0.49,0.48,0.48,0.47,0.47,0.49,0.47,0.48,0.48,0.49,0.48,0.47,0.49,0.47,0.48,0.48,11.96,0.48,false
62,2017 Nivel depósito ,0,﻿Fecha_Hora,0.12424849699398798,0.46,0.48,0.46,0.48,0.47,0.47,0.48,0.46,0.48,0.47,0.48,0.46,0.48,0.45,0.47,0.46,0.48,0.46,0.47,0.46,0.44,0.47,0.47,0.46,0.49,11.71,0.47,false
63,2017 Nivel depósito ,0,﻿Fecha_Hora,0.12625250501002003,0.46,0.50,0.48,0.48,0.47,0.47,0.48,0.47,0.48,0.50,0.47,0.48,0.49,0.47,0.48,0.45,0.49,0.47,0.49,0.47,0.46,0.48,0.47,0.47,0.47,11.90,0.48,false
