id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
111,end_device_ids.device_id,0.2857142857142857,0,0.216796875,0.41,0.40,0.41,0.40,0.40,0.41,0.40,0.39,0.41,0.40,0.41,0.39,0.41,0.42,0.39,0.41,0.41,0.41,0.41,0.41,0.41,0.39,0.42,0.42,0.41,10.15,0.41,false
112,end_device_ids.device_id,0.35714285714285715,0,0.21875,0.41,0.39,0.40,0.40,0.38,0.40,0.38,0.39,0.39,0.38,0.40,0.38,0.39,0.40,0.40,0.40,0.39,0.40,0.39,0.40,0.39,0.38,0.40,0.40,0.40,9.84,0.39,false
113,end_device_ids.device_id,0.42857142857142855,0,0.220703125,0.48,0.50,0.50,0.51,0.48,0.48,0.50,0.49,0.48,0.46,0.48,0.49,0.48,0.49,0.48,0.51,0.48,0.49,0.48,0.50,0.51,0.51,0.50,0.49,0.49,12.26,0.49,false
114,end_device_ids.device_id,0.5,0,0.22265625,0.47,0.48,0.49,0.48,0.48,0.50,0.47,0.49,0.48,0.47,0.50,0.46,0.49,0.48,0.48,0.47,0.48,0.48,0.48,0.47,0.47,0.46,0.47,0.48,0.49,11.97,0.48,false
115,end_device_ids.device_id,0.5714285714285714,0,0.224609375,0.40,0.37,0.38,0.38,0.38,0.39,0.37,0.38,0.38,0.38,0.39,0.38,0.39,0.39,0.38,0.38,0.39,0.39,0.38,0.37,0.38,0.37,0.39,0.38,0.39,9.56,0.38,false
116,end_device_ids.device_id,0.6428571428571429,0,0.2265625,0.42,0.40,0.40,0.40,0.40,0.43,0.40,0.40,0.43,0.40,0.42,0.40,0.39,0.41,0.41,0.41,0.40,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,10.20,0.41,false
117,end_device_ids.device_id,0.7142857142857143,0,0.228515625,0.39,0.38,0.39,0.39,0.39,0.38,0.39,0.38,0.38,0.39,0.39,0.38,0.39,0.39,0.40,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.40,0.40,0.39,9.72,0.39,false
118,end_device_ids.device_id,0.7857142857142857,0,0.23046875,0.38,0.38,0.38,0.38,0.38,0.38,0.39,0.39,0.38,0.38,0.39,0.37,0.38,0.39,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.38,0.37,0.39,9.53,0.38,false
119,end_device_ids.device_id,0.14285714285714285,0,0.232421875,0.47,0.47,0.47,0.48,0.46,0.48,0.47,0.47,0.49,0.46,0.46,0.48,0.46,0.48,0.47,0.48,0.48,0.47,0.47,0.48,0.47,0.48,0.48,0.47,0.49,11.84,0.47,false
120,end_device_ids.device_id,0.21428571428571427,0,0.234375,0.45,0.46,0.47,0.47,0.46,0.48,0.47,0.48,0.46,0.46,0.47,0.47,0.46,0.46,0.48,0.47,0.47,0.46,0.46,0.46,0.45,0.47,0.46,0.48,0.47,11.65,0.47,false
121,end_device_ids.device_id,0.8571428571428571,0,0.236328125,0.43,0.43,0.43,0.44,0.44,0.43,0.42,0.44,0.43,0.43,0.45,0.42,0.42,0.44,0.42,0.44,0.42,0.43,0.43,0.43,0.42,0.43,0.44,0.42,0.44,10.77,0.43,false
122,end_device_ids.device_id,0.9285714285714286,0,0.23828125,0.39,0.37,0.37,0.38,0.38,0.37,0.38,0.39,0.37,0.38,0.38,0.36,0.39,0.39,0.39,0.37,0.39,0.38,0.38,0.38,0.38,0.37,0.40,0.38,0.39,9.51,0.38,false
