month_day_hour_min,i_uiip,i_f,i_uiipu,truth
391,208.67,231.73,364.53,0
392,203.93,233.73,365.4,0
393,190.34,234.73,367.87,0
394,193.07,236.93,369.47,0
395,178.74,231.07,363.07,0
396,159.33,234,350.87,0
397,170.46,235.07,366.27,0
398,153.3,230.8,364.6,0
399,150.47,230.13,363.87,0
400,158.8,230.67,366,0
401,168.18,249.67,360,0
402,170.16,251.8,363.87,0
403,178.8,244.2,360.27,0
404,172.1,252.67,362.27,0
405,169.51,252.73,364.2,0
406,170.36,256.13,362.8,0
407,167.25,251.8,363.2,0
408,186.51,252.67,365.33,0
409,198.16,261.13,358.07,0
410,177.69,271.87,347.27,0
411,204.26,280.47,341.13,0
412,208.98,280.13,224.73,0
413,203.3,280.27,186.33,0
414,219.59,287.8,102.47,0
415,230.73,278.8,2.53,0
416,224.28,260.53,2.4,0
417,228.85,265.13,2.4,0
418,250.61,253.07,2.2,0
419,243.16,244.2,2.47,0
420,270.62,247.07,2.2,0
421,243.08,247.67,2.6,0
422,247.96,245.13,2.4,0
423,249.36,249.4,2.73,0
424,231.87,247.2,2.33,0
425,246.77,245.93,2.67,0
426,248.56,245.33,2.53,0
427,248.98,247.53,3.33,0
428,245.64,246.87,3.47,0
429,261.96,246.4,3.6,0
430,243.85,246.53,3.33,0
431,222.3,246.33,3.53,0
432,224.43,234.27,122.4,0
433,223.05,236,132.8,0
434,222.12,248.73,111.2,0
435,220.2,252,102.13,0
436,214.49,253.53,121.8,0
437,217.88,250.13,131.47,0
438,210.58,252.27,131.33,0
439,195.96,249.27,137.53,0
440,181.08,250.33,139.67,0
441,208.86,251.87,138.2,0
442,201.73,251.27,139.4,0
443,194.03,251.2,138.4,0
444,189.35,247.53,101.4,0
445,175.77,246.87,101.93,0
446,175.71,251.8,99.73,0
447,190.26,249.8,98.27,0
448,184.23,251.93,100.6,0
449,188.37,248.87,102,0
450,186.19,251.8,137.33,0
451,179.18,249.6,204.27,0
452,169.4,248.33,280.47,0
453,172.46,246.07,298.67,0
454,166.33,247.8,300.6,0
455,153.63,249.27,300.27,0
456,171.52,249.4,299.73,0
457,160.5,245.67,299.53,0
458,146.65,249.53,304.2,0
459,151.6,243.8,314.93,0
460,172.84,246.67,317.33,0
461,174.74,243.67,317.67,0
462,187.94,241.73,314.53,0
463,165.96,244.87,316,0
464,174.17,244.8,316.73,0
465,171.3,242.6,314.8,0
466,161.36,247,316.07,0
467,159.14,246,315.13,0
468,169.69,246.4,314.13,0
469,194.85,243.87,317.2,0
470,165.5,241.6,325.27,0
471,159.21,238.8,336.47,0
472,169.59,238.33,358.53,0
473,170.03,240.2,381.4,0
474,170.68,237.93,377.93,0
475,158.35,236.53,376.8,0
476,147.49,234.73,375.53,0
477,130.46,231.53,375.47,0
478,140.28,230.4,373.27,0
479,139.31,231.53,373.33,0
480,140.24,226.2,371.87,0
481,152.23,225.13,372.33,0
482,164.98,247.73,367.87,0
483,145.72,244.8,367,0
484,142.34,243,366.6,0
485,139.44,245.13,368.4,0
486,132.63,239.73,365.07,0
487,133.25,239.07,364.4,0
488,127.49,239.53,363.2,0
489,124.14,241.6,367.4,0
490,127.93,239.93,365.73,0
491,126.05,237.67,362.27,0
492,127.24,235.93,360.87,0
493,125.29,234.13,359.53,0
494,117.13,238.4,361.67,0
495,121.91,233.73,359.87,0
496,124.02,244.47,360.33,0
497,134.06,242.47,357.8,0
498,135.5,248.87,280.27,0
499,120.97,254.13,194.2,0
500,132.69,254.6,194.6,0
501,129.09,253.2,193.87,0
502,146.73,259,195.47,0
503,149.89,255.27,196.87,0
504,130.54,253.33,193.87,0
505,129.77,255.93,170.87,0
506,125.9,262.13,136.93,0
507,127.93,255.33,150.93,0
508,127.54,262.47,152.07,0
509,140.92,255.87,152.07,0
510,162.15,261.07,112.13,0
511,170.48,254.4,91,0
512,190.53,254.07,94.27,0
513,210.36,258.47,86.87,0
514,217.65,266.53,47.73,0
515,236.91,266.6,3.53,0
516,238.6,260.87,3.4,0
517,246.95,266.6,3.27,0
518,242.25,260.67,3.67,0
519,254.18,246.93,3.33,0
520,249.91,247.87,3.53,0
521,249.16,246.4,3.6,0
522,258.95,246.67,3.8,0
523,267.13,247,3.33,0
524,230.96,246.4,3.33,0
525,231.28,240.67,29.87,0
526,260.48,233.2,114.13,0
527,244.26,232.13,106.2,0
528,225.74,234.4,107.07,0
529,233.44,234.6,117.2,0
530,212.51,245.4,137.47,0
531,210.92,255.53,143.33,0
532,206.05,266.47,143.53,0
533,186.71,260.73,140.53,0
534,188.68,262,134,0
535,208.81,261.13,106,0
536,183.32,262.73,98.73,0
537,183.82,262.33,101.8,0
538,192.06,262.8,98.73,0
539,184.45,261.27,101.87,0
540,177.23,262.73,99.53,0
541,168.5,260.93,99.8,0
542,180.86,259.6,100.87,0
543,167.59,264.6,101.53,0
544,163.03,256.47,98.4,0
545,173.1,237.27,101.27,0
546,156.38,237.73,101.53,0
547,176.35,240.8,104.27,0
548,170.92,238.67,132.47,0
549,160.78,238.13,262,0
550,172.63,239.13,295.33,0
551,166.24,239.2,287.13,0
552,169.83,240.73,284.8,0
553,180.05,239.33,285.93,0
554,179.63,236.07,286,0
555,188.37,237.73,285.6,0
556,191.63,237.4,282.73,0
557,177.41,237.8,286.93,0
558,173.84,240.4,303.2,0
559,181.14,238,304.13,0
560,207.47,241.93,303.67,0
561,178.49,240.4,306.2,0
562,162.7,243.93,323.67,0
563,164.09,258.8,330.73,0
564,185.28,258,357,0
565,179.95,253.67,356.8,0
566,171.83,249.47,356.33,0
567,171.9,253.67,355.53,0
568,174.08,250.6,358.2,0
569,167.66,245.27,377.13,0
570,169.64,246.67,376.13,0
571,171.96,268.47,374.27,0
572,164.21,266.53,372.93,0
573,157.48,265.2,372.73,0
574,154.7,261.33,371.67,0
575,159.04,262.07,370.6,0
