id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
395,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.771484375,0.56,0.54,0.56,0.56,0.55,0.56,0.55,0.55,0.54,0.55,0.55,0.56,0.56,0.56,0.56,0.56,0.54,0.57,0.56,0.55,0.57,0.56,0.57,0.56,0.56,13.91,0.56,false
396,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.7734375,0.49,0.49,0.49,0.50,0.51,0.51,0.50,0.49,0.49,0.51,0.49,0.48,0.49,0.49,0.51,0.50,0.49,0.48,0.47,0.48,0.50,0.47,0.50,0.50,0.49,12.32,0.49,false
397,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.775390625,0.54,0.53,0.55,0.52,0.53,0.54,0.52,0.54,0.54,0.55,0.53,0.54,0.54,0.54,0.55,0.54,0.54,0.53,0.51,0.52,0.53,0.52,0.54,0.54,0.53,13.36,0.53,false
398,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.77734375,0.57,0.57,0.57,0.58,0.56,0.58,0.57,0.56,0.55,0.58,0.57,0.57,0.58,0.57,0.57,0.57,0.56,0.58,0.58,0.57,0.58,0.57,0.59,0.58,0.58,14.31,0.57,false
399,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.779296875,0.44,0.45,0.45,0.44,0.45,0.46,0.43,0.44,0.45,0.45,0.45,0.44,0.44,0.43,0.45,0.45,0.45,0.44,0.45,0.45,0.46,0.45,0.44,0.45,0.44,11.15,0.45,false
400,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.78125,0.56,0.55,0.55,0.56,0.56,0.56,0.56,0.56,0.57,0.55,0.56,0.58,0.55,0.56,0.58,0.56,0.57,0.55,0.56,0.57,0.56,0.57,0.57,0.57,0.58,14.07,0.56,false
401,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.783203125,0.44,0.45,0.45,0.45,0.46,0.45,0.45,0.44,0.45,0.45,0.45,0.44,0.44,0.44,0.45,0.45,0.44,0.44,0.44,0.44,0.46,0.44,0.44,0.45,0.45,11.16,0.45,false
402,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.78515625,0.51,0.50,0.49,0.51,0.53,0.50,0.50,0.52,0.52,0.51,0.51,0.49,0.50,0.49,0.51,0.51,0.50,0.50,0.50,0.50,0.53,0.49,0.51,0.50,0.49,12.62,0.50,false
403,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.787109375,0.53,0.52,0.52,0.52,0.55,0.53,0.52,0.54,0.53,0.55,0.52,0.52,0.53,0.53,0.53,0.53,0.53,0.52,0.52,0.51,0.54,0.51,0.53,0.52,0.52,13.17,0.53,false
404,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.7890625,0.57,0.58,0.57,0.56,0.58,0.56,0.58,0.57,0.57,0.58,0.59,0.59,0.58,0.57,0.58,0.57,0.58,0.59,0.56,0.58,0.58,0.58,0.57,0.58,0.58,14.40,0.58,false
405,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.791015625,0.49,0.50,0.49,0.51,0.50,0.51,0.49,0.51,0.50,0.49,0.51,0.52,0.50,0.50,0.52,0.50,0.49,0.50,0.49,0.51,0.51,0.50,0.49,0.50,0.50,12.53,0.50,false
406,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.79296875,0.45,0.46,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.47,0.46,0.45,0.45,0.47,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.46,0.47,0.47,11.57,0.46,false
407,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.794921875,0.51,0.52,0.51,0.50,0.50,0.49,0.50,0.52,0.51,0.51,0.52,0.50,0.49,0.49,0.51,0.52,0.51,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.52,12.64,0.51,false
408,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.796875,0.47,0.48,0.49,0.48,0.48,0.49,0.47,0.48,0.49,0.48,0.48,0.47,0.47,0.48,0.48,0.47,0.49,0.48,0.47,0.48,0.49,0.48,0.46,0.49,0.48,11.98,0.48,false
409,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.798828125,0.52,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.51,0.53,0.53,0.51,0.51,0.53,0.54,0.52,0.53,0.52,0.54,0.54,0.52,0.53,0.52,0.52,13.12,0.52,false
410,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.80078125,0.47,0.49,0.49,0.48,0.47,0.46,0.48,0.48,0.47,0.47,0.47,0.48,0.47,0.47,0.48,0.46,0.47,0.46,0.46,0.47,0.49,0.48,0.46,0.47,0.48,11.83,0.47,false
411,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.802734375,0.48,0.49,0.48,0.48,0.49,0.50,0.49,0.50,0.50,0.49,0.50,0.49,0.49,0.49,0.49,0.50,0.50,0.48,0.49,0.47,0.51,0.49,0.48,0.49,0.48,12.25,0.49,false
412,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.8046875,0.50,0.49,0.49,0.52,0.51,0.49,0.50,0.50,0.52,0.47,0.50,0.50,0.49,0.50,0.50,0.49,0.49,0.49,0.49,0.51,0.51,0.50,0.50,0.51,0.48,12.45,0.50,false
413,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.806640625,0.54,0.53,0.53,0.54,0.54,0.52,0.53,0.53,0.53,0.54,0.54,0.54,0.51,0.54,0.54,0.53,0.53,0.54,0.52,0.54,0.53,0.54,0.55,0.55,0.54,13.37,0.53,false
414,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.80859375,0.48,0.49,0.49,0.49,0.50,0.50,0.51,0.49,0.50,0.50,0.49,0.49,0.49,0.49,0.50,0.50,0.49,0.48,0.49,0.48,0.51,0.48,0.50,0.50,0.49,12.33,0.49,false
415,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.810546875,0.45,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.47,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.45,0.46,0.47,0.46,0.45,0.47,0.46,11.49,0.46,false
416,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.8125,0.52,0.51,0.50,0.53,0.53,0.52,0.52,0.52,0.52,0.53,0.52,0.52,0.50,0.51,0.52,0.51,0.50,0.51,0.49,0.53,0.51,0.51,0.52,0.53,0.50,12.88,0.52,false
417,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.814453125,0.44,0.46,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.47,0.45,0.45,0.45,0.46,0.45,0.46,0.45,0.45,0.47,0.47,0.45,0.46,0.47,0.46,11.45,0.46,false
