id,value_y_name,value_y,value_x_name,value_x,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
114,end_device_ids.device_id,0.5,0,0.22845691382765532,0.47,0.46,0.48,0.46,0.48,0.49,0.48,0.48,0.47,0.47,0.47,0.49,0.46,0.47,0.48,0.48,0.47,0.46,0.47,0.48,0.48,0.47,0.48,0.47,0.45,11.82,0.47,false
115,end_device_ids.device_id,0.5714285714285714,0,0.23046092184368738,0.39,0.38,0.38,0.39,0.38,0.40,0.38,0.39,0.39,0.38,0.38,0.38,0.39,0.37,0.38,0.38,0.38,0.39,0.39,0.39,0.38,0.39,0.38,0.37,0.38,9.59,0.38,false
116,end_device_ids.device_id,0.6428571428571429,0,0.23246492985971945,0.41,0.41,0.41,0.41,0.40,0.40,0.41,0.40,0.41,0.41,0.41,0.42,0.40,0.40,0.40,0.41,0.42,0.40,0.41,0.41,0.42,0.40,0.43,0.40,0.40,10.20,0.41,false
117,end_device_ids.device_id,0.7142857142857143,0,0.23446893787575152,0.39,0.39,0.39,0.40,0.40,0.39,0.39,0.39,0.39,0.39,0.39,0.40,0.39,0.39,0.38,0.38,0.39,0.39,0.39,0.40,0.38,0.39,0.39,0.37,0.39,9.74,0.39,false
118,end_device_ids.device_id,0.7857142857142857,0,0.23647294589178355,0.38,0.39,0.39,0.39,0.38,0.39,0.38,0.38,0.39,0.38,0.37,0.38,0.39,0.38,0.39,0.39,0.37,0.38,0.39,0.38,0.39,0.38,0.39,0.37,0.37,9.57,0.38,false
119,end_device_ids.device_id,0.14285714285714285,0,0.23847695390781562,0.46,0.46,0.46,0.47,0.46,0.46,0.46,0.46,0.47,0.47,0.46,0.46,0.46,0.48,0.47,0.46,0.46,0.46,0.47,0.47,0.48,0.47,0.45,0.45,0.46,11.59,0.46,false
120,end_device_ids.device_id,0.21428571428571427,0,0.24048096192384769,0.45,0.48,0.48,0.46,0.47,0.45,0.47,0.48,0.46,0.46,0.45,0.46,0.48,0.47,0.47,0.47,0.45,0.45,0.47,0.47,0.47,0.46,0.46,0.46,0.47,11.62,0.46,false
121,end_device_ids.device_id,0.8571428571428571,0,0.24248496993987975,0.42,0.44,0.44,0.43,0.43,0.43,0.44,0.42,0.42,0.43,0.43,0.43,0.44,0.43,0.44,0.42,0.43,0.43,0.43,0.44,0.43,0.42,0.43,0.41,0.42,10.73,0.43,false
122,end_device_ids.device_id,0.9285714285714286,0,0.24448897795591182,0.38,0.38,0.38,0.39,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.39,0.39,0.39,0.39,0.37,0.38,9.59,0.38,false
123,end_device_ids.device_id,1,0,0.24649298597194388,0.49,0.49,0.49,0.48,0.51,0.49,0.50,0.49,0.47,0.50,0.49,0.50,0.48,0.49,0.49,0.49,0.50,0.48,0.52,0.50,0.47,0.48,0.48,0.46,0.46,12.20,0.49,false
124,end_device_ids.device_id,0.42857142857142855,0,0.24849699398797595,0.48,0.48,0.46,0.48,0.46,0.47,0.46,0.47,0.48,0.45,0.46,0.47,0.47,0.47,0.46,0.43,0.46,0.47,0.47,0.46,0.48,0.46,0.46,0.44,0.46,11.61,0.46,false
125,end_device_ids.device_id,0,0,0.250501002004008,0.48,0.49,0.49,0.49,0.49,0.48,0.48,0.49,0.49,0.50,0.48,0.51,0.50,0.49,0.48,0.48,0.46,0.47,0.49,0.49,0.49,0.50,0.48,0.49,0.49,12.18,0.49,false
126,end_device_ids.device_id,0.07142857142857142,0,0.25250501002004005,0.46,0.44,0.45,0.47,0.45,0.45,0.44,0.46,0.47,0.46,0.46,0.47,0.44,0.46,0.47,0.47,0.44,0.46,0.45,0.45,0.45,0.45,0.46,0.45,0.45,11.38,0.46,false
127,end_device_ids.device_id,0.14285714285714285,0,0.2545090180360721,0.47,0.47,0.47,0.47,0.49,0.46,0.47,0.48,0.48,0.48,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.46,0.48,0.47,0.48,0.46,0.47,0.47,0.47,11.84,0.47,false
128,end_device_ids.device_id,0.21428571428571427,0,0.2565130260521042,0.44,0.42,0.42,0.43,0.44,0.43,0.41,0.42,0.42,0.43,0.42,0.43,0.43,0.42,0.44,0.42,0.42,0.42,0.42,0.44,0.43,0.41,0.42,0.41,0.42,10.61,0.42,false
129,end_device_ids.device_id,0.2857142857142857,0,0.25851703406813625,0.40,0.39,0.39,0.40,0.39,0.39,0.40,0.40,0.39,0.40,0.39,0.41,0.41,0.39,0.40,0.40,0.39,0.40,0.40,0.42,0.40,0.40,0.40,0.40,0.40,9.96,0.40,false
130,end_device_ids.device_id,0.35714285714285715,0,0.2605210420841683,0.38,0.39,0.39,0.38,0.39,0.38,0.39,0.37,0.38,0.38,0.38,0.38,0.38,0.37,0.38,0.37,0.38,0.39,0.38,0.39,0.39,0.38,0.38,0.38,0.37,9.53,0.38,false
131,end_device_ids.device_id,0.42857142857142855,0,0.2625250501002004,0.47,0.48,0.48,0.48,0.48,0.49,0.47,0.48,0.49,0.46,0.48,0.48,0.48,0.47,0.48,0.46,0.48,0.46,0.47,0.48,0.48,0.46,0.47,0.46,0.45,11.84,0.47,false
132,end_device_ids.device_id,0.5,0,0.26452905811623245,0.47,0.47,0.48,0.48,0.49,0.48,0.49,0.50,0.49,0.48,0.49,0.50,0.47,0.47,0.48,0.49,0.47,0.46,0.47,0.48,0.46,0.48,0.49,0.48,0.47,11.99,0.48,false
133,end_device_ids.device_id,0.5714285714285714,0,0.2665330661322645,0.37,0.38,0.38,0.38,0.39,0.37,0.38,0.38,0.37,0.37,0.37,0.38,0.38,0.37,0.38,0.37,0.38,0.38,0.37,0.38,0.37,0.38,0.38,0.38,0.39,9.43,0.38,false
