month_day_hour_min;n_px;n_p;truth
520;2.94;0.1;0
521;2.87;0.1;0
522;2.79;0.1;0
523;2.71;0.1;0
524;2.64;0.1;0
525;2.57;0.1;0
526;2.5;0.1;0
527;2.45;0.1;0
528;2.39;0.1;0
529;2.34;0.1;0
530;2.29;0.1;0
531;2.25;0.1;0
532;2.22;0.1;0
533;2.19;0.1;0
534;2.16;0.1;0
535;2.14;0.1;0
536;2.11;0.1;0
537;2.09;0.1;0
538;2.06;0.1;0
539;2.04;0.1;0
540;2.02;0.1;0
541;2;0.1;0
542;1.98;0.1;0
543;1.97;0.1;0
544;1.95;0.1;0
545;1.94;0.1;0
546;1.92;0.1;0
547;1.9;0.1;0
548;1.89;0.1;0
549;1.87;0.1;0
550;1.87;0.1;0
551;1.88;0.1;0
552;1.88;0.1;0
553;1.89;0.1;0
554;1.89;0.1;0
555;1.9;0.1;0
556;1.9;0.1;0
557;1.91;0.1;0
558;1.91;0.1;0
559;1.91;0.1;0
560;1.92;0.1;0
561;1.92;0.1;0
562;1.92;0.1;0
563;1.93;0.1;0
564;1.94;0.1;0
565;1.96;0.1;0
566;1.99;0.1;0
567;2.02;0.1;0
568;2.05;0.1;0
569;2.08;0.1;0
570;2.12;0.1;0
571;2.16;0.1;0
572;2.2;0.1;0
573;2.25;0.1;0
574;2.3;0.1;0
575;2.34;0.1;0
576;2.4;0.1;0
577;2.44;0.1;0
578;2.49;0.1;0
579;2.54;0.1;0
580;2.59;0.1;0
581;2.65;0.1;0
582;2.69;0.1;0
583;2.74;0.1;0
584;2.79;0.1;0
585;2.83;0.1;0
586;2.88;0.1;0
587;2.92;0.1;0
588;2.98;0.1;0
589;3.02;0.1;0
590;3.07;0.1;0
591;3.11;0.1;0
592;3.16;0.1;0
593;3.2;0.1;0
594;3.25;0.1;0
595;3.28;0.1;0
596;3.29;0.1;0
597;3.31;0.1;0
598;3.33;0.1;0
599;3.33;0.1;0
600;3.34;0.1;0
601;3.34;0.1;0
602;3.33;0.1;0
603;3.31;0.1;0
604;3.29;0.1;0
605;3.27;0.1;0
606;3.23;0.1;0
607;3.18;0.1;0
608;3.12;0.1;0
609;3.07;0.1;0
610;3.02;0.1;0
611;2.95;0.1;0
612;2.89;0.1;0
613;2.83;0.1;0
614;2.77;0.1;0
615;2.71;0.1;0
616;2.64;0.1;0
617;2.58;0.1;0
618;2.52;0.1;0
619;2.46;0.1;0
620;2.4;0.1;0
621;2.35;0.1;0
622;2.29;0.1;0
623;2.24;0.1;0
624;2.18;0.1;0
625;2.13;0.1;0
626;2.09;0.1;0
627;2.05;0.1;0
628;2.02;0.1;0
629;1.98;0.1;0
630;1.94;0.1;0
631;1.91;0.1;0
632;1.87;0.1;0
633;1.83;0.1;0
634;1.8;0.1;0
635;1.76;0.1;0
636;1.74;0.1;0
637;1.71;0.1;0
638;1.69;0.1;0
639;1.66;0.1;0
640;1.65;0.1;0
641;1.66;0.1;0
642;1.66;0.1;0
643;1.67;0.1;0
644;1.68;0.1;0
645;1.68;0.1;0
646;1.69;0.1;0
647;1.7;0.1;0
648;1.71;0.1;0
649;1.71;0.1;0
650;1.72;0.1;0
651;1.72;0.1;0
652;1.73;0.1;0
653;1.74;0.1;0
654;1.74;0.1;0
655;1.75;0.1;0
656;1.76;0.1;0
657;1.77;0.1;0
658;1.77;0.1;0
659;1.78;0.1;0
660;1.79;0.1;0
661;1.8;0.1;0
662;1.82;0.1;0
663;1.83;0.1;0
664;1.85;0.1;0
665;1.87;0.1;0
666;1.91;0.1;0
667;1.94;0.1;0
668;1.98;0.1;0
669;2.02;0.1;0
670;2.06;0.1;0
671;2.11;0.1;0
672;2.16;0.1;0
673;2.2;0.1;0
674;2.26;0.1;0
675;2.31;0.1;0
676;2.37;0.1;0
677;2.42;0.1;0
678;2.49;0.1;0
679;2.55;0.1;0
680;2.61;0.1;0
681;2.67;0.1;0
682;2.73;0.1;0
683;2.79;0.1;0
684;2.85;0.1;0
685;2.91;0.1;0
