id,valueY,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
33,0.8666666666666667,0.009187082405345211,0.51,0.50,0.53,0.49,0.51,0.49,0.50,0.50,0.51,0.49,0.50,0.50,0.49,0.50,0.52,0.50,0.49,0.50,0.49,0.52,0.52,0.50,0.50,0.50,0.50,12.56,0.50,false
34,0.9333333333333333,0.009465478841870824,0.47,0.48,0.50,0.48,0.48,0.48,0.48,0.48,0.48,0.49,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.50,0.49,0.48,0.49,0.48,0.46,0.49,12.02,0.48,false
35,0.4,0.009743875278396437,0.48,0.47,0.47,0.49,0.48,0.46,0.47,0.47,0.47,0.48,0.47,0.47,0.48,0.46,0.49,0.47,0.47,0.45,0.47,0.47,0.48,0.48,0.48,0.47,0.48,11.83,0.47,false
36,0,0.01002227171492205,0.49,0.46,0.48,0.48,0.46,0.46,0.48,0.46,0.45,0.48,0.45,0.47,0.47,0.47,0.48,0.47,0.47,0.48,0.47,0.47,0.49,0.48,0.46,0.47,0.45,11.75,0.47,false
37,0.06666666666666667,0.01030066815144766,0.50,0.48,0.48,0.47,0.46,0.48,0.48,0.48,0.46,0.47,0.47,0.48,0.47,0.47,0.49,0.48,0.47,0.46,0.48,0.47,0.47,0.48,0.48,0.49,0.46,11.88,0.48,false
38,0.13333333333333333,0.010579064587973273,0.49,0.48,0.48,0.47,0.47,0.46,0.48,0.47,0.46,0.48,0.47,0.47,0.47,0.47,0.48,0.46,0.47,0.46,0.48,0.47,0.48,0.47,0.48,0.47,0.47,11.81,0.47,false
39,0.2,0.010857461024498886,0.47,0.46,0.45,0.46,0.47,0.45,0.46,0.46,0.46,0.47,0.46,0.46,0.46,0.45,0.47,0.45,0.44,0.44,0.46,0.46,0.46,0.46,0.46,0.46,0.46,11.46,0.46,false
40,0.26666666666666666,0.011135857461024499,0.46,0.45,0.46,0.45,0.45,0.45,0.46,0.46,0.43,0.45,0.45,0.45,0.46,0.44,0.46,0.45,0.45,0.45,0.45,0.45,0.46,0.47,0.44,0.44,0.43,11.27,0.45,false
41,0.3333333333333333,0.011414253897550112,0.44,0.43,0.44,0.44,0.45,0.43,0.45,0.44,0.42,0.45,0.43,0.44,0.44,0.44,0.44,0.43,0.45,0.44,0.46,0.45,0.46,0.44,0.44,0.43,0.43,11.01,0.44,false
42,0.4,0.011692650334075724,0.47,0.46,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.47,0.47,0.46,0.45,0.45,0.48,0.46,0.47,0.45,0.46,0.46,0.47,0.46,0.47,0.45,0.47,11.58,0.46,false
