month_day_hour_min,i_f,p_f
428,246.87,30.48
429,246.4,30.46
430,246.53,30.47
431,246.33,30.48
432,234.27,31.37
433,236,31.28
434,248.73,31.22
435,252,30.97
436,253.53,30.84
437,250.13,31.08
438,252.27,30.93
439,249.27,31.14
440,250.33,31.05
441,251.87,30.96
442,251.27,30.98
443,251.2,31
444,247.53,31.27
445,246.87,31.25
446,251.8,30.92
447,249.8,31.1
448,251.93,30.93
449,248.87,31.12
450,251.8,30.92
451,249.6,31.08
452,248.33,31.17
453,246.07,31.39
454,247.8,31.22
455,249.27,31.12
456,249.4,31.12
457,245.67,31.41
458,249.53,31.1
459,243.8,31.53
460,246.67,31.33
461,243.67,31.27
462,241.73,31.33
463,244.87,31.46
464,244.8,31.44
465,242.6,31.67
466,247,31.34
467,246,31.41
468,246.4,31.39
469,243.87,31.62
470,241.6,31.77
471,238.8,32.02
472,238.33,32.01
473,240.2,31.86
474,237.93,32.09
475,236.53,32.18
476,234.73,32.34
477,231.53,32.57
478,230.4,32.63
479,231.53,32.58
480,226.2,32.97
481,225.13,33.01
482,247.73,33.23
483,244.8,33.46
484,243,33.57
485,245.13,33.44
486,239.73,33.85
487,239.07,33.88
488,239.53,33.91
489,241.6,33.7
490,239.93,33.83
491,237.67,34.02
492,235.93,34.15
493,234.13,34.25
494,238.4,33.95
495,233.73,34.36
496,244.47,34.3
497,242.47,34.58
498,248.87,34.06
499,254.13,33.65
500,254.6,33.61
501,253.2,33.71
502,259,33.25
503,255.27,33.5
504,253.33,33.67
505,255.93,33.48
506,262.13,32.98
507,255.33,33.5
508,262.47,32.93
509,255.87,33.4
510,261.07,32.98
511,254.4,32.69
512,254.07,32.67
513,258.47,32.33
514,266.53,31.65
515,266.6,31.14
516,260.87,31.2
517,266.6,30.59
518,260.67,30.2
519,246.93,29.61
520,247.87,29.37
521,246.4,29.48
522,246.67,29.47
523,247,29.48
524,246.4,29.52
525,240.67,29.9
526,233.2,30.46
527,232.13,30.54
528,234.4,30.42
529,234.6,30.97
530,245.4,31.16
531,255.53,31.3
532,266.47,31.09
533,260.73,31.5
534,262,31.41
535,261.13,31.47
536,262.73,31.35
537,262.33,31.38
538,262.8,31.35
539,261.27,31.46
540,262.73,31.33
541,260.93,31.47
542,259.6,31.52
543,264.6,31.16
544,256.47,31.56
545,237.27,31.42
546,237.73,31.45
547,240.8,31.19
548,238.67,31.42
549,238.13,31.5
550,239.13,31.39
551,239.2,31.43
552,240.73,31.37
553,239.33,31.48
554,236.07,31.67
555,237.73,31.61
556,237.4,31.68
557,237.8,31.64
558,240.4,31.48
559,238,31.66
560,241.93,31.44
561,240.4,31.51
562,243.93,31.26
563,258.8,31.78
564,258,31.94
565,253.67,32.3
566,249.47,32.59
567,253.67,32.24
568,250.6,32.51
569,245.27,32.94
570,246.67,32.8
571,268.47,32.91
572,266.53,33.01
573,265.2,33.12
574,261.33,33.4
575,262.07,33.35
576,259.47,33.53
577,259.67,33.51
578,256.53,33.74
579,259.33,33.52
580,257.93,33.63
581,259.13,33.5
582,257.73,33.6
583,254.27,33.87
584,257.53,33.56
585,257.8,33.56
586,255.53,33.73
587,254.07,33.82
588,252.6,33.95
589,252.4,33.88
590,252.6,33.92
591,252.53,33.97
592,251.87,33.98
593,247.93,34.33
594,258.67,33.42
595,257.87,33.52
596,266.27,32.82
597,264.2,33.03
598,249.27,33.07
599,231.53,33.16
600,233.2,32.99
601,239.87,32.92
602,242,32.73
603,240.87,32.84
604,242.8,32.67
605,247,31.97
606,240.2,31.3
607,239.47,31.31
608,241.2,31.21
609,244.27,31.01
610,247.13,30.8
611,246.8,30.85
612,249.87,30.59
613,251.33,30.47
614,254.27,30.23
615,254,30.28
616,257,30.01
617,254,30.27
618,251.27,30.45
619,251,30.44
