month_day_hour_min,i_f,p_f,truth
631,258.33,30.77,0
632,256.93,30.87,0
633,259.07,30.72,0
634,257.6,30.82,0
635,255.4,30.97,0
636,254.07,31.1,0
637,256.8,30.87,0
638,257.33,30.86,0
639,251.07,31.29,0
640,250.67,31.35,0
641,255.8,30.97,0
642,250.4,31.4,0
643,250.73,31.36,0
644,250.93,31.37,0
645,249.47,31.48,0
646,251,31.39,0
647,249,31.52,0
648,251,31.39,0
649,249.2,31.49,0
650,247.47,31.65,0
651,249.4,31.48,0
652,250.33,31.41,0
653,242.4,31.67,0
654,244.47,31.44,0
655,249.4,31.45,0
656,250.8,31.37,0
657,250.2,31.38,0
658,248.53,31.53,0
659,251.47,31.33,0
660,249.2,31.49,0
661,245.53,31.8,0
662,248.07,31.58,0
663,247.2,31.66,0
664,243.47,31.95,0
665,239.87,32.24,0
666,238.53,32.34,0
667,239,32.32,0
668,235.27,32.59,0
669,235.8,32.6,0
670,233.47,32.78,0
671,230.4,33,0
672,228.47,33.16,0
673,223.6,33.53,0
674,229.87,33.15,0
675,222.8,33.61,0
676,241,33.92,0
677,263.87,34.19,0
678,263.2,34.23,0
679,262.8,34.31,0
680,263.8,34.23,0
681,264.53,34.17,0
682,260.13,34.51,0
683,260,34.5,0
684,260.4,34.48,0
685,259.8,34.5,0
686,261.2,34.39,0
687,258.87,34.56,0
688,259,34.58,0
689,258.07,34.6,0
690,273.67,33.37,0
691,270.4,33.57,0
692,269.2,33.69,0
693,270.2,33.6,0
694,266.33,33.55,0
695,247.8,33.65,0
696,250.93,33.39,0
697,254.27,33.12,0
698,255.13,33.08,0
699,253.93,33.15,0
700,253.33,33.21,0
701,254.6,33.08,0
702,254,32.32,0
703,244.93,32.04,0
704,254,31.35,0
705,258.47,31.04,0
706,257,30.31,0
707,255.8,30.33,0
708,253.27,30.53,0
709,256.27,30.29,0
710,255.13,30.36,0
711,261.07,29.91,0
712,263.87,29.69,0
713,259.27,30.05,0
714,256.93,30.19,0
715,257.27,30.18,0
716,253.27,30.5,0
717,254.33,30.22,0
718,249.8,30.3,0
719,253.2,30.03,0
720,254.07,29.94,0
721,249.67,30.31,0
722,250,30.27,0
723,251.8,30.14,0
724,248.2,30.44,0
725,251.07,30.17,0
726,251.87,30.1,0
727,241.87,30.89,0
728,243.6,30.8,0
729,244.13,30.77,0
730,242.33,30.88,0
731,243.27,31,0
732,251.2,31.13,0
733,249.73,31.27,0
734,249.2,31.32,0
735,249.47,31.27,0
736,247.87,31.39,0
737,243.6,31.71,0
738,248.4,31.38,0
739,251.67,31.4,0
740,249.4,31.63,0
741,251.33,31.48,0
742,252.27,31.42,0
743,251.53,31.52,0
744,251.33,31.53,0
745,254.53,31.29,0
746,249.8,31.62,0
747,251.87,31.45,0
748,252.2,31.45,0
749,250.53,31.55,0
750,250.07,31.59,0
751,252.6,31.43,0
752,248.27,31.73,0
753,247.73,31.79,0
754,253.07,31.39,0
755,247.47,31.83,0
756,243.27,32.13,0
757,245.87,31.97,0
758,244.8,32.1,0
759,244.4,32.07,0
760,245.27,32.03,0
761,242.27,32.24,0
762,242.27,32.24,0
763,240.53,32.4,0
764,238.2,32.61,0
765,235.93,32.73,0
766,234.73,32.88,0
767,231.33,33.14,0
768,243.2,33.31,0
769,257.47,33.82,0
770,255.67,33.94,0
771,258.13,33.79,0
772,254.6,34.03,0
773,253.47,34.15,0
774,255.07,34.03,0
775,254.8,34.02,0
776,249.73,34.41,0
777,248.2,34.54,0
778,250,34.4,0
779,248.67,34.56,0
780,248.47,34.52,0
781,248.53,34.54,0
782,247.73,34.59,0
783,259.33,33.65,0
784,256.67,33.84,0
785,258.27,33.69,0
786,256.13,33.88,0
787,250.33,33.76,0
788,248,33.67,0
789,246.93,33.77,0
790,250.8,33.45,0
791,247.2,33.44,0
792,246.8,33.38,0
793,253.07,33.29,0
794,251.6,33.36,0
795,250.07,33.52,0
796,252.47,33.31,0
797,252.6,33.33,0
798,253.53,33.21,0
799,255.53,33.05,0
800,255.47,32.54,0
801,247.93,31.99,0
802,252.87,31.46,0
803,258.4,31.07,0
804,262.2,30.78,0
805,263.93,30.65,0
806,264.93,30.5,0
807,264.47,30.52,0
808,266.73,30.37,0
809,267.47,30.29,0
810,260.13,30.5,0
811,258.07,30.15,0
812,258.2,30.14,0
813,260,30.05,0
814,262.6,29.68,0
815,241.53,30.48,0
816,245.2,30.28,0
817,248.93,30.06,0
818,248.53,30.08,0
819,259.13,30.71,0
820,259.4,30.91,0
821,256.73,31.21,0
822,259.8,31.39,0
823,268.27,31.16,0
824,272.27,30.85,0
825,269.87,31.03,0
826,266.93,31.28,0
827,266.67,31.28,0
828,266.2,31.32,0
829,262.4,31.62,0
830,266.67,31.76,0
831,273.6,31.59,0
