id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly,anomaly_1,anomaly_2,anomaly_3,anomaly_4,anomaly_5,anomaly_6,anomaly_7,anomaly_8,anomaly_9,anomaly_10,anomaly_11,anomaly_12,anomaly_13,anomaly_14,anomaly_15,anomaly_16,anomaly_17,anomaly_18,anomaly_19,anomaly_20,anomaly_21,anomaly_22,anomaly_23,anomaly_24,anomaly_25,anomaly_average,anomaly_probability
395,2019 Nivel depósito ,0.7199999999999999,﻿Fecha_hora,0.7915831663326653,0.40,0.39,0.40,0.41,0.42,0.40,0.39,0.39,0.41,0.40,0.40,0.40,0.40,0.40,0.39,0.39,0.40,0.39,0.39,0.40,0.42,0.39,0.40,0.40,0.40,9.98,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
396,2019 Nivel depósito ,0.777142857142857,﻿Fecha_hora,0.7935871743486974,0.40,0.39,0.39,0.40,0.41,0.41,0.40,0.39,0.41,0.40,0.40,0.39,0.40,0.39,0.39,0.39,0.40,0.40,0.40,0.40,0.41,0.40,0.40,0.39,0.40,9.96,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
397,2019 Nivel depósito ,0.8342857142857142,﻿Fecha_hora,0.7955911823647295,0.41,0.41,0.40,0.41,0.41,0.42,0.42,0.40,0.42,0.40,0.42,0.41,0.41,0.41,0.39,0.41,0.40,0.41,0.42,0.42,0.42,0.41,0.40,0.41,0.40,10.24,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
398,2019 Nivel depósito ,0.8914285714285713,﻿Fecha_hora,0.7975951903807615,0.41,0.40,0.39,0.41,0.42,0.40,0.40,0.40,0.42,0.39,0.41,0.40,0.40,0.40,0.39,0.40,0.40,0.40,0.41,0.41,0.41,0.40,0.41,0.41,0.40,10.09,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
399,2019 Nivel depósito ,0.9485714285714284,﻿Fecha_hora,0.7995991983967936,0.39,0.38,0.39,0.39,0.40,0.40,0.40,0.39,0.39,0.39,0.38,0.39,0.40,0.38,0.39,0.39,0.39,0.40,0.39,0.39,0.40,0.40,0.39,0.41,0.39,9.81,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
400,2019 Nivel depósito ,0.9714285714285714,﻿Fecha_hora,0.8016032064128257,0.38,0.37,0.38,0.39,0.39,0.38,0.38,0.37,0.39,0.38,0.37,0.37,0.39,0.37,0.38,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.39,0.39,0.39,9.53,0.38,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
401,2019 Nivel depósito ,0.9657142857142856,﻿Fecha_hora,0.8036072144288577,0.41,0.40,0.40,0.41,0.41,0.41,0.42,0.40,0.41,0.38,0.40,0.40,0.41,0.40,0.39,0.42,0.40,0.42,0.41,0.41,0.40,0.40,0.40,0.42,0.42,10.15,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
402,2019 Nivel depósito ,0.9657142857142856,﻿Fecha_hora,0.8056112224448898,0.42,0.41,0.40,0.41,0.41,0.42,0.41,0.41,0.41,0.40,0.42,0.41,0.42,0.41,0.41,0.41,0.42,0.43,0.43,0.42,0.41,0.41,0.41,0.42,0.43,10.36,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
403,2019 Nivel depósito ,0.9657142857142856,﻿Fecha_hora,0.8076152304609219,0.41,0.40,0.40,0.40,0.40,0.41,0.41,0.39,0.41,0.39,0.40,0.40,0.41,0.39,0.40,0.40,0.40,0.43,0.41,0.41,0.40,0.40,0.41,0.41,0.42,10.11,0.40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
404,2019 Nivel depósito ,0.9657142857142856,﻿Fecha_hora,0.8096192384769539,0.40,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.40,0.37,0.39,0.39,0.40,0.39,0.40,0.38,0.40,0.39,0.39,0.39,0.40,0.38,0.39,0.40,0.40,9.78,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
405,2019 Nivel depósito ,0.9657142857142856,﻿Fecha_hora,0.811623246492986,0.41,0.39,0.38,0.38,0.39,0.39,0.40,0.38,0.40,0.38,0.39,0.39,0.38,0.39,0.39,0.39,0.38,0.39,0.39,0.39,0.38,0.38,0.39,0.40,0.40,9.73,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
406,2019 Nivel depósito ,0.9600000000000001,﻿Fecha_hora,0.8136272545090181,0.40,0.37,0.38,0.38,0.39,0.39,0.39,0.37,0.39,0.37,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.39,0.39,9.57,0.38,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
407,2019 Nivel depósito ,0.9600000000000001,﻿Fecha_hora,0.8156312625250501,0.39,0.37,0.39,0.38,0.40,0.39,0.41,0.38,0.39,0.38,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.39,0.38,0.39,0.39,0.39,0.40,0.40,0.40,9.74,0.39,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
408,2019 Nivel depósito ,0.9542857142857143,﻿Fecha_hora,0.8176352705410822,0.40,0.37,0.38,0.38,0.39,0.39,0.39,0.38,0.39,0.37,0.39,0.38,0.38,0.39,0.39,0.38,0.38,0.38,0.38,0.39,0.39,0.38,0.39,0.39,0.39,9.62,0.38,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
409,2019 Nivel depósito ,0.9485714285714284,﻿Fecha_hora,0.8196392785571143,0.39,0.37,0.38,0.37,0.39,0.38,0.39,0.38,0.39,0.37,0.37,0.38,0.38,0.38,0.38,0.37,0.38,0.38,0.38,0.40,0.39,0.38,0.38,0.38,0.38,9.52,0.38,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
