month,day,hour,min,p_uiip,p_f,p_pu
1,25,7,30,18.65,31.24,49.06
1,25,7,45,16.78,31.23,48.85
1,25,8,30,17.57,30.76,48.44
1,25,11,15,19.69,31.86,51.27
1,25,11,30,19.68,32.14,51.35
1,25,11,45,19.71,31.99,51.39
1,25,12,0,19.84,32.22,51.61
1,25,12,15,19.73,32.25,51.6
1,25,14,0,20.9,31.73,50.51
1,25,14,30,20.83,32.05,50.48
1,25,16,30,20.76,31.8,50.5
1,25,18,15,17.85,30.68,48.54
1,25,19,0,17.99,30.38,48.15
1,25,19,15,17.67,30.73,49.29
1,25,20,15,20.99,31.52,51.54
1,25,21,0,21.65,32.03,51.9
1,25,23,0,22.68,32.76,52.39
1,25,23,30,23.8,32.74,52.12
1,26,0,30,23.69,32.77,51.58
1,26,0,45,23.6,32.71,51.62
1,26,4,30,26.34,33.46,53.44
1,26,5,15,27.32,33.84,53.21
1,26,5,45,20.78,33.25,52.85
1,26,6,30,18.88,32.16,51.03
1,26,6,45,18.52,31.29,49
1,26,7,0,18.29,31.05,48.59
1,26,7,15,18.4,30.54,47.99
2,3,15,0,20.66,32.3,52.27
2,3,15,45,20.84,32.24,52.24
2,3,16,15,20.89,32.52,52.54
2,3,16,30,20.92,32.05,50.78
2,3,16,45,19.98,31.18,48.74
2,3,19,0,20.38,29.9,47.42
2,3,19,15,19.48,29.71,47.16
2,3,19,45,18.58,29.84,47.31
2,3,21,0,20.12,31.63,51.69
2,3,22,45,20.76,32.54,52.7
2,3,23,15,23.74,33.1,52.97
2,3,23,30,23.46,33.27,53.2
2,4,0,0,23.54,33.32,53.11
2,4,1,30,22.08,33.48,53.33
2,4,3,15,17.65,33.52,53.44
2,4,7,15,18.59,30.37,47.56
2,4,7,30,18.33,29.97,47.25
2,4,9,45,21.5,32.14,51.59
2,4,13,0,21.71,32.35,52.47
2,4,14,15,21.72,32.36,52.28
2,4,14,45,21.61,32.2,52.15
2,4,15,15,20.94,32.27,52.28
2,4,15,45,20.66,32.39,52.48
2,4,19,0,20.49,30.14,47.06
2,4,19,30,20.46,29.9,46.99
2,4,23,15,23.2,32.71,52.69
2,4,23,30,23.33,32.88,52.78
2,4,23,45,23.19,32.98,53.02
2,5,1,15,20.25,33.7,53.68
2,5,2,30,16.5,34,53.83
2,5,5,0,21.36,34.62,54.4
2,5,5,15,22.65,34.54,54.31
2,5,6,0,20.13,34.14,53.22
2,5,6,45,20.59,33.13,51.2
2,5,8,15,21.25,31.52,49.67
2,5,10,30,19.71,31.35,49.51
2,5,13,15,21.29,32.22,51.81
2,5,16,0,21.37,32.59,52.16
2,5,17,0,19.44,31.52,49.4
2,5,18,45,18.97,31.25,48.97
2,5,19,30,19.43,31.18,48.76
2,5,20,30,19.61,31.1,48.73
2,5,23,0,20.69,32.81,52.8
2,5,23,15,22.62,32.77,52.8
2,6,1,0,19.05,33.63,53.45
2,6,2,0,17.53,34.05,53.96
2,6,4,0,16.61,34.88,54.58
2,6,4,30,18.29,34.97,54.58
2,6,5,0,22.7,34.6,53.74
2,6,6,30,20.59,33.97,52.52
2,6,7,15,20.63,33.33,51.89
2,6,7,45,20.61,33.35,51.64
2,6,9,0,19.82,32.25,50.48
2,6,12,0,21.25,31.8,50.01
2,6,15,0,21.82,32.14,50.22
2,6,15,15,21.79,32.18,50.35
2,6,17,30,18.89,31.02,48.63
2,6,18,45,19.41,30.41,47.82
2,6,19,0,18.84,30.01,47.61
2,6,22,30,20.71,32.61,52.56
2,6,23,15,19.56,32.72,52.78
2,7,1,30,24.19,33.09,52.12
2,7,1,45,23.85,32.92,51.24
2,7,2,45,20.97,33.12,52.19
2,7,3,0,18.44,33.34,53.23
2,7,5,45,20.54,33.16,52.66
2,7,7,15,19.15,32.83,51.9
2,7,8,0,18.89,30.72,48.16
2,7,8,45,19.24,30.12,47.56
2,7,9,30,19.06,30.2,47.86
2,7,9,45,18.87,30.05,47.4
2,7,10,30,19.97,30.7,48.61
2,7,10,45,21.54,31.56,50.37
2,7,11,0,21.8,31.67,50.29
2,7,12,0,21.9,31.97,50.95
2,7,16,0,21.78,31.95,51.52
2,7,16,15,21.67,32.07,51.68
2,7,17,0,20.62,30.56,46.99
2,7,19,45,20.03,31.52,51.47
2,7,20,0,20.46,31.69,51.63
2,7,21,15,20.63,32.12,52.03
2,7,22,15,21.39,32.5,52.37
2,8,5,30,21.5,33.91,53.71
2,8,6,30,20.88,33.08,52.35
2,8,6,45,20.05,31.5,48.88
2,8,7,0,19.43,31.11,48.26
2,8,8,0,19.48,30.68,48.12
2,8,8,15,19.93,30.8,48.16
2,8,8,45,19.52,31.39,48.54
2,8,10,0,18.7,30.75,48.06
2,8,10,15,17.41,30.62,47.87
2,8,11,30,21.03,31.35,50.54
2,8,12,15,21.63,31.78,51.59
2,8,13,45,21.71,31.84,50.9
2,8,14,30,21.86,31.78,50.98
2,8,18,30,20.36,29.95,47.22
2,8,20,0,19.18,31.63,51.52
2,8,20,15,19.39,31.9,51.71
2,9,0,0,21.58,33.67,53.54
2,9,0,15,21.74,33.59,53.39
2,9,1,45,22.34,33.31,52.16
2,9,2,0,23.73,33.17,51.93
2,9,4,30,24.23,33.22,52.19
2,9,6,15,21.39,33.14,52.84
2,9,6,30,21.76,33.29,52.71
2,9,7,0,19.6,31.11,48.28
2,9,9,30,19.63,28.53,46.05
2,9,10,15,18.23,28.96,46.68
2,9,11,0,20.7,32.14,51.69
2,9,12,30,21.61,32.15,51.84
2,9,14,15,19.6,31.98,51.73
2,9,15,0,20.03,32.05,51.79
2,9,17,0,19.94,30.91,48.5
2,9,17,15,20.5,30.8,48.18
2,9,17,45,20.27,30.39,47.73
2,9,18,0,19.99,30.26,47.76
2,9,18,15,20.12,29.99,47.09
2,9,18,30,20.12,30.35,48.01
2,9,21,0,21.68,31.82,51.78
2,9,22,30,21.22,32.54,52.61
2,10,1,30,19.7,33.64,52.93
2,10,3,15,18.1,33.84,53.18
2,10,4,15,17.07,34.06,53.8
2,10,8,0,20.69,30.37,47.44
2,10,9,0,21.12,29.63,46.25
2,10,9,30,21.2,29.48,46.53
2,10,10,0,20.8,29.22,46.25
