month_day_hour_min,i_uiipu,c_pu_p,p_pu,truth
320,87.87,25.74,49.84,0
321,63.33,25.57,49.41,0
322,64.67,25.08,49.35,0
323,30.13,26.05,49.31,0
324,3.2,26.43,48.86,0
325,3.33,25.52,48.68,0
326,3.8,24.88,48.55,0
327,3.4,24.94,48.49,0
328,4.2,26.45,48.35,0
329,3.47,24.96,47.96,0
330,3.67,24.64,48.24,0
331,3.53,25.93,48.43,0
332,3.33,24.51,48.08,0
333,3.53,26.19,48.54,0
334,3.4,25.5,48.38,0
335,26.8,24.74,49.16,0
336,109.53,25.79,49.65,0
337,101.8,25.29,49.41,0
338,97.2,24.64,49.59,0
339,98.07,25.89,49.46,0
340,95.8,25.2,49.38,0
341,97.13,25.46,49.42,0
342,92.93,26.38,49.29,0
343,100.93,25.03,49.33,0
344,103.73,26.45,49.27,0
345,103.07,25.78,49.39,0
346,102,25.3,49.54,0
347,101.67,25.09,49.41,0
348,102,26.49,49.39,0
349,102.8,24.76,49.55,0
350,103.13,25.23,49.36,0
351,102.07,24.92,49.46,0
352,101.6,25.57,49.67,0
353,102.2,25.05,49.38,0
354,104.33,25.67,49.47,0
355,101.27,25.11,49.67,0
356,103.33,27.1,49.32,0
357,137.13,25.12,49.48,0
358,141.93,24.99,49.5,0
359,141.73,26.2,49.91,0
360,143.67,24.77,49.39,0
361,141.67,25.75,49.54,0
362,140.87,24.99,49.82,0
363,152.27,25.16,49.37,0
364,230.4,26.83,50.05,0
365,283.4,25.45,50.44,0
366,282.93,25.81,50.46,0
367,283.33,25.56,50.48,0
368,282.6,26.18,50.48,0
369,285.33,25.64,50.26,0
370,283.8,25.06,50.54,0
371,284.53,24.7,50.45,0
372,282.87,5.8,50.49,0
373,284.27,0.28,50.5,0
374,282.53,0.07,50.69,0
375,285.27,0,50.5,0
376,367.33,0,51.73,0
377,377.33,0,52.05,0
378,377.33,0,52.18,0
379,375.87,0,52.34,0
380,375.67,0,52.46,0
381,375,0,52.46,0
382,372,0,52.72,0
383,372.73,0,52.79,0
384,371.4,0,52.93,0
385,370.93,0,52.72,0
386,366.93,0,52.94,0
387,367.53,0,53.07,0
388,369.53,0,52.82,0
389,368,0,52.87,0
390,366.73,0,53.02,0
391,364.53,0,53.18,0
392,365.4,0,53.1,0
393,367.87,0,52.96,0
394,369.47,0,52.71,0
395,363.07,0,53.4,0
396,350.87,0,52.48,0
397,366.27,0,52.93,0
398,364.6,0,53.26,0
399,363.87,0,53.41,0
400,366,0,53.39,0
401,360,0,53.7,0
402,363.87,0,53.59,0
403,360.27,0,53.99,0
404,362.27,0,53.62,0
405,364.2,0,53.6,0
406,362.8,0,53.43,0
407,363.2,0,53.47,0
408,365.33,0,53.26,0
409,358.07,0,53.22,0
410,347.27,20.26,52.93,0
411,341.13,25.51,52.48,0
412,224.73,25.1,51.36,0
413,186.33,26.14,51.23,0
414,102.47,25.83,49.99,0
415,2.53,25.19,49.48,0
416,2.4,27.23,48.74,0
417,2.4,25.24,48.6,0
418,2.2,25.06,48.59,0
419,2.47,25.3,48.65,0
420,2.2,25.88,48.19,0
421,2.6,25.55,48.31,0
422,2.4,26.43,48.31,0
423,2.73,25,47.9,0
424,2.33,25.72,48.27,0
425,2.67,25.76,48.38,0
426,2.53,25.74,48.43,0
427,3.33,25.25,48.23,0
428,3.47,25.43,48.44,0
429,3.6,24.99,48.34,0
430,3.33,26.01,48.4,0
431,3.53,25.99,48.37,0
432,122.4,24.76,49.44,0
433,132.8,25.07,49.52,0
434,111.2,25.59,49.46,0
435,102.13,26.91,49.09,0
436,121.8,24.63,48.84,0
437,131.47,25.43,49.25,0
438,131.33,25.93,49.13,0
439,137.53,25.16,49.5,0
440,139.67,24.9,49.29,0
441,138.2,24.81,49.21,0
442,139.4,25.64,49.17,0
443,138.4,26.48,49.19,0
444,101.4,25.01,49.45,0
445,101.93,26.07,49.2,0
446,99.73,26.01,49.12,0
447,98.27,25.86,49.41,0
448,100.6,25.38,49.13,0
449,102,25.36,49.12,0
450,137.33,25.28,49.29,0
451,204.27,26.52,49.61,0
452,280.47,25.7,50.28,0
453,298.67,25.97,50.59,0
454,300.6,25.55,50.41,0
455,300.27,24.95,50.47,0
456,299.73,25.8,50.53,0
457,299.53,25.33,50.58,0
458,304.2,25.81,50.4,0
459,314.93,25.64,50.88,0
460,317.33,25.04,50.7,0
461,317.67,25.07,50.59,0
462,314.53,25.72,50.67,0
463,316,25.42,50.8,0
464,316.73,25.03,50.62,0
465,314.8,26.12,50.88,0
466,316.07,25.95,50.71,0
467,315.13,25.89,50.71,0
468,314.13,5.85,50.89,0
469,317.2,0.28,50.99,0
470,325.27,0.07,51.16,0
471,336.47,0,51.66,0
472,358.53,0,51.71,0
473,381.4,0,51.81,0
474,377.93,0,52.27,0
475,376.8,0,52.22,0
476,375.53,0,52.43,0
477,375.47,0,52.59,0
478,373.27,0,52.78,0
479,373.33,0,52.59,0
480,371.87,0,52.99,0
481,372.33,0,52.97,0
482,367.87,0,53.2,0
483,367,0,53.41,0
484,366.6,0,53.45,0
485,368.4,0,53.29,0
486,365.07,0,53.65,0
487,364.4,0,53.77,0
488,363.2,0,53.75,0
489,367.4,0,53.48,0
490,365.73,0,53.63,0
491,362.27,0,53.91,0
492,360.87,0,54.01,0
493,359.53,0,54.1,0
494,361.67,0,54.03,0
495,359.87,0,54.2,0
496,360.33,0,54.03,0
497,357.8,0,54.38,0
498,280.27,0,53.35,0
499,194.2,0,52.27,0
500,194.6,0,52.08,0
501,193.87,0,52.24,0
502,195.47,0,51.88,0
503,196.87,0,51.75,0
504,193.87,0,52.12,0
505,170.87,0,51.64,0
506,136.93,18.71,51.27,0
507,150.93,26.28,51.73,0
508,152.07,24.94,51.25,0
509,152.07,25.43,51.44,0
510,112.13,25.44,51.1,0
511,91,25.71,50.81,0
