id,valueY,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
27,0.3076923076923077,0.05410821643286573,0.38,0.38,0.38,0.37,0.38,0.38,0.37,0.37,0.37,0.39,0.38,0.39,0.37,0.38,0.38,0.38,0.37,0.39,0.37,0.37,0.38,0.37,0.38,0.37,0.38,9.43,0.38,false
28,0.32051282051282054,0.056112224448897796,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.39,0.38,0.39,0.37,0.38,0.37,0.39,0.37,0.38,0.37,0.38,0.38,0.37,0.37,0.37,0.39,9.46,0.38,false
29,0.02564102564102564,0.05811623246492986,0.40,0.40,0.39,0.41,0.40,0.40,0.39,0.39,0.39,0.39,0.39,0.40,0.38,0.40,0.39,0.40,0.39,0.40,0.40,0.38,0.40,0.40,0.40,0.38,0.41,9.88,0.40,false
30,0.3333333333333333,0.06012024048096192,0.39,0.39,0.38,0.38,0.39,0.40,0.38,0.38,0.39,0.39,0.38,0.40,0.38,0.38,0.39,0.39,0.38,0.39,0.38,0.38,0.39,0.39,0.38,0.37,0.38,9.63,0.39,false
31,0.34615384615384615,0.06212424849699399,0.37,0.38,0.38,0.37,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.39,0.37,0.38,0.38,0.38,0.38,0.39,0.39,0.37,0.38,0.38,0.38,0.37,0.39,9.50,0.38,false
32,0,0.06412825651302605,0.40,0.40,0.40,0.41,0.40,0.41,0.39,0.39,0.40,0.40,0.41,0.41,0.39,0.41,0.39,0.39,0.39,0.40,0.41,0.39,0.40,0.42,0.41,0.39,0.41,10.02,0.40,false
33,0.358974358974359,0.06613226452905811,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.39,0.38,0.38,0.40,0.38,0.39,0.38,0.39,0.38,0.39,0.37,0.38,0.38,0.39,0.38,0.37,0.39,9.57,0.38,false
34,0.3717948717948718,0.06813627254509018,0.39,0.37,0.39,0.38,0.39,0.39,0.37,0.38,0.37,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.39,9.52,0.38,false
35,0.38461538461538464,0.07014028056112225,0.39,0.38,0.38,0.38,0.39,0.39,0.38,0.39,0.38,0.38,0.37,0.39,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.41,9.59,0.38,false
36,0.3974358974358974,0.07214428857715431,0.38,0.39,0.38,0.38,0.39,0.40,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.40,0.38,0.38,0.38,0.38,0.38,0.39,0.37,0.38,9.57,0.38,false
