id,num,scores_files,scores_sum,num_files
1521,1,0.59,0.59,position_falcon.csv
1531,1,0.59,0.59,position_falcon.csv
2117,1,0.59,0.59,position_falcon.csv
2126,1,0.59,0.59,position_falcon.csv
2768,1,0.59,0.59,position_falcon.csv
320,1,0.59,0.59,function_presure.csv
492,1,0.59,0.59,function_presure.csv
791,1,0.59,0.59,function_presure.csv
1523,1,0.59,0.59,function_presure.csv
3719,1,0.59,0.59,function_presure.csv
4196,1,0.59,0.59,function_presure.csv
4318,1,0.59,0.59,function_presure.csv
5276,1,0.59,0.59,function_presure.csv
5534,1,0.59,0.59,function_presure.csv
614,1,0.59,0.59,function_flow.csv
765,1,0.59,0.59,function_flow.csv
3513,1,0.59,0.59,function_flow.csv
3943,1,0.59,0.59,function_flow.csv
4045,1,0.59,0.59,function_flow.csv
6503,1,0.59,0.59,function_flow.csv
430,1,0.59,0.59,function_drive.csv
942,1,0.59,0.59,function_drive.csv
1470,1,0.59,0.59,function_drive.csv
1842,1,0.59,0.59,function_drive.csv
1855,1,0.59,0.59,function_drive.csv
2857,1,0.59,0.59,function_drive.csv
5511,1,0.59,0.59,function_drive.csv
5657,1,0.59,0.59,function_drive.csv
5737,1,0.59,0.59,function_drive.csv
3528,1,0.6,0.6,position_pueblo.csv
3638,1,0.6,0.6,position_pueblo.csv
3700,1,0.6,0.6,position_pueblo.csv
3761,1,0.6,0.6,position_pueblo.csv
3780,1,0.6,0.6,position_pueblo.csv
3964,1,0.6,0.6,position_pueblo.csv
3991,1,0.6,0.6,position_pueblo.csv
3994,1,0.6,0.6,position_pueblo.csv
4060,1,0.6,0.6,position_pueblo.csv
4062,1,0.6,0.6,position_pueblo.csv
6612,1,0.6,0.6,position_pueblo.csv
1579,1,0.6,0.6,position_playa.csv
1883,1,0.6,0.6,position_playa.csv
3882,1,0.6,0.6,position_playa.csv
3955,1,0.6,0.6,position_playa.csv
4160,1,0.6,0.6,position_playa.csv
4252,1,0.6,0.6,position_playa.csv
6558,1,0.6,0.6,position_playa.csv
4860,1,0.6,0.6,position_plaxiquet.csv
936,1,0.6,0.6,position_falcon.csv
2580,1,0.6,0.6,position_falcon.csv
2625,1,0.6,0.6,position_falcon.csv
2728,1,0.6,0.6,position_falcon.csv
3971,1,0.6,0.6,position_falcon.csv
6047,1,0.6,0.6,position_falcon.csv
919,1,0.6,0.6,function_presure.csv
2733,1,0.6,0.6,function_presure.csv
5139,1,0.6,0.6,function_presure.csv
6363,1,0.6,0.6,function_presure.csv
6397,1,0.6,0.6,function_presure.csv
24,1,0.6,0.6,function_level.csv
27,1,0.6,0.6,function_level.csv
178,1,0.6,0.6,function_level.csv
225,1,0.6,0.6,function_level.csv
1492,1,0.6,0.6,function_level.csv
1493,1,0.6,0.6,function_level.csv
1501,1,0.6,0.6,function_level.csv
1640,1,0.6,0.6,function_flow.csv
1973,1,0.6,0.6,function_flow.csv
384,1,0.6,0.6,function_drive.csv
408,1,0.6,0.6,function_drive.csv
814,1,0.6,0.6,function_drive.csv
1520,1,0.6,0.6,function_drive.csv
1578,1,0.6,0.6,function_drive.csv
1858,1,0.6,0.6,function_drive.csv
2303,1,0.61,0.61,position_pueblo.csv
3815,1,0.61,0.61,position_pueblo.csv
3837,1,0.61,0.61,position_pueblo.csv
3944,1,0.61,0.61,position_pueblo.csv
4067,1,0.61,0.61,position_pueblo.csv
4499,1,0.61,0.61,position_pueblo.csv
3935,1,0.61,0.61,position_playa.csv
4226,1,0.61,0.61,position_playa.csv
4340,1,0.61,0.61,position_playa.csv
6027,1,0.61,0.61,position_playa.csv
4538,1,0.61,0.61,position_plaxiquet.csv
4857,1,0.61,0.61,position_plaxiquet.csv
4858,1,0.61,0.61,position_plaxiquet.csv
4863,1,0.61,0.61,position_plaxiquet.csv
2726,1,0.61,0.61,position_falcon.csv
2748,1,0.61,0.61,position_falcon.csv
5277,1,0.61,0.61,function_presure.csv
5670,1,0.61,0.61,function_presure.csv
186,1,0.61,0.61,function_level.csv
189,1,0.61,0.61,function_level.csv
1201,1,0.61,0.61,function_level.csv
3350,1,0.61,0.61,function_level.csv
4068,1,0.61,0.61,function_flow.csv
256,1,0.61,0.61,function_drive.csv
389,1,0.61,0.61,function_drive.csv
409,1,0.61,0.61,function_drive.csv
413,1,0.61,0.61,function_drive.csv
435,1,0.61,0.61,function_drive.csv
795,1,0.61,0.61,function_drive.csv
834,1,0.61,0.61,function_drive.csv
1573,1,0.61,0.61,function_drive.csv
1575,1,0.61,0.61,function_drive.csv
1577,1,0.61,0.61,function_drive.csv
3869,1,0.62,0.62,position_pueblo.csv
3963,1,0.62,0.62,position_pueblo.csv
4083,1,0.62,0.62,position_pueblo.csv
4106,1,0.62,0.62,position_pueblo.csv
4570,1,0.62,0.62,position_pueblo.csv
2602,1,0.62,0.62,position_playa.csv
4096,1,0.62,0.62,position_playa.csv
4855,1,0.62,0.62,position_plaxiquet.csv
2603,1,0.62,0.62,position_falcon.csv
4818,1,0.62,0.62,position_falcon.csv
5446,1,0.62,0.62,position_falcon.csv
5995,1,0.62,0.62,function_presure.csv
12,1,0.62,0.62,function_level.csv
2712,1,0.62,0.62,function_level.csv
2725,1,0.62,0.62,function_level.csv
4861,1,0.62,0.62,function_level.csv
5418,1,0.62,0.62,function_level.csv
5440,1,0.62,0.62,function_level.csv
5450,1,0.62,0.62,function_level.csv
5601,1,0.62,0.62,function_level.csv
5603,1,0.62,0.62,function_level.csv
6597,1,0.62,0.62,function_level.csv
2262,1,0.62,0.62,function_flow.csv
934,1,0.62,0.62,function_drive.csv
1576,1,0.62,0.62,function_drive.csv
4103,1,0.63,0.63,position_pueblo.csv
1330,1,0.63,0.63,position_playa.csv
206,1,0.63,0.63,position_plaxiquet.csv
284,1,0.63,0.63,position_plaxiquet.csv
2808,1,0.63,0.63,function_presure.csv
6152,1,0.63,0.63,function_presure.csv
26,1,0.63,0.63,function_level.csv
28,1,0.63,0.63,function_level.csv
1515,1,0.63,0.63,function_level.csv
1533,1,0.63,0.63,function_level.csv
5456,1,0.63,0.63,function_level.csv
5472,1,0.63,0.63,function_level.csv
5602,1,0.63,0.63,function_level.csv
6591,1,0.63,0.63,function_level.csv
383,1,0.63,0.63,function_drive.csv
4023,1,0.64,0.64,position_pueblo.csv
5832,1,0.64,0.64,position_playa.csv
3015,1,0.64,0.64,position_plaxiquet.csv
6611,1,0.64,0.64,function_level.csv
1800,1,0.65,0.65,position_pueblo.csv
4130,1,0.65,0.65,position_pueblo.csv
2245,1,0.65,0.65,function_flow.csv
3891,1,0.66,0.66,position_pueblo.csv
4043,1,0.66,0.66,position_pueblo.csv
4859,1,0.66,0.66,position_plaxiquet.csv
5417,1,0.66,0.66,function_level.csv
6153,1,0.66,0.66,function_level.csv
5831,1,0.68,0.68,position_playa.csv
2242,1,0.69,0.69,position_pueblo.csv
2922,1,0.69,0.69,position_plaxiquet.csv
6286,1,0.69,0.69,position_plaxiquet.csv
