id,num,scores_files,scores_sum,num_files,received_at
7838,6,0.58;0.66;0.51;0.71;0.46;0.57,3.4899999999999998,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.8635011567698578
79,6,0.67;0.53;0.58;0.42;0.55;0.73,3.48,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.008703316073592596
9047,6,0.65;0.52;0.57;0.44;0.61;0.67,3.4599999999999995,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.9966949432631926
2679,6,0.6;0.61;0.51;0.66;0.48;0.57,3.4299999999999997,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.2951415665968932
92,6,0.49;0.71;0.55;0.69;0.53;0.45,3.42,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.0101355073262091
9068,6,0.6;0.57;0.58;0.46;0.67;0.53,3.41,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.9990084829789578
9054,6,0.62;0.54;0.59;0.44;0.66;0.54,3.39,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.9974661231684477
89,6,0.58;0.73;0.6;0.42;0.45;0.6,3.3800000000000003,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.009805001652528369
9066,6,0.55;0.56;0.59;0.41;0.63;0.64,3.3800000000000003,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.9987881458631707
786,6,0.64;0.67;0.49;0.38;0.53;0.67,3.38,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.08659248650435165
5208,6,0.5;0.78;0.45;0.61;0.51;0.52,3.3699999999999997,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.57375784950975
9003,6,0.56;0.52;0.56;0.49;0.57;0.66,3.36,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.9918475267158753
9031,6,0.6;0.52;0.55;0.42;0.66;0.6,3.3500000000000005,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.9949322463368955
8682,6,0.56;0.72;0.53;0.39;0.57;0.58,3.35,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.956483419632037
7,6,0.5;0.6;0.63;0.45;0.58;0.59,3.35,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.0007711799052550402
8625,6,0.66;0.47;0.48;0.38;0.63;0.73,3.3499999999999996,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.9502038118321031
7954,6,0.54;0.65;0.45;0.68;0.55;0.47,3.34,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.8762807094855128
8542,6,0.69;0.48;0.48;0.37;0.56;0.75,3.33,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.9410598215269362
9064,6,0.52;0.56;0.61;0.44;0.6;0.6,3.33,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.9985678087473835
9051,6,0.59;0.55;0.56;0.44;0.64;0.54,3.3200000000000003,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.997135617494767
211,6,0.46;0.68;0.53;0.62;0.44;0.58,3.31,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.023245565715544782
8703,6,0.68;0.45;0.49;0.43;0.56;0.69,3.3000000000000003,conexion.csv;configuracion.csv;identificacion.csv;mensaje.csv;tiempo.csv;ubicacion.csv,0.9587969593478022
